,in,what,city,is,rangi,ruru,girls,',school,?
private,0.21135757863521576,0.16778090596199036,0.2093900442123413,0.1420905888080597,0.15943950414657593,0.21543043851852417,0.2351357638835907,0.14255043864250183,0.3584248125553131,0.14389030635356903
schools,0.2632134258747101,0.1820785105228424,0.22731362283229828,0.2022145688533783,0.154201939702034,0.24156349897384644,0.3792074918746948,0.18575283885002136,0.7602541446685791,0.18349280953407288
are,0.3841303884983063,0.29724663496017456,0.19493703544139862,0.5330929756164551,0.23767057061195374,0.13916237652301788,0.21457646787166595,0.24618251621723175,0.17021894454956055,0.24591213464736938
often,0.3380797803401947,0.3849453330039978,0.15478582680225372,0.3856629431247711,0.1458767205476761,0.12174949795007706,0.2328166365623474,0.1954335719347,0.13291814923286438,0.23748154938220978
anglican,0.20630250871181488,0.17746756970882416,0.20783326029777527,0.22127680480480194,0.21165737509727478,0.27779853343963623,0.17655670642852783,0.19899974763393402,0.2822481095790863,0.11877371370792389
",",0.5201468467712402,0.3087472915649414,0.35839709639549255,0.4691906273365021,0.27282214164733887,0.28117164969444275,0.21734729409217834,0.5178600549697876,0.27141863107681274,0.31091248989105225
such,0.2704046070575714,0.23989605903625488,0.12407875061035156,0.23545363545417786,0.08183541148900986,0.12134018540382385,0.15259677171707153,0.2433299422264099,0.13059592247009277,0.17851735651493073
as,0.3887844979763031,0.31749409437179565,0.21195319294929504,0.43216490745544434,0.15932917594909668,0.17109397053718567,0.14790716767311096,0.41391023993492126,0.2065676748752594,0.27043893933296204
king,0.2044914960861206,0.18449601531028748,0.18648384511470795,0.193196102976799,0.10488681495189667,0.21216446161270142,0.1326037496328354,0.22070179879665375,0.1429506242275238,0.19130074977874756
's,-0.037580832839012146,0.02692362666130066,0.004406440537422895,0.02396530658006668,0.10339803248643875,0.05216040834784508,0.010591674596071243,0.07651367038488388,-0.017113132402300835,-0.023395681753754616
college,0.2160365730524063,0.20568516850471497,0.28868162631988525,0.15433147549629211,0.20253252983093262,0.2245723456144333,0.26745307445526123,0.17710594832897186,0.569277286529541,0.11076676845550537
and,0.4954058527946472,0.31309178471565247,0.2827445864677429,0.3859752118587494,0.2518866956233978,0.24672678112983704,0.2710435688495636,0.3053182065486908,0.2752758264541626,0.20544172823429108
diocesan,0.2527855932712555,0.18259085714817047,0.31367790699005127,0.1895219385623932,0.22517132759094238,0.2631526291370392,0.24827848374843597,0.12488846480846405,0.2525169551372528,0.10135997086763382
