,who,is,considered,the,leading,figure,in,the,arts,and,crafts,movement,?
in,0.2792111933231354,0.5394441485404968,0.28591203689575195,0.6662389636039734,0.33273574709892273,0.17097173631191254,1.0,0.6662389636039734,0.2445804625749588,0.4954058527946472,0.17885714769363403,0.26725053787231445,0.20430970191955566
the,0.3733934462070465,0.5823672413825989,0.4028765559196472,1.0,0.3809107840061188,0.24786046147346497,0.6662389636039734,1.0,0.23374557495117188,0.5171257257461548,0.16155757009983063,0.339571475982666,0.22068053483963013
later,0.35185644030570984,0.21527644991874695,0.182359516620636,0.4060266613960266,0.21590197086334229,0.13941693305969238,0.40857815742492676,0.4060266613960266,0.24637416005134583,0.4216292202472687,0.12553153932094574,0.16966275870800018,0.1417175978422165
19th,0.165800079703331,0.21349595487117767,0.1464797705411911,0.24964287877082825,0.14360985159873962,0.12973050773143768,0.15408828854560852,0.24964287877082825,0.19851800799369812,0.2922728657722473,0.15117496252059937,0.16473346948623657,0.004712673369795084
century,0.2990973889827728,0.20648397505283356,0.27162957191467285,0.3617299497127533,0.23518644273281097,0.18353533744812012,0.3174034655094147,0.3617299497127533,0.20831145346164703,0.2726690471172333,0.2182634025812149,0.281447172164917,0.1026201918721199
",",0.3365725874900818,0.4691906273365021,0.32932984828948975,0.4933079481124878,0.25808972120285034,0.2352312207221985,0.5201468467712402,0.4933079481124878,0.2528577744960785,0.6633074283599854,0.20387282967567444,0.1862073689699173,0.31091248989105225
the,0.3733934462070465,0.5823672413825989,0.4028765559196472,1.0,0.3809107840061188,0.24786046147346497,0.6662389636039734,1.0,0.23374557495117188,0.5171257257461548,0.16155757009983063,0.339571475982666,0.22068053483963013
increasing,0.15441399812698364,0.21545660495758057,0.2724510431289673,0.34958165884017944,0.4007456302642822,0.1725771576166153,0.2580164670944214,0.34958165884017944,0.10006745159626007,0.30800607800483704,0.17891448736190796,0.3343283236026764,0.0681626945734024
backlash,0.21677212417125702,0.1579466313123703,0.1501271277666092,0.2692379653453827,0.23798690736293793,0.2508518099784851,0.1751181036233902,0.2692379653453827,0.2888568043708801,0.23441030085086823,0.13883894681930542,0.2173888236284256,0.1843646764755249
against,0.2942115366458893,0.1754940152168274,0.17873981595039368,0.3090755045413971,0.24036140739917755,0.14681679010391235,0.27273955941200256,0.3090755045413971,0.15958264470100403,0.3292689621448517,-0.012928815558552742,0.23060853779315948,0.18095137178897858
industrialization,0.16821222007274628,0.22562763094902039,0.23318366706371307,0.3022070825099945,0.25122499465942383,0.19867993891239166,0.29325419664382935,0.3022070825099945,0.3313918709754944,0.30107638239860535,0.3386126160621643,0.32893574237823486,0.16206204891204834
