,what,was,the,soviet,union,trying,to,suppress,with,its,army,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.22826138138771057,0.22726479172706604,0.24387381970882416,0.45010748505592346,0.20716464519500732,0.4080928862094879,0.3793783485889435,0.25258398056030273,0.20430970191955566
1979,0.17707666754722595,0.1920030564069748,0.3323744237422943,0.07959110289812088,0.14956043660640717,0.10701263695955276,0.260578453540802,0.12867358326911926,0.20249252021312714,0.2441880851984024,0.15153878927230835,0.09159877151250839
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25194454193115234,0.2362271547317505,0.24321463704109192,0.44245919585227966,0.16505339741706848,0.4120737314224243,0.33157986402511597,0.230897456407547,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.2312941700220108,0.24421639740467072,0.2930695712566376,0.535392165184021,0.3051512837409973,0.4223487675189972,0.559237003326416,0.31011611223220825,0.22068053483963013
soviet,0.12922172248363495,0.259528785943985,0.2312941700220108,1.0,0.6145875453948975,0.23117710649967194,0.19090956449508667,0.16777724027633667,0.1796698123216629,0.2310093343257904,0.3005301058292389,0.08693568408489227
union,0.1396910548210144,0.23276571929454803,0.24421639740467072,0.6145875453948975,0.9999999403953552,0.20041435956954956,0.16926777362823486,0.12502996623516083,0.19172410666942596,0.22658714652061462,0.3145981431007385,0.07797172665596008
deployed,0.23681893944740295,0.18983905017375946,0.28525567054748535,0.250897616147995,0.2254568338394165,0.31270208954811096,0.24381619691848755,0.31902259588241577,0.2603769600391388,0.2152036428451538,0.39515420794487,0.22770234942436218
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.2310093343257904,0.22658714652061462,0.16516396403312683,0.3691340684890747,0.1454501748085022,0.3087116777896881,1.0,0.16776804625988007,0.15103481709957123
40th,0.18865251541137695,0.16539856791496277,0.23304851353168488,0.08803948760032654,0.08045173436403275,0.12105351686477661,0.18511655926704407,0.027815543115139008,0.17774361371994019,0.13345110416412354,0.11438465863466263,0.0836496576666832
army,0.1698741316795349,0.30177709460258484,0.31011611223220825,0.3005301058292389,0.3145981431007385,0.2158578634262085,0.22938482463359833,0.22293104231357574,0.14974439144134521,0.16776804625988007,1.0000001192092896,0.180583193898201
into,0.2180619090795517,0.2322220653295517,0.39493247866630554,0.17445507645606995,0.21940653026103973,0.24749277532100677,0.38810545206069946,0.19495461881160736,0.2912435233592987,0.2562001943588257,0.17944656312465668,0.15662476420402527
afghanistan,0.23892498016357422,0.18056072294712067,0.28314414620399475,0.4139269292354584,0.27812492847442627,0.1631961464881897,0.20390678942203522,0.1222950741648674,0.15655098855495453,0.18692602217197418,0.3011600971221924,0.1478135734796524
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25194454193115234,0.2362271547317505,0.24321463704109192,0.44245919585227966,0.16505339741706848,0.4120737314224243,0.33157986402511597,0.230897456407547,0.31091248989105225
attempting,0.23469723761081696,0.18695135414600372,0.23055888712406158,0.22753462195396423,0.1917511522769928,0.6263443827629089,0.4533930718898773,0.2566099166870117,0.210524320602417,0.1491542011499405,0.26117077469825745,0.1953229457139969
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.19090956449508667,0.16926777362823486,0.5021223425865173,1.0,0.2669990360736847,0.4239959120750427,0.3691340684890747,0.22938482463359833,0.29463258385658264
suppress,0.27731040120124817,0.1199113205075264,0.3051512837409973,0.16777724027633667,0.12502996623516083,0.21184754371643066,0.2669990360736847,0.9999999403953552,0.151602104306221,0.1454501748085022,0.22293104231357574,0.2461938112974167
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.1334078162908554,0.15291360020637512,0.19979310035705566,0.3138085603713989,0.25565969944000244,0.2730048894882202,0.28139030933380127,0.10463648289442062,0.19793890416622162
islamic,0.2204568088054657,0.19776177406311035,0.27231070399284363,0.25264692306518555,0.21422673761844635,0.14405712485313416,0.1969100832939148,0.20930619537830353,0.1242700070142746,0.2048245519399643,0.2183975726366043,0.1692383587360382
rebellion,0.20742425322532654,0.2940196692943573,0.2775774896144867,0.2050967961549759,0.24677379429340363,0.23659764230251312,0.19780826568603516,0.29812970757484436,0.18557894229888916,0.11859659105539322,0.4054354429244995,0.10071789473295212
