,what,are,teachers,considered,to,be,in,germany,?
in,0.30808621644973755,0.3841303884983063,0.2128150761127472,0.28591203689575195,0.45010748505592346,0.3481820821762085,1.0,0.3642844259738922,0.20430970191955566
germany,0.21690446138381958,0.19546794891357422,0.17061324417591095,0.1778108775615692,0.24172882735729218,0.2431814819574356,0.3642844259738922,1.0,0.1388660967350006
",",0.3087472915649414,0.4062570035457611,0.28049156069755554,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.5201468467712402,0.2898865044116974,0.31091248989105225
teachers,0.2526462972164154,0.2565288841724396,1.0,0.1886288970708847,0.2668606638908386,0.20256873965263367,0.2128150761127472,0.17061324417591095,0.19522249698638916
are,0.29724663496017456,1.0,0.2565288841724396,0.35714471340179443,0.3504326641559601,0.5556803941726685,0.3841303884983063,0.19546794891357422,0.24591213464736938
mainly,0.29325804114341736,0.40445566177368164,0.2321222573518753,0.2761135399341583,0.31092169880867004,0.2596750557422638,0.353954017162323,0.25070130825042725,0.07608037441968918
civil,0.15091551840305328,0.12244163453578949,0.23243674635887146,0.1520952433347702,0.2019355595111847,0.18061059713363647,0.26466667652130127,0.17974872887134552,0.1494513899087906
servants,0.1960030347108841,0.25798866152763367,0.3749677538871765,0.1322266012430191,0.27990996837615967,0.27064746618270874,0.20438919961452484,0.1434343308210373,0.15403048694133759
recruited,0.12390090525150299,0.1574554443359375,0.39103689789772034,0.2351001799106598,0.21089793741703033,0.12260593473911285,0.17244060337543488,0.1330108493566513,0.09634052217006683
in,0.30808621644973755,0.3841303884983063,0.2128150761127472,0.28591203689575195,0.45010748505592346,0.3481820821762085,1.0,0.3642844259738922,0.20430970191955566
special,0.24134232103824615,0.28764480352401733,0.18985873460769653,0.16215112805366516,0.28623831272125244,0.2416570633649826,0.2897285223007202,0.10795879364013672,0.29623302817344666
university,0.20256435871124268,0.16609783470630646,0.4543011486530304,0.18789958953857422,0.20192374289035797,0.13178980350494385,0.3201795518398285,0.21779604256153107,0.11887256056070328
classes,0.20746955275535583,0.2913099527359009,0.40751945972442627,0.20756010711193085,0.2503586411476135,0.2610863149166107,0.20728561282157898,0.15583670139312744,0.14397528767585754
",",0.3087472915649414,0.4062570035457611,0.28049156069755554,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.5201468467712402,0.2898865044116974,0.31091248989105225
called,0.3235960602760315,0.3676711618900299,0.18789449334144592,0.4241243004798889,0.2987143397331238,0.2761072516441345,0.40847352147102356,0.1935252547264099,0.18963319063186646
lehramtstudien,0.18663950264453888,0.18777239322662354,0.3604018986225128,0.1844790279865265,0.21153326332569122,0.16273319721221924,0.3405683934688568,0.3681866526603699,0.23829670250415802
(,0.2411840260028839,0.23263892531394958,0.17691689729690552,0.22818490862846375,0.30882009863853455,0.2349044382572174,0.3087427020072937,0.14963670074939728,0.40561532974243164
teaching,0.27416905760765076,0.23373855650424957,0.6562570333480835,0.1915973424911499,0.2762126624584198,0.2096574753522873,0.2659059166908264,0.14508725702762604,0.20424684882164001
education,0.19940856099128723,0.14324818551540375,0.5322820544242859,0.19619768857955933,0.2626708149909973,0.19451211392879486,0.2654339671134949,0.22737064957618713,0.18067774176597595
studies,0.18772079050540924,0.2574615776538849,0.37560921907424927,0.17964956164360046,0.27655282616615295,0.16135656833648682,0.30442532896995544,0.16880333423614502,0.1388726830482483
),0.26259949803352356,0.2373749315738678,0.20307962596416473,0.2430245578289032,0.31236231327056885,0.24578070640563965,0.3326910734176636,0.16241523623466492,0.42300865054130554
.,0.3567904531955719,0.3452940285205841,0.24628326296806335,0.29356086254119873,0.4645031690597534,0.4383580684661865,0.5591574311256409,0.28498756885528564,0.4130953550338745
