,what,part,of,france,were,the,normans,located,?
the,0.42745697498321533,0.527681291103363,0.733189046382904,0.35517507791519165,0.3906462490558624,1.0,0.2781367897987366,0.407527357339859,0.22068053483963013
descendants,0.16656607389450073,0.21604081988334656,0.31403958797454834,0.1652102768421173,0.3595881164073944,0.3091757893562317,0.3000867962837219,0.17806728184223175,0.10391592979431152
of,0.33290785551071167,0.452393114566803,1.0,0.3265724182128906,0.34038281440734863,0.733189046382904,0.2173461765050888,0.32520920038223267,0.1826142966747284
rollo,0.19718779623508453,0.1930614858865738,0.2584439516067505,0.36736762523651123,0.17231768369674683,0.2636377513408661,0.4711902141571045,0.08000746369361877,0.18782676756381989
's,0.02692362666130066,0.007562864106148481,-0.03817026689648628,0.024341266602277756,0.007088581565767527,-0.01540423184633255,-0.022665709257125854,-0.031078986823558807,-0.023395681753754616
vikings,0.20063059031963348,0.19986313581466675,0.17132697999477386,0.2784874439239502,0.2966439127922058,0.26650679111480713,0.47021809220314026,0.14659477770328522,0.10219103842973709
and,0.31309178471565247,0.35301485657691956,0.5116966962814331,0.2925812005996704,0.42175528407096863,0.5171257257461548,0.23779046535491943,0.24183952808380127,0.20544172823429108
their,0.35142919421195984,0.2496035248041153,0.4329940676689148,0.18637089431285858,0.43277356028556824,0.516537070274353,0.23518306016921997,0.19801606237888336,0.1898253709077835
frankish,0.1821095049381256,0.21194922924041748,0.30483976006507874,0.4331974387168884,0.23404495418071747,0.3168545961380005,0.4906834363937378,0.11967052519321442,0.152495339512825
wives,0.17020493745803833,0.14986151456832886,0.18304656445980072,0.1907070279121399,0.3456251919269562,0.2053544670343399,0.23660176992416382,0.1551227867603302,0.13819661736488342
would,0.45766422152519226,0.2740741968154907,0.3353942930698395,0.19320958852767944,0.37426912784576416,0.4133751392364502,0.22549974918365479,0.10901174694299698,0.37178951501846313
replace,0.2028827667236328,0.15704019367694855,0.15038681030273438,0.10963817685842514,0.16287203133106232,0.21257810294628143,0.1759263128042221,0.08889631927013397,0.27411603927612305
the,0.42745697498321533,0.527681291103363,0.733189046382904,0.35517507791519165,0.3906462490558624,1.0,0.2781367897987366,0.407527357339859,0.22068053483963013
norse,0.1926952451467514,0.14574658870697021,0.20754212141036987,0.1627475619316101,0.2108520269393921,0.23731711506843567,0.3269323706626892,0.1224067434668541,0.14860166609287262
religion,0.3103729486465454,0.21155402064323425,0.30360451340675354,0.24310240149497986,0.2073049396276474,0.2757669985294342,0.18198125064373016,0.10536471754312515,0.2503177225589752
and,0.31309178471565247,0.35301485657691956,0.5116966962814331,0.2925812005996704,0.42175528407096863,0.5171257257461548,0.23779046535491943,0.24183952808380127,0.20544172823429108
old,0.22117848694324493,0.22097529470920563,0.30522194504737854,0.15700951218605042,0.254345178604126,0.31849798560142517,0.2061259150505066,0.1517145335674286,0.20577076077461243
norse,0.1926952451467514,0.14574658870697021,0.20754212141036987,0.1627475619316101,0.2108520269393921,0.23731711506843567,0.3269323706626892,0.1224067434668541,0.14860166609287262
language,0.28220435976982117,0.26736900210380554,0.25272229313850403,0.1835341602563858,0.1767657995223999,0.30198320746421814,0.1914249062538147,0.16300779581069946,0.25349316000938416
with,0.2464839518070221,0.294111043214798,0.41827285289764404,0.20020143687725067,0.3179011940956116,0.4223487675189972,0.18717211484909058,0.12990716099739075,0.2433311939239502
catholicism,0.23693913221359253,0.18214958906173706,0.28712788224220276,0.28452980518341064,0.2549296021461487,0.2436220645904541,0.3572500944137573,0.11609761416912079,0.2233523428440094
(,0.2411840260028839,0.2208257019519806,0.35032153129577637,0.16646498441696167,0.14743882417678833,0.33289089798927307,0.10744442045688629,0.21025894582271576,0.40561532974243164
christianity,0.27987581491470337,0.19253870844841003,0.2674740254878998,0.20303243398666382,0.19865535199642181,0.2489117980003357,0.30458498001098633,0.08507440984249115,0.22408421337604523
),0.26259949803352356,0.24734117090702057,0.3680361211299896,0.1968100666999817,0.1566188633441925,0.3456730246543884,0.10911402106285095,0.19755883514881134,0.42300865054130554
and,0.31309178471565247,0.35301485657691956,0.5116966962814331,0.2925812005996704,0.42175528407096863,0.5171257257461548,0.23779046535491943,0.24183952808380127,0.20544172823429108
the,0.42745697498321533,0.527681291103363,0.733189046382904,0.35517507791519165,0.3906462490558624,1.0,0.2781367897987366,0.407527357339859,0.22068053483963013
gallo-romance,0.19834239780902863,0.1926298439502716,0.21653012931346893,0.3030892014503479,0.15208259224891663,0.2631092369556427,0.27109527587890625,0.0858001559972763,0.20267540216445923
language,0.28220435976982117,0.26736900210380554,0.25272229313850403,0.1835341602563858,0.1767657995223999,0.30198320746421814,0.1914249062538147,0.16300779581069946,0.25349316000938416
of,0.33290785551071167,0.452393114566803,1.0,0.3265724182128906,0.34038281440734863,0.733189046382904,0.2173461765050888,0.32520920038223267,0.1826142966747284
the,0.42745697498321533,0.527681291103363,0.733189046382904,0.35517507791519165,0.3906462490558624,1.0,0.2781367897987366,0.407527357339859,0.22068053483963013
local,0.18981902301311493,0.1331503838300705,0.20668989419937134,0.10569994151592255,0.16442985832691193,0.2130540907382965,0.17201803624629974,0.21446499228477478,0.15022775530815125
people,0.32444337010383606,0.28057020902633667,0.3251037895679474,0.23531997203826904,0.35862088203430176,0.36838498711586,0.3101111054420471,0.21130086481571198,0.23739641904830933
",",0.3087472915649414,0.3376222252845764,0.4946078956127167,0.28250643610954285,0.36755475401878357,0.4933079481124878,0.207779198884964,0.2678719460964203,0.31091248989105225
blending,0.24293240904808044,0.264546275138855,0.2774047553539276,0.14227500557899475,0.19287686049938202,0.3358987271785736,0.18749956786632538,0.11072278767824173,0.0956295058131218
their,0.35142919421195984,0.2496035248041153,0.4329940676689148,0.18637089431285858,0.43277356028556824,0.516537070274353,0.23518306016921997,0.19801606237888336,0.1898253709077835
maternal,0.1216677874326706,0.18150432407855988,0.3066387176513672,0.17309249937534332,0.24896013736724854,0.2437814176082611,0.17156200110912323,0.1954641193151474,0.0987817645072937
frankish,0.1821095049381256,0.21194922924041748,0.30483976006507874,0.4331974387168884,0.23404495418071747,0.3168545961380005,0.4906834363937378,0.11967052519321442,0.152495339512825
heritage,0.1899084597826004,0.2724003791809082,0.2737451195716858,0.19201236963272095,0.15094636380672455,0.25149020552635193,0.2097460925579071,0.2847183346748352,0.17516329884529114
with,0.2464839518070221,0.294111043214798,0.41827285289764404,0.20020143687725067,0.3179011940956116,0.4223487675189972,0.18717211484909058,0.12990716099739075,0.2433311939239502
old,0.22117848694324493,0.22097529470920563,0.30522194504737854,0.15700951218605042,0.254345178604126,0.31849798560142517,0.2061259150505066,0.1517145335674286,0.20577076077461243
norse,0.1926952451467514,0.14574658870697021,0.20754212141036987,0.1627475619316101,0.2108520269393921,0.23731711506843567,0.3269323706626892,0.1224067434668541,0.14860166609287262
traditions,0.253129243850708,0.24401935935020447,0.2921203374862671,0.16986136138439178,0.29569339752197266,0.26193809509277344,0.2535492181777954,0.1969372183084488,0.18007412552833557
and,0.31309178471565247,0.35301485657691956,0.5116966962814331,0.2925812005996704,0.42175528407096863,0.5171257257461548,0.23779046535491943,0.24183952808380127,0.20544172823429108
