,how,long,ago,did,oxygen,reach,10,%,of,its,present,level,?
when,0.4767928421497345,0.30121734738349915,0.34233349561691284,0.3228907287120819,0.28107690811157227,0.2858712077140808,0.057211097329854965,0.1723080277442932,0.3757161796092987,0.34032323956489563,0.20709340274333954,0.2500830292701721,0.22841128706932068
such,0.307365357875824,0.227485790848732,0.20549628138542175,0.24497397243976593,0.23563316464424133,0.18936306238174438,0.21695207059383392,0.14797182381153107,0.3209529519081116,0.22375942766666412,0.14540977776050568,0.1792222410440445,0.17851735651493073
oxygen,0.21928748488426208,0.17569054663181305,0.2424188107252121,0.15723921358585358,0.9999999403953552,0.21034252643585205,-0.010551653802394867,0.25139331817626953,0.16848602890968323,0.23293741047382355,0.1954377293586731,0.2173268347978592,0.16786395013332367
sinks,0.1214027851819992,0.15371499955654144,0.16190573573112488,0.1051504909992218,0.2184692621231079,0.20312511920928955,0.08982184529304504,0.1526864767074585,0.2435215264558792,0.17305797338485718,0.16623763740062714,0.14914362132549286,0.14273253083229065
became,0.10954522341489792,0.1088373064994812,0.15082316100597382,0.3632316589355469,0.11197445541620255,0.18676859140396118,0.1955040693283081,0.09349185228347778,0.3638904094696045,0.24712269008159637,0.09832096844911575,0.08745281398296356,0.11374033987522125
saturated,0.23417122662067413,0.2315179705619812,0.16471008956432343,0.16275401413440704,0.4748438894748688,0.16206228733062744,0.023235993459820747,0.27356991171836853,0.2375074326992035,0.26112100481987,0.16403859853744507,0.2272278070449829,0.1959184855222702
",",0.22659391164779663,0.3431144952774048,0.26431804895401,0.3015086054801941,0.21812842786312103,0.2441277652978897,0.1734008640050888,0.22757403552532196,0.4946078956127167,0.33157986402511597,0.267320841550827,0.23317520320415497,0.31091248989105225
free,0.18879985809326172,0.11861992627382278,0.14088688790798187,0.1839899867773056,0.24067462980747223,0.1086445227265358,0.10682480782270432,0.12762556970119476,0.2430545836687088,0.15832874178886414,0.15942741930484772,0.1337590515613556,0.1278279572725296
oxygen,0.21928748488426208,0.17569054663181305,0.2424188107252121,0.15723921358585358,0.9999999403953552,0.21034252643585205,-0.010551653802394867,0.25139331817626953,0.16848602890968323,0.23293741047382355,0.1954377293586731,0.2173268347978592,0.16786395013332367
began,0.2146909385919571,0.19385214149951935,0.19010420143604279,0.4415510594844818,0.12433157116174698,0.13799883425235748,0.1792677938938141,0.07210401445627213,0.2330763041973114,0.17474952340126038,0.13471457362174988,0.14137472212314606,0.1370266228914261
