,what,did,luther,seek,to,restore,?
by,0.2455483376979828,0.18574509024620056,0.15382802486419678,0.1420365869998932,0.33534231781959534,0.17059464752674103,0.17966607213020325
working,0.2846863269805908,0.2788783311843872,0.11256544291973114,0.14794649183750153,0.28215980529785156,0.1765999048948288,0.17154020071029663
alongside,0.154389888048172,0.23518145084381104,0.11106456816196442,0.17559102177619934,0.19477646052837372,0.13536232709884644,0.20579710602760315
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.24523614346981049,0.535392165184021,0.3155142068862915,0.22068053483963013
authorities,0.23251837491989136,0.30031415820121765,0.19037100672721863,0.2357909083366394,0.29137885570526123,0.2375575751066208,0.17285770177841187
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.39650240540504456,1.0,0.37623947858810425,0.29463258385658264
restore,0.26890912652015686,0.23417381942272186,0.21512478590011597,0.2917012572288513,0.37623947858810425,1.0,0.22407253086566925
public,0.1729622185230255,0.19092120230197906,0.19837835431098938,0.1774313747882843,0.2672370672225952,0.20638702809810638,0.19872993230819702
order,0.16634008288383484,0.22891858220100403,0.15481990575790405,0.22610265016555786,0.35544881224632263,0.26131367683410645,0.13725648820400238
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.2198648303747177,0.44245919585227966,0.23843272030353546,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.21246695518493652,0.385390967130661,0.20331484079360962,0.2089974731206894
signalled,0.237753227353096,0.21523107588291168,0.15441161394119263,0.22771644592285156,0.28247496485710144,0.20342104136943817,0.08966104686260223
his,0.26976513862609863,0.3546801507472992,0.27093374729156494,0.25875794887542725,0.3715193271636963,0.2469627410173416,0.18075084686279297
reinvention,0.32908371090888977,0.25087234377861023,0.24345049262046814,0.23595260083675385,0.28559958934783936,0.17534032464027405,0.25989362597465515
as,0.31749409437179565,0.3596470057964325,0.20242992043495178,0.2845454812049866,0.42092081904411316,0.26002374291419983,0.27043893933296204
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.24095171689987183,0.45503583550453186,0.20952026546001434,0.23916715383529663
conservative,0.1886831820011139,0.14079563319683075,0.1731245219707489,0.2227591723203659,0.19727681577205658,0.22525401413440704,0.1597563922405243
force,0.16915984451770782,0.1680130809545517,0.05617312714457512,0.1843578964471817,0.24496492743492126,0.23994186520576477,0.1650998443365097
within,0.2498195916414261,0.15734176337718964,0.13910457491874695,0.2191416472196579,0.34980177879333496,0.23613175749778748,0.1870293766260147
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.24523614346981049,0.535392165184021,0.3155142068862915,0.22068053483963013
reformation,0.23052695393562317,0.20929229259490967,0.43711021542549133,0.17271195352077484,0.27920275926589966,0.27398261427879333,0.14843040704727173
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.20647966861724854,0.4645031690597534,0.2839488089084625,0.4130953550338745
