,what,important,legislation,was,passed,by,congress,for,the,television,industry,in,1961,?
until,0.2693650424480438,0.18859556317329407,0.18788623809814453,0.43126991391181946,0.2615587115287781,0.26738616824150085,0.1920650452375412,0.2802979350090027,0.37191009521484375,0.23805125057697296,0.15421219170093536,0.38338494300842285,0.04599815979599953,0.20304496586322784
the,0.42745697498321533,0.39348116517066956,0.2839483618736267,0.48711544275283813,0.3173406720161438,0.4408751428127289,0.27082565426826477,0.4739971458911896,1.0,0.24569597840309143,0.26942890882492065,0.6662389636039734,0.0738944262266159,0.22068053483963013
all-channel,0.22816726565361023,0.14063642919063568,0.20103222131729126,0.18810123205184937,0.12803997099399567,0.22639678418636322,0.13683860003948212,0.23288662731647491,0.2870676815509796,0.47475388646125793,0.2171986848115921,0.22815707325935364,0.040323562920093536,0.23276181519031525
receiver,0.17021551728248596,0.11265399307012558,0.11200738698244095,0.18964196741580963,0.18991504609584808,0.15964515507221222,0.17620904743671417,0.2781907320022583,0.21850530803203583,0.22701162099838257,0.11364957690238953,0.16248875856399536,0.03581931069493294,0.11587938666343689
act,0.2622668445110321,0.19726727902889252,0.434162437915802,0.1887621134519577,0.4205443859100342,0.19227443635463715,0.3640654981136322,0.22890116274356842,0.28682878613471985,0.13938944041728973,0.16929611563682556,0.22050046920776367,0.06895255297422409,0.1482519507408142
(,0.2411840260028839,0.21277278661727905,0.17509348690509796,0.2980341613292694,0.19568857550621033,0.20696312189102173,0.14911694824695587,0.3357032239437103,0.33289089798927307,0.27449095249176025,0.10804169625043869,0.3087427020072937,0.06963787227869034,0.40561532974243164
passed,0.22233739495277405,0.1683366745710373,0.38747915625572205,0.2673497200012207,1.0,0.27371692657470703,0.38070446252822876,0.23234809935092926,0.3173406720161438,0.10332103818655014,0.09932640194892883,0.2297387272119522,0.010495121590793133,0.12064517289400101
by,0.2455483376979828,0.1897295117378235,0.17084915935993195,0.4752357602119446,0.27371692657470703,1.0000001192092896,0.16368864476680756,0.3248702883720398,0.4408751428127289,0.23368048667907715,0.19528226554393768,0.370934396982193,0.09517981112003326,0.17966607213020325
congress,0.16679982841014862,0.19121822714805603,0.5464178323745728,0.23910820484161377,0.38070446252822876,0.16368864476680756,1.0,0.2006673514842987,0.27082565426826477,0.11234269291162491,0.2074832022190094,0.191487118601799,0.051513463258743286,0.2020287960767746
in,0.30808621644973755,0.3796374499797821,0.2219952940940857,0.45514053106307983,0.2297387272119522,0.370934396982193,0.191487118601799,0.4322226941585541,0.6662389636039734,0.2689782977104187,0.2675124704837799,1.0,0.09056709706783295,0.20430970191955566
1961,-0.03442762792110443,0.009876193478703499,0.06692620366811752,0.09389110654592514,0.010495121590793133,0.09517981112003326,0.051513463258743286,0.014115508645772934,0.0738944262266159,0.027394376695156097,0.056408122181892395,0.09056709706783295,1.0,0.009729373268783092
),0.26259949803352356,0.22956669330596924,0.1712029129266739,0.3267642855644226,0.20017895102500916,0.2151763141155243,0.15997432172298431,0.3639558255672455,0.3456730246543884,0.27724143862724304,0.14066913723945618,0.3326910734176636,0.04211058467626572,0.42300865054130554
mandated,0.25988516211509705,0.18176977336406708,0.40700089931488037,0.2294507622718811,0.24074463546276093,0.19864727556705475,0.31232011318206787,0.2803293466567993,0.3191532492637634,0.15242332220077515,0.17147119343280792,0.2376839816570282,-0.005670804064720869,0.2235630303621292
the,0.42745697498321533,0.39348116517066956,0.2839483618736267,0.48711544275283813,0.3173406720161438,0.4408751428127289,0.27082565426826477,0.4739971458911896,1.0,0.24569597840309143,0.26942890882492065,0.6662389636039734,0.0738944262266159,0.22068053483963013
inclusion,0.37293192744255066,0.2876511514186859,0.37798649072647095,0.18469250202178955,0.2017088532447815,0.193852037191391,0.25584957003593445,0.36292749643325806,0.28706976771354675,0.2043236941099167,0.25555914640426636,0.20860536396503448,-0.09735362231731415,0.34393295645713806
of,0.33290785551071167,0.43301743268966675,0.3114430606365204,0.4069072902202606,0.2703755795955658,0.3646814823150635,0.2447044849395752,0.4185989499092102,0.733189046382904,0.21995750069618225,0.27385562658309937,0.5696388483047485,0.07470385730266571,0.1826142966747284
uhf,0.2442881017923355,0.14176282286643982,0.20884056389331818,0.17608720064163208,0.1184728816151619,0.20764535665512085,0.1810930371284485,0.21080468595027924,0.22236087918281555,0.47103428840637207,0.23705564439296722,0.20175614953041077,0.032557666301727295,0.18061190843582153
tuning,0.28757166862487793,0.17939822375774384,0.16350089013576508,0.06977231055498123,0.15122738480567932,0.1273125857114792,0.08826395124197006,0.260853111743927,0.18692044913768768,0.22374607622623444,0.13027510046958923,0.13109512627124786,-0.07379898428916931,0.20187924802303314
