,when,did,the,exploration,of,the,interior,begin,?
european,0.1717725396156311,0.2440035194158554,0.3423081040382385,0.3254217803478241,0.2507138252258301,0.3423081040382385,0.13199232518672943,0.14297418296337128,0.14560863375663757
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.2651127278804779,0.5116966962814331,0.5171257257461548,0.22730383276939392,0.2599445581436157,0.20544172823429108
arab,0.16604845225811005,0.16366532444953918,0.2674407660961151,0.19415239989757538,0.22039446234703064,0.2674407660961151,0.18042361736297607,0.19513311982154846,0.18450474739074707
presence,0.27367129921913147,0.16884823143482208,0.34114351868629456,0.23958845436573029,0.2917717397212982,0.34114351868629456,0.1891292780637741,0.20410239696502686,0.08592845499515533
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.2304566651582718,0.5696388483047485,0.6662389636039734,0.1942717432975769,0.2903634011745453,0.20430970191955566
coastal,0.20883114635944366,0.1047234758734703,0.2718130946159363,0.24217107892036438,0.29121753573417664,0.2718130946159363,0.21933552622795105,0.16219951212406158,0.13777320086956024
mombasa,0.145181804895401,0.08541414886713028,0.28063899278640747,0.34044283628463745,0.24401752650737762,0.28063899278640747,0.20575599372386932,0.10183005779981613,0.15605612099170685
dates,0.22044897079467773,0.20309700071811676,0.3088380992412567,0.22536970674991608,0.2547506093978882,0.3088380992412567,0.08522195369005203,0.24032053351402283,0.2331625074148178
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.24928469955921173,0.41548454761505127,0.535392165184021,0.17605601251125336,0.33302420377731323,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,1.0,0.3181801736354828,0.733189046382904,1.0,0.30233609676361084,0.34293439984321594,0.22068053483963013
early,0.32107013463974,0.32047218084335327,0.34442198276519775,0.3323494791984558,0.30937549471855164,0.34442198276519775,0.2039564549922943,0.3178265690803528,0.15272949635982513
modern,0.19283193349838257,0.21376098692417145,0.3283970355987549,0.24158494174480438,0.3482828736305237,0.3283970355987549,0.11846718192100525,0.1379542350769043,0.12475407868623734
period,0.3356073200702667,0.1760309934616089,0.3125074505805969,0.21991312503814697,0.2698146104812622,0.3125074505805969,0.18461504578590393,0.24772560596466064,0.18706195056438446
;,0.022927695885300636,0.10727239400148392,0.09152708947658539,0.08406221866607666,0.054534342139959335,0.09152708947658539,0.07749616354703903,-0.0234913881868124,0.10349778085947037
european,0.1717725396156311,0.2440035194158554,0.3423081040382385,0.3254217803478241,0.2507138252258301,0.3423081040382385,0.13199232518672943,0.14297418296337128,0.14560863375663757
exploration,0.1659470796585083,0.18316452205181122,0.3181801736354828,1.0000001192092896,0.2918226718902588,0.3181801736354828,0.27143439650535583,0.18448548018932343,0.13539034128189087
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2918226718902588,1.0,0.733189046382904,0.31906411051750183,0.24830074608325958,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.3181801736354828,0.733189046382904,1.0,0.30233609676361084,0.34293439984321594,0.22068053483963013
interior,0.1527727097272873,0.15468473732471466,0.30233609676361084,0.27143439650535583,0.31906411051750183,0.30233609676361084,1.0,0.1301790326833725,0.07520901411771774
began,0.25673019886016846,0.4415510594844818,0.3059147596359253,0.24942167103290558,0.2330763041973114,0.3059147596359253,0.1507282853126526,0.49711355566978455,0.1370266228914261
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.2304566651582718,0.5696388483047485,0.6662389636039734,0.1942717432975769,0.2903634011745453,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,1.0,0.3181801736354828,0.733189046382904,1.0,0.30233609676361084,0.34293439984321594,0.22068053483963013
19th,0.20566971600055695,0.11936882883310318,0.24964287877082825,0.12696141004562378,0.16605104506015778,0.24964287877082825,0.08600272238254547,0.138271763920784,0.004712673369795084
century,0.22992412745952606,0.2333737462759018,0.3617299497127533,0.24547013640403748,0.2826060354709625,0.3617299497127533,0.17107442021369934,0.17297205328941345,0.1026201918721199
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.24335305392742157,0.5352458953857422,0.5934505462646484,0.261873334646225,0.24827922880649567,0.4130953550338745
