,how,long,will,the,event,at,santa,clara,convention,center,last,?
in,0.2601168751716614,0.2759332060813904,0.2580665349960327,0.6662389636039734,0.27304479479789734,0.4374977946281433,0.20108501613140106,0.1910705864429474,0.22991126775741577,0.27253323793411255,0.30714505910873413,0.20430970191955566
addition,0.24312371015548706,0.15546754002571106,0.27912136912345886,0.32955414056777954,0.19606655836105347,0.2062952220439911,0.16853909194469452,0.08216171711683273,0.26560425758361816,0.22940747439861298,0.15408645570278168,0.19187232851982117
",",0.22659391164779663,0.3431144952774048,0.29706671833992004,0.4933079481124878,0.22701776027679443,0.38314947485923767,0.25609585642814636,0.25817182660102844,0.2018413096666336,0.1905742734670639,0.29026782512664795,0.31091248989105225
there,0.3328511416912079,0.29671722650527954,0.3024239242076874,0.47025805711746216,0.24949249625205994,0.37649083137512207,0.19081243872642517,0.16577202081680298,0.1900954693555832,0.19841818511486053,0.26109418272972107,0.29405656456947327
are,0.311818927526474,0.23909839987754822,0.39387544989585876,0.40399202704429626,0.1376582384109497,0.2074895054101944,0.13769486546516418,0.12303348630666733,0.18365910649299622,0.14647969603538513,0.16972362995147705,0.24591213464736938
$,0.18718640506267548,0.12594571709632874,0.22399824857711792,0.23367542028427124,0.21576321125030518,0.19577117264270782,0.1747201383113861,0.1445731371641159,0.1505051851272583,0.11576157063245773,0.21249297261238098,0.2786129117012024
2,-0.02554285153746605,-0.04490483179688454,-0.016808977350592613,-0.019434669986367226,-0.016114728525280952,0.043934281915426254,-0.010242441669106483,0.04877777397632599,0.024477487429976463,-0.09448107331991196,0.010505512356758118,0.001977203879505396
million,0.21114659309387207,0.17698286473751068,0.16782689094543457,0.277012437582016,0.24109336733818054,0.189541757106781,0.18086238205432892,0.11529768258333206,0.20451800525188446,0.13305892050266266,0.17416778206825256,0.23092924058437347
worth,0.22643329203128815,0.18292008340358734,0.28727808594703674,0.2137632668018341,0.16731517016887665,0.2638126313686371,0.15063594281673431,0.10651122778654099,0.14736568927764893,0.11206930130720139,0.14316251873970032,0.3282513916492462
of,0.2480744868516922,0.2567519545555115,0.2473582625389099,0.733189046382904,0.19878064095973969,0.42558613419532776,0.2417823076248169,0.2643791139125824,0.2509908974170685,0.24526838958263397,0.3052992522716522,0.1826142966747284
other,0.3591516315937042,0.2394644021987915,0.3551507890224457,0.44152235984802246,0.19113582372665405,0.24329762160778046,0.15774822235107422,0.14141230285167694,0.19571997225284576,0.18266704678535461,0.2052956372499466,0.24682199954986572
