,what,is,an,example,of,a,parasite,that,used,the,antigenic,variation,strategy,to,evade,destruction,?
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.18775367736816406,0.5473989248275757,0.3718377649784088,1.0,0.23666222393512726,0.28104788064956665,0.2895500361919403,0.535392165184021,0.22844162583351135,0.3148382306098938,0.22068053483963013
parasite,0.10727100819349289,0.19758321344852448,0.13373643159866333,0.2189563512802124,0.1924804300069809,0.206001415848732,1.0000001192092896,0.21171920001506805,0.13088198006153107,0.18775367736816406,0.4929230213165283,0.3115178346633911,0.22795994579792023,0.1903025507926941,0.2773623764514923,0.22818246483802795,0.1782570779323578
trypanosoma,0.20593807101249695,0.23716489970684052,0.23699608445167542,0.258576363325119,0.25432682037353516,0.244899183511734,0.609333336353302,0.2569415271282196,0.21339568495750427,0.255146861076355,0.5409825444221497,0.33336666226387024,0.14069925248622894,0.21490879356861115,0.23904593288898468,0.270897775888443,0.21579749882221222
brucei,0.16057471930980682,0.2442663162946701,0.16851280629634857,0.19196230173110962,0.2612425982952118,0.16877564787864685,0.4152752757072449,0.2227977216243744,0.20799626410007477,0.22278128564357758,0.36362937092781067,0.24482864141464233,0.03865409642457962,0.1814374029636383,0.16279110312461853,0.2547229826450348,0.08717167377471924
uses,0.1933930367231369,0.41359779238700867,0.2683957815170288,0.4338369369506836,0.2738003432750702,0.35566505789756775,0.15342941880226135,0.31664198637008667,0.645188570022583,0.2830192744731903,0.22030121088027954,0.31730085611343384,0.2505589723587036,0.3010925054550171,0.22696667909622192,0.1683807671070099,0.18407079577445984
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,1.0,0.206001415848732,0.47537946701049805,0.3864384889602661,0.5829201340675354,0.26183605194091797,0.3215503692626953,0.2418394386768341,0.45503583550453186,0.2466314285993576,0.20845764875411987,0.23916715383529663
similar,0.30608364939689636,0.28929588198661804,0.20771056413650513,0.4337378442287445,0.2911645472049713,0.34790337085723877,0.17503438889980316,0.4232555329799652,0.431619793176651,0.2963123023509979,0.2598770260810852,0.3428952395915985,0.21758204698562622,0.2888135313987732,0.23327365517616272,0.23809771239757538,0.23309361934661865
strategy,0.25034767389297485,0.2271415740251541,0.16136430203914642,0.24494609236717224,0.27697277069091797,0.2418394386768341,0.22795994579792023,0.27647414803504944,0.23550209403038025,0.2895500361919403,0.26472607254981995,0.23979389667510986,1.0,0.27855414152145386,0.2699953317642212,0.1986655741930008,0.22400954365730286
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.20657896995544434,0.4137537479400635,0.3120402991771698,0.4933079481124878,0.15348294377326965,0.2463468760251999,0.20894098281860352,0.44245919585227966,0.20319467782974243,0.2109706848859787,0.31091248989105225
constantly,0.31931227445602417,0.16246221959590912,0.13411574065685272,0.22764883935451508,0.23180225491523743,0.2379549890756607,0.24979010224342346,0.4138106107711792,0.2219541221857071,0.23476369678974152,0.23394323885440826,0.19027477502822876,0.19314268231391907,0.37340047955513,0.3286187946796417,0.19181935489177704,0.191866934299469
switching,0.24737738072872162,0.22204309701919556,0.19696229696273804,0.2959206998348236,0.17750859260559082,0.31424853205680847,0.1964024305343628,0.30876144766807556,0.360103577375412,0.2702193558216095,0.29488301277160645,0.29803234338760376,0.20057165622711182,0.2643260657787323,0.21760578453540802,0.16330450773239136,0.2115880399942398
one,0.376489520072937,0.4544198513031006,0.2829729914665222,0.41499486565589905,0.4999135136604309,0.4910551905632019,0.17860637605190277,0.5133185982704163,0.3009188175201416,0.5514441132545471,0.22976312041282654,0.24152381718158722,0.19053983688354492,0.4025384783744812,0.23962588608264923,0.2537098824977875,0.2673267424106598
type,0.2722663879394531,0.3053323030471802,0.21485474705696106,0.2937546968460083,0.18112817406654358,0.3813284635543823,0.1868383139371872,0.25817251205444336,0.30943769216537476,0.21819381415843964,0.2457740753889084,0.27982625365257263,0.18584083020687103,0.19930607080459595,0.11590827256441116,0.18178781867027283,0.17536182701587677
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.1924804300069809,0.41498205065727234,0.3075267970561981,0.733189046382904,0.27262037992477417,0.2677055895328522,0.27697277069091797,0.41548454761505127,0.1882907599210739,0.30908554792404175,0.1826142966747284
surface,0.23580394685268402,0.29345643520355225,0.18808452785015106,0.2503261864185333,0.24204103648662567,0.24436084926128387,0.2794484496116638,0.30130770802497864,0.24564874172210693,0.2555135488510132,0.36162954568862915,0.2103123962879181,0.17090219259262085,0.23727688193321228,0.18478241562843323,0.19751565158367157,0.14613434672355652
protein,0.20633074641227722,0.2287263572216034,0.1590251475572586,0.27437275648117065,0.24403050541877747,0.2357361912727356,0.3609888255596161,0.27116045355796814,0.21672649681568146,0.22310464084148407,0.4970249533653259,0.2929604947566986,0.14905738830566406,0.18705467879772186,0.19596843421459198,0.2189910113811493,0.169142946600914
for,0.3017193675041199,0.43268078565597534,0.3236706852912903,0.45665353536605835,0.4185989499092102,0.44038116931915283,0.22301863133907318,0.4137635827064514,0.4236139953136444,0.4739971458911896,0.2234664112329483,0.25241565704345703,0.30354321002960205,0.4451248347759247,0.26362666487693787,0.1883140653371811,0.264628142118454
another,0.4190070629119873,0.41278526186943054,0.47266486287117004,0.43798014521598816,0.38147079944610596,0.6191956996917725,0.21394971013069153,0.5273378491401672,0.2980952560901642,0.5019711852073669,0.25672125816345215,0.29051080346107483,0.24163717031478882,0.48769932985305786,0.32133054733276367,0.2201327085494995,0.295511931180954
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.20657896995544434,0.4137537479400635,0.3120402991771698,0.4933079481124878,0.15348294377326965,0.2463468760251999,0.20894098281860352,0.44245919585227966,0.20319467782974243,0.2109706848859787,0.31091248989105225
allowing,0.21854478120803833,0.18765145540237427,0.18381313979625702,0.3167761564254761,0.29282480478286743,0.3025304675102234,0.17453885078430176,0.4088030755519867,0.30406424403190613,0.3440283536911011,0.27810850739479065,0.13876312971115112,0.2323746681213379,0.47026363015174866,0.34545907378196716,0.19623662531375885,0.1434045135974884
it,0.45803478360176086,0.6328473687171936,0.39472338557243347,0.33693674206733704,0.38761502504348755,0.5452592968940735,0.15940655767917633,0.5921133160591125,0.3575260639190674,0.6251175999641418,0.18210670351982117,0.2784188985824585,0.19235831499099731,0.513711154460907,0.21528153121471405,0.24201256036758423,0.25732165575027466
to,0.455847829580307,0.42745086550712585,0.3138085603713989,0.3451666533946991,0.41548454761505127,0.45503583550453186,0.1903025507926941,0.5436353087425232,0.40058770775794983,0.535392165184021,0.19675599038600922,0.224077507853508,0.27855414152145386,1.0,0.3449758291244507,0.22507941722869873,0.29463258385658264
