,what,type,of,protest,falls,under,civil,disobedience,without,aggression,?
he,0.3114890456199646,0.11091722548007965,0.38706058263778687,0.2675870656967163,0.17156702280044556,0.23761922121047974,0.2002398669719696,0.3186313509941101,0.19011831283569336,0.21632730960845947,0.2089974731206894
encourages,0.27430662512779236,0.1571664661169052,0.2592395544052124,0.2696537375450134,0.19534017145633698,0.1535356491804123,0.18591079115867615,0.36919355392456055,0.3314749300479889,0.4034866988658905,0.24308010935783386
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.25490954518318176,0.2676706314086914,0.18317826092243195,0.21693918108940125,0.25352153182029724,0.2797018885612488,0.2510046064853668,0.23916715383529663
distinction,0.33474257588386536,0.24489286541938782,0.30949485301971436,0.1660453975200653,0.13105526566505432,0.1864006370306015,0.2921293079853058,0.323351114988327,0.2485615462064743,0.37995368242263794,0.15412788093090057
between,0.2462156116962433,0.13229937851428986,0.3737983703613281,0.11805763095617294,0.1623459905385971,0.21604885160923004,0.19927990436553955,0.1755674183368683,0.20703867077827454,0.20703965425491333,0.12887074053287506
lawful,0.3231540322303772,0.15863589942455292,0.23920580744743347,0.3154911994934082,0.0987371951341629,0.205322265625,0.31892022490501404,0.5189074277877808,0.3496318757534027,0.3107834756374359,0.19633424282073975
protest,0.20248152315616608,0.09403293579816818,0.24564224481582642,0.9999998807907104,0.12930335104465485,0.15123258531093597,0.29364001750946045,0.5334797501564026,0.17120125889778137,0.3487507402896881,0.1878921240568161
demonstration,0.19416043162345886,0.16577105224132538,0.24823273718357086,0.5326844453811646,0.09918821603059769,0.1714497208595276,0.2552884817123413,0.38254982233047485,0.16864852607250214,0.3395442068576813,0.13217706978321075
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2963520884513855,0.29322290420532227,0.24875585734844208,0.24795588850975037,0.2878543734550476,0.24492648243904114,0.193557471036911,0.31091248989105225
nonviolent,0.27531832456588745,0.14284296333789825,0.2696565091609955,0.4924745559692383,0.09209510684013367,0.1281253546476364,0.37643536925315857,0.6002234220504761,0.27187207341194153,0.4243467450141907,0.23365403711795807
civil,0.15091551840305328,0.05067194625735283,0.24698495864868164,0.29364001750946045,0.08812014013528824,0.14464205503463745,1.0,0.5442691445350647,0.15056446194648743,0.19294609129428864,0.1494513899087906
disobedience,0.3298627436161041,0.13337014615535736,0.31932318210601807,0.5334797501564026,0.14503641426563263,0.2651269733905792,0.5442691445350647,1.0,0.30126285552978516,0.4600881040096283,0.19890835881233215
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2963520884513855,0.29322290420532227,0.24875585734844208,0.24795588850975037,0.2878543734550476,0.24492648243904114,0.193557471036911,0.31091248989105225
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.24044445157051086,0.23301942646503448,0.3005301356315613,0.25259146094322205,0.3041999638080597,0.35511502623558044,0.2739907503128052,0.20544172823429108
violent,0.20861265063285828,0.10867295414209366,0.23184357583522797,0.4418753981590271,0.18503083288669586,0.10273994505405426,0.25602176785469055,0.45211172103881836,0.17212741076946259,0.3826591670513153,0.1652229279279709
civil,0.15091551840305328,0.05067194625735283,0.24698495864868164,0.29364001750946045,0.08812014013528824,0.14464205503463745,1.0,0.5442691445350647,0.15056446194648743,0.19294609129428864,0.1494513899087906
disobedience,0.3298627436161041,0.13337014615535736,0.31932318210601807,0.5334797501564026,0.14503641426563263,0.2651269733905792,0.5442691445350647,1.0,0.30126285552978516,0.4600881040096283,0.19890835881233215
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2598128020763397,0.22448869049549103,0.2901604175567627,0.2541380822658539,0.2603943943977356,0.29967203736305237,0.24012897908687592,0.4130953550338745
