,what,is,the,observable,effect,of,w,and,z,boson,exchange,?
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.3189348578453064,0.27630379796028137,0.48690423369407654,0.14096245169639587,0.3841775357723236,0.12624846398830414,0.18689322471618652,0.18120644986629486,0.15103481709957123
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.2415720522403717,0.22101694345474243,0.4178851246833801,0.12443985044956207,0.4309377074241638,0.14527250826358795,0.15741942822933197,0.12472797930240631,0.2107497900724411
familiar,0.40296757221221924,0.19191116094589233,0.252662718296051,0.3038487732410431,0.23824432492256165,0.26152390241622925,0.1393827348947525,0.28976723551750183,0.20271895825862885,0.19429729878902435,0.08749128133058548,0.2747369706630707
effect,0.2546532452106476,0.17614969611167908,0.2865084111690521,0.3396174907684326,1.0,0.24129827320575714,0.16939722001552582,0.23508284986019135,0.13918568193912506,0.3399735987186432,0.21596159040927887,0.1783771812915802
is,0.28837618231773376,1.0,0.5823672413825989,0.2819785475730896,0.17614969611167908,0.4854315221309662,0.13304269313812256,0.3859752118587494,0.14599581062793732,0.21071606874465942,0.19539384543895721,0.22961433231830597
beta,0.1807221919298172,0.18818753957748413,0.20390360057353973,0.17615753412246704,0.2334318459033966,0.14660470187664032,0.1323537528514862,0.21016964316368103,0.18180322647094727,0.3500295579433441,0.14717988669872284,0.1808648556470871
decay,0.19008733332157135,0.2197335660457611,0.19517692923545837,0.33419865369796753,0.21336108446121216,0.23059330880641937,0.15898367762565613,0.22840984165668488,0.17168040573596954,0.47986626625061035,0.16065554320812225,0.14745593070983887
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.18454401195049286,0.14807337522506714,0.35032153129577637,0.21490217745304108,0.4862271547317505,0.18607375025749207,0.164993554353714,0.139578714966774,0.40561532974243164
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.27932873368263245,0.24129827320575714,1.0,0.18087176978588104,0.5116966962814331,0.15415705740451813,0.1936337798833847,0.23548997938632965,0.1826142966747284
neutrons,0.197556734085083,0.18578003346920013,0.20993134379386902,0.4297533631324768,0.2457936704158783,0.21559952199459076,0.0922507718205452,0.2170683592557907,0.20850062370300293,0.5981850028038025,0.20357227325439453,0.12653736770153046
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21358658373355865,0.25150683522224426,0.5696388483047485,0.15883786976337433,0.4954058527946472,0.17187367379665375,0.13228078186511993,0.21970009803771973,0.20430970191955566
atomic,0.24257957935333252,0.1635025292634964,0.20241498947143555,0.3360399305820465,0.22671733796596527,0.2374633401632309,0.12092088907957077,0.19259218871593475,0.1704864799976349,0.5203428268432617,0.1813494861125946,0.16654692590236664
nuclei,0.19931645691394806,0.2258600890636444,0.1860578954219818,0.38651949167251587,0.2316049039363861,0.22407028079032898,0.07696826010942459,0.2386254519224167,0.2189062237739563,0.5551872253417969,0.1996406614780426,0.14270271360874176
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1730416864156723,0.1535777598619461,0.3680361211299896,0.2050139456987381,0.4961937665939331,0.1951553374528885,0.16139937937259674,0.14545632898807526,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.19854512810707092,0.23508284986019135,0.5116966962814331,0.2305305004119873,1.0,0.16202889382839203,0.19991996884346008,0.23130671679973602,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.2857179641723633,0.2865084111690521,0.733189046382904,0.18130412697792053,0.5171257257461548,0.17444150149822235,0.2031402587890625,0.2543705105781555,0.22068053483963013
associated,0.15836219489574432,0.2300606518983841,0.2742886245250702,0.2075006067752838,0.2144554853439331,0.3077163100242615,0.21711204946041107,0.30157923698425293,0.12072592973709106,0.185581237077713,0.12345506995916367,0.1453326791524887
radioactivity,0.2828071415424347,0.2413831353187561,0.22687268257141113,0.3748408854007721,0.3202108144760132,0.2589235305786133,0.1391269862651825,0.19578473269939423,0.08016134053468704,0.4125790297985077,0.18653403222560883,0.1957060694694519
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22464320063591003,0.2277858853340149,0.5352458953857422,0.2951887845993042,0.588965117931366,0.26772791147232056,0.20664599537849426,0.14290252327919006,0.4130953550338745
