,who,led,the,in,house,design,studies,for,nasa,?
meanwhile,0.3488052487373352,0.24666260182857513,0.2615615129470825,0.18316087126731873,0.19072872400283813,0.10179958492517471,0.10280805081129074,0.2021147757768631,0.1667049527168274,0.16201108694076538
",",0.3365725874900818,0.22548827528953552,0.4933079481124878,0.5201468467712402,0.28236111998558044,0.19350415468215942,0.26373082399368286,0.4464869201183319,0.18665438890457153,0.31091248989105225
nasa,0.1536933034658432,0.1482798308134079,0.19786997139453888,0.15705716609954834,0.2109670639038086,0.19741693139076233,0.29732659459114075,0.17481353878974915,1.0000001192092896,0.1809994876384735
performed,0.2702884376049042,0.18319344520568848,0.239950031042099,0.27994897961616516,0.15503238141536713,0.1186879575252533,0.16073815524578094,0.26222237944602966,0.15822690725326538,0.14428307116031647
its,0.1326070874929428,0.1544189751148224,0.559237003326416,0.3793783485889435,0.18528613448143005,0.29393360018730164,0.1987047642469406,0.2992613911628723,0.15373986959457397,0.15103481709957123
own,0.31838667392730713,0.1826937049627304,0.334675133228302,0.31893372535705566,0.23556926846504211,0.2389262467622757,0.17159590125083923,0.30703625082969666,0.15616275370121002,0.1937696635723114
in-house,0.26785269379615784,0.16079731285572052,0.28147611021995544,0.23458699882030487,0.7615916728973389,0.24077609181404114,0.1927359402179718,0.24897325038909912,0.24884751439094543,0.28404587507247925
spacecraft,0.17995841801166534,0.164631649851799,0.21476294100284576,0.19417698681354523,0.12281135469675064,0.20731449127197266,0.23565976321697235,0.22045060992240906,0.6415037512779236,0.17708687484264374
design,0.12787467241287231,0.12460310012102127,0.27913451194763184,0.21856798231601715,0.17972803115844727,1.0000001192092896,0.23461391031742096,0.2477298229932785,0.19741693139076233,0.16351860761642456
studies,0.13456499576568604,0.20756834745407104,0.22738903760910034,0.30442532896995544,0.1347331553697586,0.23461391031742096,0.9999998807907104,0.15209509432315826,0.29732659459114075,0.1388726830482483
led,0.2450801581144333,0.9999999403953552,0.3267505168914795,0.2990247309207916,0.15230105817317963,0.12460310012102127,0.20756834745407104,0.2628403306007385,0.1482798308134079,0.09273858368396759
by,0.39727845788002014,0.30694612860679626,0.4408751428127289,0.370934396982193,0.20914818346500397,0.20755122601985931,0.17011062800884247,0.3248702883720398,0.19248856604099274,0.17966607213020325
maxime,0.25884032249450684,0.113408662378788,0.1615416258573532,0.17374540865421295,0.18787872791290283,0.19736020267009735,0.10811520367860794,0.09652204066514969,0.21942347288131714,0.1542433202266693
faget,0.3131161034107208,0.14148978888988495,0.2674218714237213,0.32613828778266907,0.24592351913452148,0.17484912276268005,0.24606002867221832,0.18717597424983978,0.20425301790237427,0.3170475661754608
",",0.3365725874900818,0.22548827528953552,0.4933079481124878,0.5201468467712402,0.28236111998558044,0.19350415468215942,0.26373082399368286,0.4464869201183319,0.18665438890457153,0.31091248989105225
to,0.42656609416007996,0.21815308928489685,0.535392165184021,0.45010748505592346,0.23688754439353943,0.26415011286735535,0.27655282616615295,0.4451248347759247,0.21193136274814606,0.29463258385658264
serve,0.2677389681339264,0.13635925948619843,0.2749462425708771,0.20702329277992249,0.2187584489583969,0.18519632518291473,0.09636729210615158,0.36519864201545715,0.16985753178596497,0.19925682246685028
as,0.3923053741455078,0.20535489916801453,0.48381632566452026,0.3887844979763031,0.18534636497497559,0.21253643929958344,0.22210973501205444,0.44774648547172546,0.1753126084804535,0.27043893933296204
a,0.36608949303627014,0.19072435796260834,0.5829201340675354,0.539380669593811,0.26758551597595215,0.25211480259895325,0.24775946140289307,0.44038116931915283,0.19403119385242462,0.23916715383529663
gauge,0.17989392578601837,0.13171690702438354,0.20929455757141113,0.18491436541080475,0.11688516288995743,0.24415986239910126,0.16973796486854553,0.16619427502155304,0.11842277646064758,0.2129381000995636
to,0.42656609416007996,0.21815308928489685,0.535392165184021,0.45010748505592346,0.23688754439353943,0.26415011286735535,0.27655282616615295,0.4451248347759247,0.21193136274814606,0.29463258385658264
judge,0.3118523359298706,0.10544000566005707,0.21985375881195068,0.2260766327381134,0.20680423080921173,0.12648163735866547,0.16466623544692993,0.21203121542930603,0.15049098432064056,0.1870231032371521
and,0.41279885172843933,0.2780643701553345,0.5171257257461548,0.4954058527946472,0.2552875876426697,0.21815341711044312,0.30504533648490906,0.5064792633056641,0.12810774147510529,0.20544172823429108
monitor,0.1760794073343277,0.17153148353099823,0.21356156468391418,0.10966344177722931,0.1928359717130661,0.2737397253513336,0.16592413187026978,0.20012032985687256,0.2043866366147995,0.167510524392128
the,0.3733934462070465,0.3267505168914795,1.0,0.6662389636039734,0.2847244441509247,0.27913451194763184,0.22738903760910034,0.4739971458911896,0.19786997139453888,0.22068053483963013
three,0.2491552233695984,0.21491190791130066,0.43452659249305725,0.34828072786331177,0.2181791365146637,0.17918427288532257,0.12373217940330505,0.3032672107219696,0.08892105519771576,0.20928427577018738
industry,0.1234421357512474,0.13031204044818878,0.26942890882492065,0.2675124704837799,0.16755680739879608,0.290041446685791,0.20962727069854736,0.29360833764076233,0.16028086841106415,0.11813290417194366
designs,0.1905442327260971,0.13920141756534576,0.2415979504585266,0.18954916298389435,0.17716248333454132,0.7736232876777649,0.20828008651733398,0.2035476267337799,0.19806988537311554,0.12927207350730896
.,0.3541337847709656,0.19335708022117615,0.5934505462646484,0.5591574311256409,0.2607949376106262,0.24995818734169006,0.22173671424388885,0.4726039469242096,0.22033250331878662,0.4130953550338745
,who,led,the,in,house,design,studies,for,nasa,?
in,0.2792111933231354,0.2990247309207916,0.6662389636039734,1.0,0.20026938617229462,0.21856798231601715,0.30442532896995544,0.4322226941585541,0.15705716609954834,0.20430970191955566
july,0.2606464624404907,0.18186330795288086,0.2371699959039688,0.26500701904296875,0.15198063850402832,0.16073548793792725,0.10253984481096268,0.28973108530044556,0.1509821116924286,0.2897891402244568
1960,-0.04823179915547371,-0.04301576688885689,0.038049813359975815,0.03880028799176216,0.14892947673797607,0.0033609813544899225,0.017223628237843513,-0.060841381549835205,0.04446675255894661,-0.02243652194738388
",",0.3365725874900818,0.22548827528953552,0.4933079481124878,0.5201468467712402,0.28236111998558044,0.19350415468215942,0.26373082399368286,0.4464869201183319,0.18665438890457153,0.31091248989105225
nasa,0.1536933034658432,0.1482798308134079,0.19786997139453888,0.15705716609954834,0.2109670639038086,0.19741693139076233,0.29732659459114075,0.17481353878974915,1.0000001192092896,0.1809994876384735
deputy,0.24006639420986176,0.21115078032016754,0.2075105756521225,0.21997958421707153,0.24588818848133087,0.07534080743789673,0.18694959580898285,0.15870533883571625,0.2624065577983856,0.08738585561513901
administrator,0.29738950729370117,0.1320294290781021,0.23136885464191437,0.16844739019870758,0.14169995486736298,0.1863369643688202,0.1797412633895874,0.22280412912368774,0.2822103500366211,0.2915230691432953
hugh,0.24496686458587646,0.22528164088726044,0.24369864165782928,0.18993298709392548,0.25217321515083313,0.11385709792375565,0.1361350417137146,0.13239030539989471,0.13781538605690002,0.12381613999605179
l.,-0.00789702869951725,-0.05897730588912964,0.06809674203395844,0.06709589809179306,-0.11605330556631088,0.016753064468503,-0.023249218240380287,0.02781061641871929,-0.02648899145424366,0.05018472298979759
dryden,0.25466591119766235,0.24066556990146637,0.27064427733421326,0.2521308362483978,0.20067082345485687,0.1854821741580963,0.2339535802602768,0.2664504945278168,0.3150784969329834,0.1805235594511032
announced,0.11685211956501007,0.3032820522785187,0.2277132272720337,0.2528248429298401,0.07570520043373108,0.14874960482120514,0.0988418310880661,0.2801167368888855,0.22979891300201416,0.17416009306907654
the,0.3733934462070465,0.3267505168914795,1.0,0.6662389636039734,0.2847244441509247,0.27913451194763184,0.22738903760910034,0.4739971458911896,0.19786997139453888,0.22068053483963013
apollo,0.19149452447891235,0.178904727101326,0.2169172167778015,0.1461767554283142,0.12133733183145523,0.20354723930358887,0.1365104466676712,0.18462510406970978,0.4747956395149231,0.191528782248497
program,0.2097788155078888,0.16123229265213013,0.22986935079097748,0.1994907110929489,0.06584461033344269,0.2586917579174042,0.22862312197685242,0.29441335797309875,0.3442091643810272,0.1440187245607376
to,0.42656609416007996,0.21815308928489685,0.535392165184021,0.45010748505592346,0.23688754439353943,0.26415011286735535,0.27655282616615295,0.4451248347759247,0.21193136274814606,0.29463258385658264
industry,0.1234421357512474,0.13031204044818878,0.26942890882492065,0.2675124704837799,0.16755680739879608,0.290041446685791,0.20962727069854736,0.29360833764076233,0.16028086841106415,0.11813290417194366
representatives,0.19269686937332153,0.20849747955799103,0.2691882848739624,0.2394939363002777,0.6016852259635925,0.1579180210828781,0.1966681033372879,0.21602854132652283,0.21500010788440704,0.14079871773719788
at,0.22096660733222961,0.21907441318035126,0.457212895154953,0.4374977946281433,0.23401996493339539,0.24967995285987854,0.22942647337913513,0.34237727522850037,0.19164150953292847,0.21978627145290375
a,0.36608949303627014,0.19072435796260834,0.5829201340675354,0.539380669593811,0.26758551597595215,0.25211480259895325,0.24775946140289307,0.44038116931915283,0.19403119385242462,0.23916715383529663
series,0.21484537422657013,0.19765207171440125,0.31376904249191284,0.2914260923862457,0.15846574306488037,0.1966908574104309,0.15556646883487701,0.2715710699558258,0.13186661899089813,0.1709602326154709
of,0.2827862501144409,0.32918456196784973,0.733189046382904,0.5696388483047485,0.285114049911499,0.2522938847541809,0.26975658535957336,0.4185989499092102,0.17935146391391754,0.1826142966747284
space,0.1441284865140915,0.09815192967653275,0.24495907127857208,0.17648501694202423,0.19823960959911346,0.18575134873390198,0.15825507044792175,0.24232043325901031,0.4611377716064453,0.1885536164045334
task,0.27233749628067017,0.127092644572258,0.22566188871860504,0.1762852966785431,0.11397611349821091,0.2624374032020569,0.15582899749279022,0.26711714267730713,0.23243984580039978,0.289821058511734
group,0.33690139651298523,0.2624949812889099,0.30795547366142273,0.2304753065109253,0.1857573688030243,0.11281595379114151,0.23558807373046875,0.24519909918308258,0.13749520480632782,0.13827809691429138
conferences,0.15369366109371185,0.171726256608963,0.2745058238506317,0.23602792620658875,0.1641949564218521,0.1984536200761795,0.2429850697517395,0.2596597671508789,0.11971443891525269,0.14015959203243256
.,0.3541337847709656,0.19335708022117615,0.5934505462646484,0.5591574311256409,0.2607949376106262,0.24995818734169006,0.22173671424388885,0.4726039469242096,0.22033250331878662,0.4130953550338745
