,what,happens,to,the,norm,when,a,number,is,multiplied,by,p,?
in,0.30808621644973755,0.2737985849380493,0.45010748505592346,0.6662389636039734,0.14414826035499573,0.4431333839893341,0.539380669593811,0.3024539053440094,0.5394441485404968,0.15626539289951324,0.370934396982193,0.10853569954633713,0.20430970191955566
particular,0.4548671245574951,0.36113041639328003,0.40318208932876587,0.4066357910633087,0.2046194076538086,0.33299341797828674,0.439316987991333,0.34953638911247253,0.3500361442565918,0.25836384296417236,0.2932211756706238,0.09647548198699951,0.2741454839706421
",",0.3087472915649414,0.24968470633029938,0.44245919585227966,0.4933079481124878,0.20988225936889648,0.36674630641937256,0.427140474319458,0.2535701394081116,0.4691906273365021,0.2023826390504837,0.3680937886238098,0.291064590215683,0.31091248989105225
this,0.5489566326141357,0.4170730710029602,0.5759071707725525,0.6274310946464539,0.20471228659152985,0.4959332048892975,0.5422310829162598,0.3291929066181183,0.480927973985672,0.27018195390701294,0.38438332080841064,0.1763012558221817,0.3155723512172699
norm,0.2015267312526703,0.22481006383895874,0.21037925779819489,0.12613478302955627,0.9999998807907104,0.18230247497558594,0.20796319842338562,0.15674537420272827,0.20816896855831146,0.325061559677124,0.11919830739498138,0.15973517298698425,0.19331911206245422
gets,0.20188207924365997,0.4487942159175873,0.301471084356308,0.29983434081077576,0.24652239680290222,0.39530372619628906,0.3092389404773712,0.14509816467761993,0.42208805680274963,0.22137485444545746,0.23471041023731232,0.07480711489915848,0.22999030351638794
smaller,0.23730900883674622,0.26772424578666687,0.2597835958003998,0.3588939607143402,0.04091275855898857,0.27156612277030945,0.26141878962516785,0.2625497281551361,0.22372925281524658,0.30500420928001404,0.1836150735616684,0.15055759251117706,0.17881669104099274
when,0.4700249433517456,0.41803792119026184,0.5423505902290344,0.5091903209686279,0.18230247497558594,0.9999999403953552,0.44397395849227905,0.2767394483089447,0.3471449911594391,0.27860280871391296,0.4376842677593231,0.08984815329313278,0.22841128706932068
a,0.3320399522781372,0.3780156075954437,0.45503583550453186,0.5829201340675354,0.20796319842338562,0.44397395849227905,1.0,0.2992287278175354,0.658733606338501,0.2519403398036957,0.32094135880470276,0.15866722166538239,0.23916715383529663
number,0.23046229779720306,0.17053885757923126,0.2706126868724823,0.35145696997642517,0.15674537420272827,0.2767394483089447,0.2992287278175354,1.0,0.22390379011631012,0.45234405994415283,0.2551532983779907,0.17267411947250366,0.19256845116615295
is,0.28837618231773376,0.3918035626411438,0.42745086550712585,0.5823672413825989,0.20816896855831146,0.3471449911594391,0.658733606338501,0.22390379011631012,1.0,0.20697739720344543,0.3899846076965332,0.11757151037454605,0.22961433231830597
multiplied,0.24529024958610535,0.29615646600723267,0.2589922845363617,0.22792427241802216,0.325061559677124,0.27860280871391296,0.2519403398036957,0.45234405994415283,0.20697739720344543,1.0000001192092896,0.22849585115909576,0.24721036851406097,0.1695268452167511
by,0.2455483376979828,0.19059157371520996,0.33534231781959534,0.4408751428127289,0.11919830739498138,0.4376842677593231,0.32094135880470276,0.2551532983779907,0.3899846076965332,0.22849585115909576,1.0000001192092896,0.06021369248628616,0.17966607213020325
p,0.18586504459381104,0.09149026870727539,0.14269764721393585,0.16481639444828033,0.15973517298698425,0.08984815329313278,0.15866722166538239,0.17267411947250366,0.11757151037454605,0.24721036851406097,0.06021369248628616,1.0,0.20840544998645782
",",0.3087472915649414,0.24968470633029938,0.44245919585227966,0.4933079481124878,0.20988225936889648,0.36674630641937256,0.427140474319458,0.2535701394081116,0.4691906273365021,0.2023826390504837,0.3680937886238098,0.291064590215683,0.31091248989105225
in,0.30808621644973755,0.2737985849380493,0.45010748505592346,0.6662389636039734,0.14414826035499573,0.4431333839893341,0.539380669593811,0.3024539053440094,0.5394441485404968,0.15626539289951324,0.370934396982193,0.10853569954633713,0.20430970191955566
