,what,country,showed,all,three,episodes,of,silver,nemesis,before,the,bbc,did,?
the,0.42745697498321533,0.30432501435279846,0.3101346790790558,0.4860881567001343,0.43452659249305725,0.1889590173959732,0.733189046382904,0.2600913643836975,0.2027079313993454,0.45900648832321167,1.0,0.2735401690006256,0.34736719727516174,0.22068053483963013
1988,-0.09063374996185303,-0.012045894749462605,0.025432651862502098,-0.08441288024187088,0.027614468708634377,0.027154291048645973,0.017496710643172264,0.12207464128732681,0.032071780413389206,-0.1046905443072319,-0.009787061251699924,0.04492297023534775,-0.03694842383265495,0.08449683338403702
story,0.3410749137401581,0.11369732767343521,0.18815548717975616,0.18993274867534637,0.24776867032051086,0.32539278268814087,0.2687002420425415,0.13770484924316406,0.34874069690704346,0.21399946510791779,0.2915393114089966,0.23432467877864838,0.24619799852371216,0.2304346114397049
silver,0.10540545731782913,0.08956275135278702,0.10806801915168762,0.2012423574924469,0.19928354024887085,0.10724500566720963,0.18475119769573212,1.0,0.21941697597503662,0.17502649128437042,0.2600913643836975,0.16227997839450836,0.14326804876327515,0.11920861899852753
nemesis,0.19832664728164673,0.10539893805980682,0.14357896149158478,0.14363089203834534,0.14699842035770416,0.27985283732414246,0.16348913311958313,0.21941697597503662,1.0000001192092896,0.16244594752788544,0.2027079313993454,0.1618931144475937,0.14087939262390137,0.1640598326921463
was,0.22111038863658905,0.24557247757911682,0.36072292923927307,0.23179835081100464,0.2748996615409851,0.157072052359581,0.4069072902202606,0.20485788583755493,0.2023065984249115,0.38607707619667053,0.48711544275283813,0.19087861478328705,0.41399896144866943,0.18412111699581146
broadcast,0.17857211828231812,0.22846896946430206,0.2377508580684662,0.14730939269065857,0.2180454581975937,0.4185161590576172,0.20155203342437744,0.10214454680681229,0.1388358771800995,0.17550933361053467,0.2713715434074402,0.5486354827880859,0.17054221034049988,0.15760008990764618
with,0.2464839518070221,0.24760155379772186,0.27643677592277527,0.3876307010650635,0.35964319109916687,0.24692673981189728,0.41827285289764404,0.18899847567081451,0.22299230098724365,0.32654517889022827,0.4223487675189972,0.20973603427410126,0.25472134351730347,0.2433311939239502
all,0.41981086134910583,0.20782890915870667,0.23538167774677277,1.0000001192092896,0.3989922106266022,0.21445471048355103,0.42798417806625366,0.2012423574924469,0.14363089203834534,0.3065541982650757,0.4860881567001343,0.16617724299430847,0.33943864703178406,0.29575422406196594
three,0.24888746440410614,0.1821238249540329,0.16911184787750244,0.3989922106266022,1.0,0.2550216317176819,0.3844621181488037,0.19928354024887085,0.14699842035770416,0.2563847005367279,0.43452659249305725,0.18712837994098663,0.2043166607618332,0.20928427577018738
episodes,0.15438014268875122,0.12359200417995453,0.23195570707321167,0.21445471048355103,0.2550216317176819,0.9999999403953552,0.19166667759418488,0.10724500566720963,0.27985283732414246,0.19195671379566193,0.1889590173959732,0.37426334619522095,0.1200496256351471,0.21740183234214783
airing,0.19145789742469788,0.15326951444149017,0.2246701866388321,0.193220853805542,0.18958713114261627,0.5712147951126099,0.173755943775177,0.149961456656456,0.1919471025466919,0.24770595133304596,0.26751524209976196,0.422178715467453,0.1470096856355667,0.20769737660884857
