,what,kind,of,membrane,came,from,the,host,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.21814598143100739,0.39390382170677185,0.40150508284568787,1.0,0.26909032464027405,0.22068053483963013
two,0.23363454639911652,0.18198929727077484,0.37726253271102905,0.24738754332065582,0.2750657796859741,0.25732070207595825,0.43858039379119873,0.15935473144054413,0.19645625352859497
innermost,0.266414076089859,0.28826257586479187,0.3745252788066864,0.5212553143501282,0.12443674355745316,0.20381225645542145,0.3817283511161804,0.2155793160200119,0.14674246311187744
lipid-bilayer,0.21807622909545898,0.2952161729335785,0.31510138511657715,0.6871688365936279,0.0987953320145607,0.25066253542900085,0.3135475814342499,0.26099225878715515,0.2071004956960678
membranes,0.18834297358989716,0.21400325000286102,0.23994219303131104,0.9437052011489868,0.09785780310630798,0.19746801257133484,0.2330547422170639,0.2300373613834381,0.20524227619171143
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.27394893765449524,0.31804272532463074,0.3477667272090912,0.5473989248275757,0.18125994503498077,0.32716336846351624
surround,0.1624242216348648,0.11884091794490814,0.2883262634277344,0.30546197295188904,0.16590160131454468,0.2863602638244629,0.3182075023651123,0.19350361824035645,0.013390609063208103
all,0.41981086134910583,0.2942016124725342,0.42798417806625366,0.23909153044223785,0.2912399470806122,0.2866387963294983,0.4860881567001343,0.1792251020669937,0.29575422406196594
chloroplasts,0.2524593770503998,0.25487130880355835,0.23179760575294495,0.6331068873405457,0.12609577178955078,0.21740731596946716,0.23062430322170258,0.2900705635547638,0.13049766421318054
correspond,0.21269553899765015,0.1792588084936142,0.3131212592124939,0.2987152934074402,0.21534977853298187,0.22306601703166962,0.3562204837799072,0.21773919463157654,0.1509012132883072
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.17791007459163666,0.3111628592014313,0.4069952368736267,0.535392165184021,0.18300798535346985,0.29463258385658264
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.21814598143100739,0.39390382170677185,0.40150508284568787,1.0,0.26909032464027405,0.22068053483963013
outer,0.2157491147518158,0.17548112571239471,0.26699039340019226,0.4687429368495941,0.1551000326871872,0.23237934708595276,0.3022986054420471,0.16565661132335663,0.06864649802446365
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.233199805021286,0.3049735128879547,0.3601827025413513,0.5171257257461548,0.2797408998012543,0.20544172823429108
inner,0.226011261343956,0.17250843346118927,0.2847692370414734,0.4012722969055176,0.1637139916419983,0.1975262314081192,0.2790820598602295,0.13414886593818665,0.10395674407482147
membranes,0.18834297358989716,0.21400325000286102,0.23994219303131104,0.9437052011489868,0.09785780310630798,0.19746801257133484,0.2330547422170639,0.2300373613834381,0.20524227619171143
of,0.33290785551071167,0.2285657674074173,1.0,0.22049079835414886,0.3201526999473572,0.4249346852302551,0.733189046382904,0.1709926575422287,0.1826142966747284
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.21814598143100739,0.39390382170677185,0.40150508284568787,1.0,0.26909032464027405,0.22068053483963013
ancestral,0.17634287476539612,0.15485021471977234,0.31762784719467163,0.3086555600166321,0.20807699859142303,0.23734961450099945,0.274385929107666,0.1528416872024536,0.11722901463508606
cyanobacterium,0.241913303732872,0.27814188599586487,0.22479623556137085,0.48407647013664246,0.15372025966644287,0.2457578480243683,0.22151070833206177,0.2655635476112366,0.20120567083358765
's,0.02692362666130066,0.046514540910720825,-0.03817026689648628,-0.09767278283834457,0.03627123311161995,-0.01936490088701248,-0.01540423184633255,-0.04823359102010727,-0.023395681753754616
gram,0.146901473402977,0.28396329283714294,0.22439177334308624,0.37169349193573,0.13844822347164154,0.23762530088424683,0.1805008202791214,0.15869514644145966,0.07889904081821442
negative,0.23431497812271118,0.22401393949985504,0.17049510776996613,0.24193941056728363,0.13270987570285797,0.20269517600536346,0.1981879472732544,0.09620266407728195,0.12562139332294464
cell,0.19222842156887054,0.20075704157352448,0.18332023918628693,0.6160592436790466,0.0961674302816391,0.20098808407783508,0.15822452306747437,0.23582066595554352,0.2058541625738144
wall,0.164457768201828,0.1682508885860443,0.18525563180446625,0.35133445262908936,0.12520235776901245,0.22894826531410217,0.3003387749195099,0.15497860312461853,0.06349854171276093
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.18095634877681732,0.3049119710922241,0.39760664105415344,0.4933079481124878,0.26840344071388245,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.233199805021286,0.3049735128879547,0.3601827025413513,0.5171257257461548,0.2797408998012543,0.20544172823429108
