,who,created,the,code,that,governed,military,and,civilian,conduct,in,the,mongol,empire,?
the,0.3733934462070465,0.3539263904094696,1.0,0.25827479362487793,0.5473989248275757,0.3389590084552765,0.2290858030319214,0.5171257257461548,0.2584705650806427,0.24627962708473206,0.6662389636039734,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
mongol,0.22505711019039154,0.06849143654108047,0.2924198508262634,0.10796893388032913,0.20668581128120422,0.15074819326400757,0.26000091433525085,0.21553155779838562,0.16524165868759155,0.10629557818174362,0.16958336532115936,0.2924198508262634,1.0000001192092896,0.45230501890182495,0.12849251925945282
empire,0.18977859616279602,0.1880563348531723,0.32532164454460144,0.11796534806489944,0.1784069836139679,0.3027004599571228,0.31379666924476624,0.27479609847068787,0.22409272193908691,0.13141334056854248,0.24110576510429382,0.32532164454460144,0.45230501890182495,1.0000001192092896,0.14909450709819794
was,0.3318818509578705,0.3592788577079773,0.48711544275283813,0.16059301793575287,0.33670201897621155,0.2891733646392822,0.24704936146736145,0.3740963041782379,0.2498258650302887,0.19851036369800568,0.45514053106307983,0.48711544275283813,0.17204789817333221,0.30602675676345825,0.18412111699581146
governed,0.2344985008239746,0.3345671594142914,0.3389590084552765,0.24450959265232086,0.2518049478530884,1.0000001192092896,0.2769842743873596,0.2838749289512634,0.27192074060440063,0.19741523265838623,0.2822141647338867,0.3389590084552765,0.15074819326400757,0.3027004599571228,0.12964454293251038
by,0.39727845788002014,0.3492257595062256,0.4408751428127289,0.16985873878002167,0.37496164441108704,0.2678864002227783,0.2170676290988922,0.4289871156215668,0.2362581044435501,0.18600966036319733,0.370934396982193,0.4408751428127289,0.1995033621788025,0.19236046075820923,0.17966607213020325
a,0.36608949303627014,0.30777761340141296,0.5829201340675354,0.22008100152015686,0.47537946701049805,0.1696038395166397,0.22087278962135315,0.3739250600337982,0.2212928682565689,0.2023347169160843,0.539380669593811,0.5829201340675354,0.15921570360660553,0.1900206059217453,0.23916715383529663
civilian,0.23742589354515076,0.18043287098407745,0.2584705650806427,0.17787966132164001,0.18846450746059418,0.27192074060440063,0.5559234619140625,0.2597215175628662,1.0000001192092896,0.24848432838916779,0.2745838761329651,0.2584705650806427,0.16524165868759155,0.22409272193908691,0.10538440197706223
and,0.41279885172843933,0.2873832881450653,0.5171257257461548,0.18216200172901154,0.4731321930885315,0.2838749289512634,0.2530125379562378,1.0,0.2597215175628662,0.2281462550163269,0.4954058527946472,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.20544172823429108
military,0.28924500942230225,0.14113406836986542,0.2290858030319214,0.178566113114357,0.19748787581920624,0.2769842743873596,0.9999998807907104,0.2530125379562378,0.5559234619140625,0.2664914131164551,0.2402431070804596,0.2290858030319214,0.26000091433525085,0.31379666924476624,0.1890317052602768
code,0.13971132040023804,0.16284388303756714,0.25827479362487793,1.0000001192092896,0.24591493606567383,0.24450959265232086,0.178566113114357,0.18216200172901154,0.17787966132164001,0.18107105791568756,0.20991306006908417,0.25827479362487793,0.10796893388032913,0.11796534806489944,0.22105959057807922
",",0.3365725874900818,0.2755771577358246,0.4933079481124878,0.1951065957546234,0.4137537479400635,0.24968869984149933,0.2611614465713501,0.6633074283599854,0.2398751825094223,0.19693340361118317,0.5201468467712402,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
called,0.3151143789291382,0.281825989484787,0.489897221326828,0.2096724808216095,0.41604554653167725,0.3507288694381714,0.135273739695549,0.3251761794090271,0.14039167761802673,0.22080282866954803,0.40847352147102356,0.489897221326828,0.16997669637203217,0.17457866668701172,0.18963319063186646
the,0.3733934462070465,0.3539263904094696,1.0,0.25827479362487793,0.5473989248275757,0.3389590084552765,0.2290858030319214,0.5171257257461548,0.2584705650806427,0.24627962708473206,0.6662389636039734,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
yassa,0.20074689388275146,0.1576436311006546,0.26399537920951843,0.11929567903280258,0.18303057551383972,0.26565128564834595,0.18427149951457977,0.20292732119560242,0.187935471534729,0.07510676980018616,0.18529514968395233,0.26399537920951843,0.23052190244197845,0.23220773041248322,0.18545334041118622
",",0.3365725874900818,0.2755771577358246,0.4933079481124878,0.1951065957546234,0.4137537479400635,0.24968869984149933,0.2611614465713501,0.6633074283599854,0.2398751825094223,0.19693340361118317,0.5201468467712402,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
created,0.25695955753326416,1.0,0.3539263904094696,0.16284388303756714,0.3583657741546631,0.3345671594142914,0.14113406836986542,0.2873832881450653,0.18043287098407745,0.1365726739168167,0.2843434810638428,0.3539263904094696,0.06849143654108047,0.1880563348531723,0.21177415549755096
by,0.39727845788002014,0.3492257595062256,0.4408751428127289,0.16985873878002167,0.37496164441108704,0.2678864002227783,0.2170676290988922,0.4289871156215668,0.2362581044435501,0.18600966036319733,0.370934396982193,0.4408751428127289,0.1995033621788025,0.19236046075820923,0.17966607213020325
genghis,0.3018350303173065,0.13122810423374176,0.3448939025402069,0.1383885145187378,0.21352417767047882,0.19919276237487793,0.29472070932388306,0.26551535725593567,0.19349044561386108,0.11722670495510101,0.224680557847023,0.3448939025402069,0.6244974732398987,0.42237505316734314,0.18813461065292358
khan,0.2616176903247833,0.07355073094367981,0.21067845821380615,0.1156713142991066,0.14077997207641602,0.15803293883800507,0.22762557864189148,0.22885166108608246,0.1886126548051834,0.13187481462955475,0.1527150720357895,0.21067845821380615,0.5576101541519165,0.38083162903785706,0.12862591445446014
.,0.3541337847709656,0.3230568766593933,0.5934505462646484,0.23366451263427734,0.4460422694683075,0.24544399976730347,0.21794499456882477,0.588965117931366,0.22258040308952332,0.16721296310424805,0.5591574311256409,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.4130953550338745
