,what,does,the,pleurobrachia,have,on,opposite,sides,of,its,body,?
from,0.2737620174884796,0.1777622550725937,0.40150508284568787,0.26074203848838806,0.30702701210975647,0.36926645040512085,0.17869265377521515,0.18263481557369232,0.4249346852302551,0.32706040143966675,0.16964858770370483,0.19969791173934937
opposite,0.2760887145996094,0.28554317355155945,0.2730693221092224,0.2204284816980362,0.27613285183906555,0.2522927224636078,1.0,0.4218006730079651,0.2534274458885193,0.2063344120979309,0.21274487674236298,0.0778411254286766
sides,0.2306775599718094,0.24410396814346313,0.3694373369216919,0.23301230370998383,0.32830873131752014,0.37508270144462585,0.4218006730079651,1.0,0.2580065131187439,0.26828503608703613,0.2157052904367447,0.09230148047208786
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.3104107975959778,0.3802283704280853,0.3966929316520691,0.2534274458885193,0.2580065131187439,1.0,0.48690423369407654,0.25063133239746094,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.3389502763748169,0.40389683842658997,0.5107308030128479,0.2730693221092224,0.3694373369216919,0.733189046382904,0.559237003326416,0.31682634353637695,0.22068053483963013
body,0.2143840193748474,0.27194929122924805,0.31682634353637695,0.3844464123249054,0.27852192521095276,0.20112086832523346,0.21274487674236298,0.2157052904367447,0.25063133239746094,0.23673126101493835,1.0,0.20136451721191406
extends,0.19643902778625488,0.3191351294517517,0.39314064383506775,0.3184167742729187,0.21291370689868927,0.2659096121788025,0.2577803134918213,0.3006253242492676,0.3704025447368622,0.397170752286911,0.26403969526290894,0.1020013764500618
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.2922356128692627,0.338716596364975,0.3848365545272827,0.22833546996116638,0.22939197719097137,0.5052502155303955,0.4424409866333008,0.26263290643692017,0.23916715383529663
pair,0.1797199696302414,0.11549903452396393,0.2643369734287262,0.2905360460281372,0.31741735339164734,0.1934850513935089,0.3055591285228729,0.3572322726249695,0.19449220597743988,0.1999005526304245,0.21762152016162872,0.11695868521928787
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.3104107975959778,0.3802283704280853,0.3966929316520691,0.2534274458885193,0.2580065131187439,1.0,0.48690423369407654,0.25063133239746094,0.1826142966747284
long,0.28276848793029785,0.2278868407011032,0.3075225353240967,0.28709179162979126,0.3668093681335449,0.3373977243900299,0.19005927443504333,0.2255226969718933,0.2567519545555115,0.29187172651290894,0.25068914890289307,0.19699987769126892
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.3501478135585785,0.3541618287563324,0.49057599902153015,0.2169174700975418,0.23060621321201324,0.4946078956127167,0.33157986402511597,0.22437527775764465,0.31091248989105225
slender,0.14986588060855865,0.14087826013565063,0.24946215748786926,0.4124249517917633,0.32058727741241455,0.21043553948402405,0.1906580626964569,0.2927052676677704,0.24087610840797424,0.2995450794696808,0.2735273540019989,0.118740014731884
tentacles,0.17259258031845093,0.2339419275522232,0.24109509587287903,0.445950984954834,0.3148491680622101,0.22140857577323914,0.22099906206130981,0.28692832589149475,0.21750880777835846,0.2654930651187897,0.3929002583026886,0.15145425498485565
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.3501478135585785,0.3541618287563324,0.49057599902153015,0.2169174700975418,0.23060621321201324,0.4946078956127167,0.33157986402511597,0.22437527775764465,0.31091248989105225
