,what,is,the,logic,behind,the,cicadas,prime,number,evolutionary,strategy,?
the,0.42745697498321533,0.5823672413825989,1.0,0.1627291589975357,0.38928431272506714,1.0,0.2873971462249756,0.19960100948810577,0.35145696997642517,0.24718289077281952,0.2895500361919403,0.22068053483963013
logic,0.32290831208229065,0.17876122891902924,0.1627291589975357,0.9999999403953552,0.2072497308254242,0.1627291589975357,0.17991086840629578,0.1761634796857834,0.19759489595890045,0.3136287331581116,0.2381148487329483,0.23288458585739136
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.17348648607730865,0.24390444159507751,0.4739971458911896,0.26302430033683777,0.17833133041858673,0.2861633002758026,0.20972886681556702,0.30354321002960205,0.264628142118454
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.24393469095230103,0.2639458477497101,0.6274310946464539,0.2574983537197113,0.17067231237888336,0.3291929066181183,0.3342602252960205,0.2968314588069916,0.3155723512172699
is,0.28837618231773376,1.0,0.5823672413825989,0.17876122891902924,0.24618369340896606,0.5823672413825989,0.22477616369724274,0.16680827736854553,0.22390379011631012,0.20621788501739502,0.2271415740251541,0.22961433231830597
believed,0.32626157999038696,0.25439924001693726,0.324635773897171,0.1549575924873352,0.20882607996463776,0.324635773897171,0.23472072184085846,0.17791715264320374,0.16461695730686188,0.23597411811351776,0.18094541132450104,0.17606885731220245
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.18347972631454468,0.2780356705188751,0.535392165184021,0.2456495761871338,0.2015804797410965,0.2706126868724823,0.22525466978549957,0.27855414152145386,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.2502604126930237,0.20366157591342926,0.4248143136501312,0.24954043328762054,0.14576895534992218,0.28840136528015137,0.2449447065591812,0.2264213114976883,0.3324260413646698
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3193233013153076,0.33211183547973633,0.5473989248275757,0.2603611946105957,0.18163643777370453,0.32951247692108154,0.3303155303001404,0.27647414803504944,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.1627291589975357,0.38928431272506714,1.0,0.2873971462249756,0.19960100948810577,0.35145696997642517,0.24718289077281952,0.2895500361919403,0.22068053483963013
prime,0.15586113929748535,0.16680827736854553,0.19960100948810577,0.1761634796857834,0.0754668265581131,0.19960100948810577,0.1585504114627838,1.0,0.2556258738040924,0.15083999931812286,0.22132784128189087,0.11276303976774216
number,0.23046229779720306,0.22390379011631012,0.35145696997642517,0.19759489595890045,0.23922677338123322,0.35145696997642517,0.23102018237113953,0.2556258738040924,1.0,0.17633259296417236,0.18827207386493683,0.19256845116615295
intervals,0.2616005539894104,0.20076794922351837,0.26482245326042175,0.2634337842464447,0.06369571387767792,0.26482245326042175,0.2573080062866211,0.21404580771923065,0.3268159031867981,0.19585031270980835,0.13797853887081146,0.2090180516242981
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.13732679188251495,0.17313112318515778,0.39067012071609497,0.12441226094961166,0.16871927678585052,0.22219079732894897,0.21879816055297852,0.2035866528749466,0.12887074053287506
emergences,0.2857215106487274,0.18232403695583344,0.270489901304245,0.1898602545261383,0.1298406422138214,0.270489901304245,0.2948591709136963,0.17625056207180023,0.23899629712104797,0.37539955973625183,0.21478495001792908,0.1686544567346573
make,0.3792211413383484,0.3331545889377594,0.3146495521068573,0.1499844789505005,0.26531246304512024,0.3146495521068573,0.2852037250995636,0.09026195853948593,0.21349433064460754,0.1495189219713211,0.21862010657787323,0.28314751386642456
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.21086928248405457,0.23241280019283295,0.6251175999641418,0.24606458842754364,0.16581475734710693,0.26851508021354675,0.24036890268325806,0.19235831499099731,0.25732165575027466
very,0.37053924798965454,0.3671363294124603,0.34171217679977417,0.13391631841659546,0.1907084733247757,0.34171217679977417,0.28466370701789856,0.12856049835681915,0.2639933228492737,0.2264471799135208,0.20918789505958557,0.20864155888557434
difficult,0.37928828597068787,0.29025518894195557,0.277450829744339,0.19522365927696228,0.2323746532201767,0.277450829744339,0.22511987388134003,0.12230377644300461,0.27612847089767456,0.18338364362716675,0.27776896953582764,0.20408590137958527
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.17348648607730865,0.24390444159507751,0.4739971458911896,0.26302430033683777,0.17833133041858673,0.2861633002758026,0.20972886681556702,0.30354321002960205,0.264628142118454
predators,0.18961159884929657,0.15817514061927795,0.26153966784477234,0.12618134915828705,0.2032448947429657,0.26153966784477234,0.4169382154941559,0.11334537714719772,0.20813609659671783,0.25904035568237305,0.22430795431137085,0.17236289381980896
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.18347972631454468,0.2780356705188751,0.535392165184021,0.2456495761871338,0.2015804797410965,0.2706126868724823,0.22525466978549957,0.27855414152145386,0.29463258385658264
evolve,0.24154877662658691,0.2095315158367157,0.2571829855442047,0.2277909368276596,0.102112777531147,0.2571829855442047,0.2958853244781494,0.059341609477996826,0.19295716285705566,0.5412201881408691,0.2559327185153961,0.21702495217323303
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3193233013153076,0.33211183547973633,0.5473989248275757,0.2603611946105957,0.18163643777370453,0.32951247692108154,0.3303155303001404,0.27647414803504944,0.32716336846351624
could,0.4188697934150696,0.2763098180294037,0.35393214225769043,0.239321768283844,0.25803595781326294,0.35393214225769043,0.19213268160820007,0.13418345153331757,0.24592691659927368,0.2303321212530136,0.25696030259132385,0.3411986827850342
specialize,0.23856307566165924,0.20936624705791473,0.23715588450431824,0.19618098437786102,0.13463915884494781,0.23715588450431824,0.4254765510559082,0.04196196049451828,0.2363346815109253,0.2753198742866516,0.29079508781433105,0.20298869907855988
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.1911892145872116,0.25558921694755554,0.48381632566452026,0.27252861857414246,0.17482610046863556,0.26786008477211,0.2802567780017853,0.22481122612953186,0.27043893933296204
