,what,types,of,scientists,looks,for,signs,of,magnetic,reversals,in,igneous,rocks,within,the,drill,cores,?
geochronologists,0.36562177538871765,0.28244224190711975,0.23777811229228973,0.5760450959205627,0.22991769015789032,0.24290740489959717,0.242893248796463,0.23777811229228973,0.28138160705566406,0.3519303798675537,0.2377156764268875,0.3794662356376648,0.35065293312072754,0.25111064314842224,0.3283352255821228,0.30727994441986084,0.2942478656768799,0.24876531958580017
precisely,0.3989751636981964,0.19412805140018463,0.22923026978969574,0.2020498812198639,0.2882445752620697,0.2852521240711212,0.093708835542202,0.22923026978969574,0.2721574604511261,0.3117862343788147,0.23201987147331238,0.2610238790512085,0.25625988841056824,0.3200255334377289,0.3390568196773529,0.2816872298717499,0.26397329568862915,0.2168809473514557
date,0.20141606032848358,0.07617741078138351,0.19568462669849396,0.10725679248571396,0.10513850301504135,0.1509818285703659,0.12069149315357208,0.19568462669849396,0.1656120866537094,0.15855443477630615,0.21362407505512238,0.1327355057001114,0.20581649243831635,0.18756133317947388,0.25333094596862793,0.16436651349067688,0.16533684730529785,0.2698357403278351
rocks,0.24802041053771973,0.24581290781497955,0.2664484679698944,0.28557735681533813,0.2045535296201706,0.16357912123203278,0.20457500219345093,0.2664484679698944,0.2638237178325653,0.25398075580596924,0.23642492294311523,0.6175867319107056,0.9999999403953552,0.16642579436302185,0.24413059651851654,0.34068408608436584,0.404314786195755,0.17394492030143738
within,0.2498195916414261,0.21994005143642426,0.39594778418540955,0.19256669282913208,0.1338983029127121,0.3087334632873535,0.1166979968547821,0.39594778418540955,0.17200736701488495,0.21331194043159485,0.40576374530792236,0.23471780121326447,0.16642579436302185,1.0,0.39827480912208557,0.16845527291297913,0.20708613097667694,0.1870293766260147
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.25988271832466125,0.2699185013771057,0.4739971458911896,0.21716304123401642,0.733189046382904,0.18611927330493927,0.3360288739204407,0.6662389636039734,0.25911182165145874,0.24413059651851654,0.39827480912208557,1.0,0.27109989523887634,0.25309666991233826,0.22068053483963013
stratigraphic,0.24726764857769012,0.20773077011108398,0.338003009557724,0.2557220160961151,0.18473556637763977,0.25447478890419006,0.2679400146007538,0.338003009557724,0.3299250602722168,0.3161400854587555,0.26945239305496216,0.5475074648857117,0.4446791410446167,0.2911253273487091,0.3194960653781891,0.21463915705680847,0.2997695207595825,0.13672329485416412
section,0.28602200746536255,0.22087450325489044,0.21215301752090454,0.133460134267807,0.27909237146377563,0.24106808006763458,0.14009831845760345,0.21215301752090454,0.19141939282417297,0.17915275692939758,0.22227555513381958,0.19373968243598938,0.12174545973539352,0.24327118694782257,0.3365345895290375,0.1929253339767456,0.20711304247379303,0.2733710706233978
in,0.30808621644973755,0.18516337871551514,0.5696388483047485,0.1995355486869812,0.20766496658325195,0.4322226941585541,0.14922645688056946,0.5696388483047485,0.13499167561531067,0.15738819539546967,1.0,0.221988245844841,0.23642492294311523,0.40576374530792236,0.6662389636039734,0.1910555362701416,0.17652925848960876,0.20430970191955566
order,0.16634008288383484,0.14153486490249634,0.31287699937820435,0.12606194615364075,0.0860956460237503,0.16561681032180786,0.1419781744480133,0.31287699937820435,0.1346266269683838,0.1971583366394043,0.24184700846672058,0.12068429589271545,0.127637580037117,0.22272643446922302,0.3284194767475128,0.1612144410610199,0.1710698902606964,0.13725648820400238
to,0.455847829580307,0.20054484903812408,0.41548454761505127,0.27814680337905884,0.2700123190879822,0.4451248347759247,0.19219888746738434,0.41548454761505127,0.23495057225227356,0.276732474565506,0.45010748505592346,0.17373503744602203,0.23520028591156006,0.34980177879333496,0.535392165184021,0.25395524501800537,0.28185585141181946,0.29463258385658264
provide,0.27049049735069275,0.3205643594264984,0.27198103070259094,0.19265353679656982,0.18276333808898926,0.42299434542655945,0.1673407405614853,0.27198103070259094,0.17464500665664673,0.29939004778862,0.1910654902458191,0.20369398593902588,0.1701761782169342,0.31142324209213257,0.26373472809791565,0.3001899719238281,0.23346444964408875,0.22704634070396423
better,0.3551420271396637,0.169336199760437,0.18950162827968597,0.17861604690551758,0.22776034474372864,0.3385646641254425,0.17780478298664093,0.18950162827968597,0.15737667679786682,0.1903935968875885,0.20443932712078094,0.09695122390985489,0.15572300553321838,0.1047033742070198,0.2113795131444931,0.18361696600914001,0.2545175552368164,0.32159438729286194
absolute,0.3186502158641815,0.1577969491481781,0.2950317859649658,0.1835787445306778,0.1608305722475052,0.19913284480571747,0.187545508146286,0.2950317859649658,0.20817860960960388,0.2633744776248932,0.2138172686100006,0.2548816502094269,0.12423399090766907,0.28682222962379456,0.26488861441612244,0.12412350624799728,0.17650656402111053,0.22724391520023346
bounds,0.17344798147678375,0.17778268456459045,0.24635128676891327,0.13900096714496613,0.20591847598552704,0.24036771059036255,0.19325076043605804,0.24635128676891327,0.27293315529823303,0.33377617597579956,0.2535269260406494,0.22136783599853516,0.20518656075000763,0.3401848375797272,0.30338889360427856,0.12234537303447723,0.26784828305244446,0.12707965075969696
on,0.34226128458976746,0.2141326367855072,0.3966929316520691,0.15907135605812073,0.25571367144584656,0.36199691891670227,0.21057294309139252,0.3966929316520691,0.21771234273910522,0.24481748044490814,0.46853652596473694,0.13644328713417053,0.2381529062986374,0.2702226936817169,0.5107308030128479,0.19190116226673126,0.285535991191864,0.2714994251728058
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.25988271832466125,0.2699185013771057,0.4739971458911896,0.21716304123401642,0.733189046382904,0.18611927330493927,0.3360288739204407,0.6662389636039734,0.25911182165145874,0.24413059651851654,0.39827480912208557,1.0,0.27109989523887634,0.25309666991233826,0.22068053483963013
timing,0.33969736099243164,0.28013375401496887,0.1937246322631836,0.2382826954126358,0.282809853553772,0.3078514337539673,0.1830584853887558,0.1937246322631836,0.31973257660865784,0.4382591247558594,0.1585228145122528,0.16788268089294434,0.2057480365037918,0.2658149003982544,0.2968205213546753,0.23035828769207,0.26491522789001465,0.15495823323726654
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.20514336228370667,0.2827310860157013,0.5064792633056641,0.19737869501113892,0.5116966962814331,0.1990627944469452,0.279912531375885,0.4954058527946472,0.23742187023162842,0.29739323258399963,0.35049548745155334,0.5171257257461548,0.1923479586839676,0.32954269647598267,0.20544172823429108
rates,0.2148645967245102,0.3569616377353668,0.2585311233997345,0.22098727524280548,0.1678684651851654,0.24851617217063904,0.2267283797264099,0.2585311233997345,0.2313706874847412,0.32663363218307495,0.26258307695388794,0.1928882598876953,0.20553350448608398,0.26356375217437744,0.25867342948913574,0.19631703197956085,0.3246590197086334,0.13808594644069672
of,0.33290785551071167,0.2447618544101715,1.0,0.20474955439567566,0.22676286101341248,0.4185989499092102,0.21301622688770294,1.0,0.16237565875053406,0.29152119159698486,0.5696388483047485,0.3258812427520752,0.2664484679698944,0.39594778418540955,0.733189046382904,0.1892881840467453,0.19923704862594604,0.1826142966747284
