,the,legislative,body,",",the,council,",",are,made,up,of,what,type,of,individuals,?
the,1.0,0.27501925826072693,0.31682634353637695,0.4933079481124878,1.0,0.2829204201698303,0.4933079481124878,0.40399202704429626,0.3885267674922943,0.38423117995262146,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3022412955760956,0.22068053483963013
second,0.4620301127433777,0.1959753930568695,0.18089659512043,0.29927265644073486,0.4620301127433777,0.17238768935203552,0.29927265644073486,0.13331100344657898,0.16531269252300262,0.24278147518634796,0.353416383266449,0.19948028028011322,0.12076811492443085,0.353416383266449,0.11462083458900452,0.17239587008953094
main,0.38631999492645264,0.17037227749824524,0.15962408483028412,0.2989408075809479,0.38631999492645264,0.12116032093763351,0.2989408075809479,0.2828797399997711,0.21967743337154388,0.19825492799282074,0.3177044689655304,0.2344268560409546,0.19361430406570435,0.3177044689655304,0.12446440756320953,0.1665669083595276
legislative,0.27501925826072693,1.0,0.23851090669631958,0.24434074759483337,0.27501925826072693,0.42707106471061707,0.24434074759483337,0.16996347904205322,0.1734241247177124,0.19277316331863403,0.34083476662635803,0.22232688963413239,0.0990445613861084,0.34083476662635803,0.18299691379070282,0.1654243916273117
body,0.31682634353637695,0.23851090669631958,1.0,0.22437527775764465,0.31682634353637695,0.2337609976530075,0.22437527775764465,0.2451179027557373,0.18869289755821228,0.23066724836826324,0.25063133239746094,0.2143840193748474,0.2224954217672348,0.25063133239746094,0.23679830133914948,0.20136451721191406
is,0.5823672413825989,0.19055356085300446,0.2790417969226837,0.4691906273365021,0.5823672413825989,0.2196589708328247,0.4691906273365021,0.5330929756164551,0.29543453454971313,0.2853454053401947,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.23137153685092926,0.22961433231830597
the,1.0,0.27501925826072693,0.31682634353637695,0.4933079481124878,1.0,0.2829204201698303,0.4933079481124878,0.40399202704429626,0.3885267674922943,0.38423117995262146,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3022412955760956,0.22068053483963013
council,0.2829204201698303,0.42707106471061707,0.2337609976530075,0.23820561170578003,0.2829204201698303,1.0,0.23820561170578003,0.1583584100008011,0.12221342325210571,0.1345137059688568,0.2972237169742584,0.16933071613311768,0.10015834122896194,0.2972237169742584,0.18450391292572021,0.1160062924027443
",",0.4933079481124878,0.24434074759483337,0.22437527775764465,1.0000001192092896,0.4933079481124878,0.23820561170578003,1.0000001192092896,0.4062570035457611,0.32507219910621643,0.34193792939186096,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.18873384594917297,0.31091248989105225
which,0.6521818041801453,0.2521616220474243,0.3445165753364563,0.3658004403114319,0.6521818041801453,0.20855821669101715,0.3658004403114319,0.42922598123550415,0.3407467305660248,0.36388060450553894,0.5011631846427917,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.3835611343383789,0.25814583897590637
is,0.5823672413825989,0.19055356085300446,0.2790417969226837,0.4691906273365021,0.5823672413825989,0.2196589708328247,0.4691906273365021,0.5330929756164551,0.29543453454971313,0.2853454053401947,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.23137153685092926,0.22961433231830597
composed,0.21816956996917725,0.18700926005840302,0.17520186305046082,0.21667295694351196,0.21816956996917725,0.09793567657470703,0.21667295694351196,0.21773962676525116,0.31885090470314026,0.16384010016918182,0.29509663581848145,0.14231626689434052,0.11387284845113754,0.29509663581848145,0.14263774454593658,0.0784355029463768
of,0.733189046382904,0.34083476662635803,0.25063133239746094,0.4946078956127167,0.733189046382904,0.2972237169742584,0.4946078956127167,0.39081433415412903,0.33167365193367004,0.32945773005485535,1.0,0.33290785551071167,0.18112817406654358,1.0,0.27365922927856445,0.1826142966747284
different,0.36412742733955383,0.1807805448770523,0.24634623527526855,0.32220861315727234,0.36412742733955383,0.17033100128173828,0.32220861315727234,0.5170795917510986,0.2876814007759094,0.3239089548587799,0.3747533857822418,0.39262300729751587,0.32853832840919495,0.3747533857822418,0.38757649064064026,0.24476227164268494
ministers,0.2563166916370392,0.4052157998085022,0.13459469377994537,0.2294151484966278,0.2563166916370392,0.3514319360256195,0.2294151484966278,0.2511488199234009,0.19675828516483307,0.17804835736751556,0.31468528509140015,0.24707821011543274,0.0968339592218399,0.31468528509140015,0.22817441821098328,0.15132683515548706
of,0.733189046382904,0.34083476662635803,0.25063133239746094,0.4946078956127167,0.733189046382904,0.2972237169742584,0.4946078956127167,0.39081433415412903,0.33167365193367004,0.32945773005485535,1.0,0.33290785551071167,0.18112817406654358,1.0,0.27365922927856445,0.1826142966747284
the,1.0,0.27501925826072693,0.31682634353637695,0.4933079481124878,1.0,0.2829204201698303,0.4933079481124878,0.40399202704429626,0.3885267674922943,0.38423117995262146,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3022412955760956,0.22068053483963013
member,0.2806392312049866,0.3008553981781006,0.1381404846906662,0.25757819414138794,0.2806392312049866,0.34960636496543884,0.25757819414138794,0.16299262642860413,0.15463382005691528,0.21691420674324036,0.2701796889305115,0.09932345896959305,0.1253872513771057,0.2701796889305115,0.22955083847045898,0.06826172769069672
states,0.3463578522205353,0.3053472340106964,0.1780509203672409,0.3315127193927765,0.3463578522205353,0.23212319612503052,0.3315127193927765,0.1846873015165329,0.19372312724590302,0.15233498811721802,0.30884552001953125,0.21526020765304565,0.15023280680179596,0.30884552001953125,0.25268232822418213,0.16272737085819244
.,0.5934505462646484,0.25327762961387634,0.29751062393188477,0.6812511086463928,0.5934505462646484,0.2314436286687851,0.6812511086463928,0.3452940285205841,0.4032190144062042,0.351434588432312,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2722686529159546,0.4130953550338745
