,which,team,in,super,bowl,50,had,a,15-1,record,?
the,0.6521818041801453,0.22564226388931274,0.6662389636039734,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.3875846862792969,0.5829201340675354,0.18179646134376526,0.23569516837596893,0.22068053483963013
carolina,0.16939401626586914,0.14482109248638153,0.2380082756280899,0.12624233961105347,0.2087959349155426,-0.029075996950268745,0.20392835140228271,0.1979188621044159,0.23832550644874573,0.18296502530574799,0.11847445368766785
panthers,0.2003214955329895,0.333659291267395,0.2115829735994339,0.27118441462516785,0.34713199734687805,0.10408550500869751,0.1570805162191391,0.2255268394947052,0.1262941211462021,0.218548983335495,0.16608978807926178
became,0.17613163590431213,0.13592995703220367,0.31047213077545166,0.15664279460906982,0.1635434478521347,0.026260828599333763,0.4615839719772339,0.28774285316467285,0.14768581092357635,0.20369283854961395,0.11374033987522125
one,0.510688066482544,0.2511517107486725,0.4129433035850525,0.21711376309394836,0.19098831713199615,0.023094678297638893,0.3595404326915741,0.4910551905632019,0.12775918841362,0.26469558477401733,0.2673267424106598
of,0.5011631846427917,0.20352502167224884,0.5696388483047485,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.37755560874938965,0.5052502155303955,0.19267389178276062,0.19289259612560272,0.1826142966747284
only,0.5654799342155457,0.14910441637039185,0.42992329597473145,0.2209789752960205,0.1793411821126938,0.041510678827762604,0.3839550316333771,0.47549712657928467,0.11193782836198807,0.2610468566417694,0.2767370045185089
ten,0.31220048666000366,0.11226978152990341,0.29515787959098816,0.14616072177886963,0.23895440995693207,-0.10965850949287415,0.33391860127449036,0.23545676469802856,0.14118075370788574,0.24815617501735687,0.14471080899238586
teams,0.22479400038719177,0.673422634601593,0.2639528214931488,0.26333683729171753,0.2752957046031952,0.09035295248031616,0.19225463271141052,0.21163642406463623,0.18377935886383057,0.1979433000087738,0.11150168627500534
to,0.5345056653022766,0.23889471590518951,0.45010748505592346,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.37984350323677063,0.45503583550453186,0.11846543103456497,0.22007153928279877,0.29463258385658264
have,0.49652695655822754,0.16041462123394012,0.36843645572662354,0.19903038442134857,0.19536113739013672,0.10407739877700806,0.6263401508331299,0.338716596364975,0.1540241539478302,0.23839209973812103,0.32991164922714233
completed,0.28856298327445984,0.17440751194953918,0.2960484027862549,0.09480611234903336,0.12222989648580551,0.02608001045882702,0.285506933927536,0.2692357301712036,0.17070633172988892,0.1747547686100006,0.08272653818130493
a,0.56894451379776,0.19125498831272125,0.539380669593811,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.34897568821907043,1.0,0.19046682119369507,0.2588478624820709,0.23916715383529663
regular,0.35800397396087646,0.2476644068956375,0.23172755539417267,0.21446830034255981,0.2318909466266632,0.11978074163198471,0.2647917866706848,0.313107967376709,0.07973146438598633,0.2587777376174927,0.18334713578224182
season,0.20103639364242554,0.3451383709907532,0.2184021919965744,0.2755677402019501,0.3117852509021759,0.06724537163972855,0.1978970468044281,0.1855505406856537,0.11033152788877487,0.2865971624851227,0.16793298721313477
with,0.46403205394744873,0.21111343801021576,0.4080928862094879,0.1518537551164627,0.18353787064552307,0.08371289074420929,0.4739086329936981,0.3783375024795532,0.10393177717924118,0.19528687000274658,0.2433311939239502
only,0.5654799342155457,0.14910441637039185,0.42992329597473145,0.2209789752960205,0.1793411821126938,0.041510678827762604,0.3839550316333771,0.47549712657928467,0.11193782836198807,0.2610468566417694,0.2767370045185089
one,0.510688066482544,0.2511517107486725,0.4129433035850525,0.21711376309394836,0.19098831713199615,0.023094678297638893,0.3595404326915741,0.4910551905632019,0.12775918841362,0.26469558477401733,0.2673267424106598
