,what,dual,titles,did,frederick,william,hold,?
nearly,0.21304303407669067,0.15291112661361694,0.13654066622257233,0.2667127847671509,0.12039893865585327,0.09809691458940506,0.2353697121143341,0.11670064926147461
"50,000",0.1566118448972702,0.05952773243188858,0.03577015548944473,0.018656453117728233,-0.027690807357430458,-0.05131411552429199,0.05692708492279053,0.02804366871714592
huguenots,0.22128188610076904,0.15606789290905,0.1870613992214203,0.2420482039451599,0.29171326756477356,0.3349591791629791,0.21821478009223938,0.16010338068008423
established,0.14869536459445953,0.12133315205574036,0.16264913976192474,0.18989217281341553,0.21940962970256805,0.14211143553256989,0.1824956238269806,0.15917523205280304
themselves,0.34807315468788147,0.11586178094148636,0.1712617129087448,0.32371795177459717,0.1267394721508026,0.13854557275772095,0.2749165892601013,0.20170879364013672
in,0.30808621644973755,0.1443561315536499,0.21707631647586823,0.2593238651752472,0.24440830945968628,0.21605195105075836,0.2667064666748047,0.20430970191955566
germany,0.21690446138381958,0.12804260849952698,0.16959428787231445,0.2132834792137146,0.2845054864883423,0.1435820609331131,0.141751229763031,0.1388660967350006
",",0.3087472915649414,0.17898842692375183,0.28934726119041443,0.3015086054801941,0.29222559928894043,0.23339112102985382,0.2803111970424652,0.31091248989105225
"20,000",0.1520158350467682,0.20786957442760468,0.1835758239030838,0.17574962973594666,0.22692081332206726,0.19482950866222382,0.10978729277849197,0.10352851450443268
of,0.33290785551071167,0.19118990004062653,0.24191442131996155,0.2513895630836487,0.25539323687553406,0.20272590219974518,0.2465030699968338,0.1826142966747284
whom,0.27163395285606384,0.17292983829975128,0.21399244666099548,0.3024649918079376,0.16335710883140564,0.20771704614162445,0.15219002962112427,0.222135990858078
were,0.22298263013362885,0.13564640283584595,0.25251901149749756,0.4162326455116272,0.24533021450042725,0.18914814293384552,0.276141494512558,0.17890112102031708
welcomed,0.2282586544752121,0.13500456511974335,0.17016340792179108,0.23668140172958374,0.17390546202659607,0.14286082983016968,0.1876169890165329,0.24655763804912567
in,0.30808621644973755,0.1443561315536499,0.21707631647586823,0.2593238651752472,0.24440830945968628,0.21605195105075836,0.2667064666748047,0.20430970191955566
brandenburg-prussia,0.2151629626750946,0.21410180628299713,0.20759661495685577,0.19477994740009308,0.4194570779800415,0.250131219625473,0.18475572764873505,0.14461907744407654
",",0.3087472915649414,0.17898842692375183,0.28934726119041443,0.3015086054801941,0.29222559928894043,0.23339112102985382,0.2803111970424652,0.31091248989105225
where,0.4457937180995941,0.23582801222801208,0.1804671436548233,0.24159270524978638,0.1093345582485199,0.11286398023366928,0.2731550931930542,0.24793872237205505
they,0.4431931674480438,0.14894798398017883,0.22467723488807678,0.4879390597343445,0.13058783113956451,0.1673705130815506,0.31012141704559326,0.2753053903579712
were,0.22298263013362885,0.13564640283584595,0.25251901149749756,0.4162326455116272,0.24533021450042725,0.18914814293384552,0.276141494512558,0.17890112102031708
