,who,first,wrote,about,the,rhine,'s,discovery,and,border,?
in,0.2792111933231354,0.4127444326877594,0.2898900806903839,0.39797019958496094,0.6662389636039734,0.24648422002792358,-0.037580832839012146,0.23947767913341522,0.4954058527946472,0.28533756732940674,0.20430970191955566
roman,0.1856684684753418,0.16811686754226685,0.18917298316955566,0.17653247714042664,0.2862859070301056,0.32421013712882996,0.11189179122447968,0.15294714272022247,0.2730041444301605,0.17437706887722015,0.1663191318511963
geography,0.10354198515415192,0.16269801557064056,0.1522587090730667,0.23019245266914368,0.20259734988212585,0.1564008593559265,0.0033040086273103952,0.25045639276504517,0.24129995703697205,0.2852681577205658,0.17832398414611816
",",0.3365725874900818,0.34503069519996643,0.27225261926651,0.3877100944519043,0.4933079481124878,0.167837992310524,-0.0016132977325469255,0.1846623718738556,0.6633074283599854,0.2548258304595947,0.31091248989105225
the,0.3733934462070465,0.49448907375335693,0.2426944375038147,0.37995871901512146,1.0,0.30735138058662415,-0.01540423184633255,0.29877567291259766,0.5171257257461548,0.2856229841709137,0.22068053483963013
rhine,0.16740792989730835,0.13051658868789673,0.10705699026584625,0.2085869312286377,0.30735138058662415,1.0,0.0778765007853508,0.09310200065374374,0.22029656171798706,0.32308438420295715,0.13754533231258392
formed,0.12868277728557587,0.22088022530078888,0.15147480368614197,0.14924824237823486,0.28813210129737854,0.12505698204040527,0.08651898056268692,0.15618324279785156,0.27619341015815735,0.2052387148141861,0.09686966985464096
the,0.3733934462070465,0.49448907375335693,0.2426944375038147,0.37995871901512146,1.0,0.30735138058662415,-0.01540423184633255,0.29877567291259766,0.5171257257461548,0.2856229841709137,0.22068053483963013
boundary,0.13803358376026154,0.17615815997123718,0.08595786988735199,0.17994444072246552,0.3356972932815552,0.24294309318065643,0.018517423421144485,0.16872209310531616,0.24556493759155273,0.42494088411331177,0.0720028504729271
between,0.20718061923980713,0.2911831736564636,0.15972647070884705,0.38609597086906433,0.39067012071609497,0.17755062878131866,0.006096371449530125,0.11243006587028503,0.40645647048950195,0.3074911832809448,0.12887074053287506
gallia,0.23794595897197723,0.14289811253547668,0.13965527713298798,0.1779932975769043,0.2404649257659912,0.2885933220386505,-0.0019627579022198915,0.14982987940311432,0.22131572663784027,0.21090884506702423,0.11362983286380768
and,0.41279885172843933,0.3167642652988434,0.2975862920284271,0.3875081241130829,0.5171257257461548,0.22029656171798706,0.06895173341035843,0.14106719195842743,1.0,0.29048892855644226,0.20544172823429108
germania,0.205054372549057,0.16150881350040436,0.13814209401607513,0.1747775673866272,0.25158780813217163,0.5127797722816467,0.06986410170793533,0.1312364935874939,0.20308150351047516,0.1643255352973938,0.16800276935100555
by,0.39727845788002014,0.3877052962779999,0.2766735553741455,0.30091190338134766,0.4408751428127289,0.18456800282001495,-0.010884488001465797,0.1677863895893097,0.4289871156215668,0.1409846395254135,0.17966607213020325
definition,0.11727189272642136,0.19581587612628937,0.0676134005188942,0.26378321647644043,0.23176956176757812,0.06463291496038437,-0.07552970945835114,0.1824725717306137,0.1981266289949417,0.11465581506490707,0.2796523869037628
;,0.007937713526189327,0.07760433852672577,0.0012920416193082929,0.06296145915985107,0.09152708947658539,0.029798196628689766,0.006909397430717945,0.06516771018505096,0.08403264731168747,0.10879378765821457,0.10349778085947037
e.g,-0.002805277705192566,0.005981850437819958,-0.005692905746400356,-0.033057406544685364,0.08954983949661255,-0.031653422862291336,0.002460265764966607,0.05395630747079849,-0.0259549617767334,0.04964728653430939,-0.03681480139493942
.,0.3541337847709656,0.4345304071903229,0.2480330765247345,0.42038556933403015,0.5934505462646484,0.2089352011680603,-0.003708066651597619,0.21991804242134094,0.588965117931366,0.26349708437919617,0.4130953550338745
