,later,chronicles,of,genghis,khan,'s,death,implicate,a,princess,from,what,empire,in,his,death,?
later,1.0,0.2360200732946396,0.3458743393421173,0.32111310958862305,0.2160869836807251,0.05591587722301483,0.3094727396965027,0.14052380621433258,0.34254932403564453,0.1974910944700241,0.34398579597473145,0.2517229914665222,0.29919975996017456,0.40857815742492676,0.4538118839263916,0.3094727396965027,0.1417175978422165
mongol,0.1983191967010498,0.2584919035434723,0.22712039947509766,0.6244974732398987,0.5576101541519165,-0.05976467952132225,0.13959760963916779,0.1830083727836609,0.15921570360660553,0.13803260028362274,0.2123146951198578,0.15870186686515808,0.45230501890182495,0.16958336532115936,0.22059163451194763,0.13959760963916779,0.12849251925945282
chronicles,0.2360200732946396,1.0000001192092896,0.21551740169525146,0.36706140637397766,0.20597991347312927,-0.061499182134866714,0.20512177050113678,0.03713482618331909,0.14077001810073853,0.2586378753185272,0.2021593600511551,0.2146623581647873,0.20415876805782318,0.24145552515983582,0.23619656264781952,0.20512177050113678,0.15078428387641907
connect,0.12915916740894318,0.14437736570835114,0.21932561695575714,0.11099385470151901,0.10082888603210449,0.07873126119375229,0.05112525820732117,0.1954641491174698,0.2188892811536789,0.17180579900741577,0.18457958102226257,0.21411117911338806,0.12256249785423279,0.24655267596244812,0.0751035287976265,0.05112525820732117,0.12289916723966599
genghis,0.32111310958862305,0.36706140637397766,0.2938849925994873,1.0,0.5896923542022705,0.031423866748809814,0.28730303049087524,0.13655243813991547,0.194350928068161,0.30782267451286316,0.19071364402770996,0.24369274079799652,0.42237505316734314,0.224680557847023,0.3744826912879944,0.28730303049087524,0.18813461065292358
',0.22560328245162964,0.18718142807483673,0.39136970043182373,0.24026870727539062,0.17487680912017822,0.07651367038488388,0.1959543526172638,0.16416747868061066,0.48837921023368835,0.20336686074733734,0.20019984245300293,0.3245812654495239,0.13928362727165222,0.4158826768398285,0.2791537940502167,0.1959543526172638,0.330942302942276
death,0.3094727396965027,0.20512177050113678,0.23778599500656128,0.28730303049087524,0.14168724417686462,0.07207932323217392,0.9999998807907104,0.1543867588043213,0.16249743103981018,0.1835997998714447,0.22335824370384216,0.2267695665359497,0.15863066911697388,0.18743370473384857,0.3678654432296753,0.9999998807907104,0.21149799227714539
with,0.2797884941101074,0.17650526762008667,0.41827285289764404,0.18149495124816895,0.12498863786458969,-0.04624466598033905,0.171040341258049,0.19993077218532562,0.3783375024795532,0.16022679209709167,0.26272761821746826,0.2464839518070221,0.16165103018283844,0.4080928862094879,0.33836179971694946,0.171040341258049,0.2433311939239502
a,0.34254932403564453,0.14077001810073853,0.5052502155303955,0.194350928068161,0.1743650734424591,0.04866964742541313,0.16249743103981018,0.25240299105644226,1.0,0.18228715658187866,0.322764128446579,0.3320399522781372,0.1900206059217453,0.539380669593811,0.3497250974178314,0.16249743103981018,0.23916715383529663
western,0.2249227911233902,0.11294788867235184,0.32974064350128174,0.28880131244659424,0.1462325006723404,0.06932425498962402,0.09194682538509369,0.1222124770283699,0.21111781895160675,0.12864531576633453,0.21337518095970154,0.2454150915145874,0.3127332925796509,0.35160520672798157,0.17305071651935577,0.09194682538509369,0.17439141869544983
xia,0.1971765160560608,0.14162251353263855,0.20500580966472626,0.42225655913352966,0.2651960253715515,0.0032186724711209536,0.2110689878463745,0.17079472541809082,0.15746881067752838,0.2696462571620941,0.10805539041757584,0.21090152859687805,0.2888585329055786,0.152571901679039,0.18924377858638763,0.2110689878463745,0.26388657093048096
princess,0.1974910944700241,0.2586378753185272,0.22372525930404663,0.30782267451286316,0.17814579606056213,-0.055313773453235626,0.1835997998714447,0.08316543698310852,0.18228715658187866,1.0,0.1603965312242508,0.12507957220077515,0.20805291831493378,0.16695336997509003,0.21954023838043213,0.1835997998714447,0.17697513103485107
taken,0.31175097823143005,0.13851003348827362,0.2889742851257324,0.16701428592205048,0.08974990993738174,0.00031501424382440746,0.16665564477443695,0.14337298274040222,0.2520231008529663,0.16571642458438873,0.33566176891326904,0.26014965772628784,0.1771952360868454,0.2500644326210022,0.2693137228488922,0.16665564477443695,0.17662954330444336
as,0.38482072949409485,0.21376463770866394,0.3886612355709076,0.17543354630470276,0.22500167787075043,-0.05775856226682663,0.19013920426368713,0.21402700245380402,0.39550232887268066,0.14253360033035278,0.3251767158508301,0.31749409437179565,0.21108263731002808,0.3887844979763031,0.3146366477012634,0.19013920426368713,0.27043893933296204
war,0.27191078662872314,0.20787376165390015,0.31680163741111755,0.2648451030254364,0.15733890235424042,0.06856801360845566,0.23888638615608215,0.10768818110227585,0.2368277609348297,0.17658162117004395,0.1811102032661438,0.22516006231307983,0.39422088861465454,0.29904094338417053,0.2932312488555908,0.23888638615608215,0.15510529279708862
booty,0.14595656096935272,0.1382768303155899,0.1474662870168686,0.22708933055400848,0.18994885683059692,0.14067170023918152,0.13732601702213287,0.0897321105003357,0.29598328471183777,0.18985144793987274,0.14753520488739014,0.2619582414627075,0.2105260044336319,0.15422536432743073,0.17041204869747162,0.13732601702213287,0.20552246272563934
.,0.3488861322402954,0.2065325677394867,0.5352458953857422,0.25373268127441406,0.19819748401641846,-0.003708066651597619,0.24631039798259735,0.1157146692276001,0.50484299659729,0.22479800879955292,0.41536515951156616,0.3567904531955719,0.2811720371246338,0.5591574311256409,0.3119256794452667,0.24631039798259735,0.4130953550338745
