,what,type,of,cascade,results,when,complement,proteins,bind,to,microbes,and,activate,their,protease,activity,?
this,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.28769996762275696,0.34633734822273254,0.4959332048892975,0.39615291357040405,0.30748558044433594,0.28310081362724304,0.5759071707725525,0.36519914865493774,0.42353692650794983,0.31551891565322876,0.40095847845077515,0.33467552065849304,0.3383738398551941,0.3155723512172699
produces,0.14006412029266357,0.2671908736228943,0.24670347571372986,0.30498307943344116,0.3185957074165344,0.26653531193733215,0.2720796465873718,0.2792746424674988,0.22055310010910034,0.20580656826496124,0.2839522361755371,0.25440889596939087,0.2732207179069519,0.1591089963912964,0.31272751092910767,0.2333812564611435,0.17052298784255981
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.30141156911849976,0.2899290919303894,0.44397395849227905,0.36002278327941895,0.23701471090316772,0.22245846688747406,0.45503583550453186,0.2244558483362198,0.3739250600337982,0.20517130196094513,0.29698723554611206,0.2796940803527832,0.27737462520599365,0.23916715383529663
catalytic,0.23178520798683167,0.22075749933719635,0.20699837803840637,0.30005860328674316,0.30878010392189026,0.24804651737213135,0.39068999886512756,0.49914824962615967,0.4092746376991272,0.20017080008983612,0.46086546778678894,0.17456136643886566,0.38355544209480286,0.2302042841911316,0.3757886290550232,0.3169330954551697,0.23212411999702454
cascade,0.22669699788093567,0.2296806424856186,0.2202981561422348,0.9999999403953552,0.18829040229320526,0.21332243084907532,0.3685118556022644,0.282819539308548,0.22028864920139313,0.23094698786735535,0.2810749113559723,0.19767996668815613,0.34462031722068787,0.1563747078180313,0.3556619882583618,0.3163875937461853,0.16310933232307434
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.2480059415102005,0.339158296585083,0.5860282182693481,0.33171409368515015,0.2839849293231964,0.28867918252944946,0.5436353087425232,0.37741872668266296,0.4731321930885315,0.33007141947746277,0.4266771972179413,0.3476850688457489,0.3449932038784027,0.32716336846351624
amplifies,0.2533750534057617,0.2269982248544693,0.2428940087556839,0.21401003003120422,0.22957584261894226,0.22072331607341766,0.3353336453437805,0.38117361068725586,0.2132597714662552,0.2627238929271698,0.3314689099788666,0.22550885379314423,0.23689061403274536,0.20566953718662262,0.2725236117839813,0.19408203661441803,0.15792760252952576
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.32521477341651917,0.2863679826259613,0.5091903209686279,0.3089122176170349,0.23576003313064575,0.20701828598976135,0.535392165184021,0.30588477849960327,0.5171257257461548,0.28691259026527405,0.516537070274353,0.290321946144104,0.28331097960472107,0.22068053483963013
initial,0.2771121859550476,0.19377122819423676,0.25980207324028015,0.21807417273521423,0.2866879999637604,0.2781846523284912,0.3899589478969574,0.2183075100183487,0.16657830774784088,0.2564111649990082,0.17371228337287903,0.2253544181585312,0.27714842557907104,0.2676621377468109,0.21667031943798065,0.24360476434230804,0.16868601739406586
signal,0.22636008262634277,0.131012424826622,0.19249287247657776,0.24784116446971893,0.2389991581439972,0.25342604517936707,0.3634145259857178,0.30334144830703735,0.23573891818523407,0.24848297238349915,0.3004834055900574,0.1638224571943283,0.3426797688007355,0.2124367505311966,0.21310651302337646,0.26123031973838806,0.1212705597281456
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.1272832304239273,0.2229466587305069,0.4376842677593231,0.20635931193828583,0.2186184525489807,0.18999722599983215,0.33534231781959534,0.2095867097377777,0.4289871156215668,0.20615896582603455,0.3242124021053314,0.2259768843650818,0.14420075714588165,0.17966607213020325
controlled,0.24713590741157532,0.11328499019145966,0.2840180993080139,0.1582530438899994,0.18937811255455017,0.31489577889442444,0.23603959381580353,0.2091922163963318,0.23798206448554993,0.20715226233005524,0.2795327603816986,0.2891365587711334,0.3049328029155731,0.2553578019142151,0.17103755474090576,0.1850494146347046,0.1105743944644928
positive,0.2491111010313034,0.18713849782943726,0.19149050116539001,0.19206517934799194,0.30453741550445557,0.22980894148349762,0.33065617084503174,0.2566690742969513,0.2633630633354187,0.24421703815460205,0.26613494753837585,0.22341404855251312,0.23242902755737305,0.21273380517959595,0.22319555282592773,0.19027501344680786,0.16532565653324127
feedback,0.35282692313194275,0.19777847826480865,0.10360058397054672,0.21728593111038208,0.3208325207233429,0.22069689631462097,0.3101971745491028,0.3170035481452942,0.25194182991981506,0.27747419476509094,0.28273776173591614,0.16966575384140015,0.3397180438041687,0.26748913526535034,0.24984951317310333,0.26676326990127563,0.3104487955570221
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2850422263145447,0.2516312897205353,0.475719153881073,0.2869558036327362,0.2492533177137375,0.20130418241024017,0.4645031690597534,0.23687511682510376,0.588965117931366,0.33172839879989624,0.34427863359451294,0.3154568076133728,0.23696304857730865,0.4130953550338745
