,what,is,strongly,linked,to,good,student-teacher,relationships,?
research,0.237140491604805,0.23478153347969055,0.2609148919582367,0.1804729402065277,0.2667310833930969,0.21553178131580353,0.30114254355430603,0.22202368080615997,0.13481977581977844
shows,0.30282244086265564,0.31176671385765076,0.16453240811824799,0.21300265192985535,0.23382455110549927,0.2601167559623718,0.14091888070106506,0.28504735231399536,0.2040930688381195
that,0.6297725439071655,0.3995479643344879,0.43984687328338623,0.3796593248844147,0.5436353087425232,0.44230329990386963,0.19972899556159973,0.3158113658428192,0.32716336846351624
student,0.20548318326473236,0.18911804258823395,0.1404077708721161,0.06710263341665268,0.21220189332962036,0.2074114829301834,0.8309183716773987,0.128643199801445,0.13282090425491333
motivation,0.3632064461708069,0.22994652390480042,0.31029438972473145,0.20149686932563782,0.33875536918640137,0.28880250453948975,0.2819996476173401,0.3705086410045624,0.27532052993774414
and,0.31309178471565247,0.3859752118587494,0.3561839163303375,0.2486010193824768,0.48971283435821533,0.3426591157913208,0.2923501133918762,0.3358020782470703,0.20544172823429108
attitudes,0.3611566722393036,0.193880096077919,0.3561226725578308,0.15552665293216705,0.29361692070961,0.27277371287345886,0.19541998207569122,0.4039100110530853,0.19942916929721832
towards,0.281793475151062,0.22460906207561493,0.2848201394081116,0.15057171881198883,0.3675195574760437,0.22094182670116425,0.11461013555526733,0.20719106495380402,0.13023285567760468
school,0.18774057924747467,0.19488026201725006,0.11722370237112045,0.1409982144832611,0.24496325850486755,0.2328210175037384,0.6278356313705444,0.13529466092586517,0.15091250836849213
are,0.29724663496017456,0.5330929756164551,0.31117644906044006,0.292258620262146,0.3504326641559601,0.2658696472644806,0.11693911254405975,0.2517375648021698,0.24591213464736938
closely,0.24221673607826233,0.23299719393253326,0.35102102160453796,0.30648183822631836,0.34768539667129517,0.16231372952461243,0.12839941680431366,0.32958269119262695,0.08341413736343384
linked,0.2771798372268677,0.2245381623506546,0.20052923262119293,0.9999998807907104,0.25303661823272705,0.21981121599674225,0.07827810198068619,0.2401425838470459,0.22991526126861572
to,0.455847829580307,0.42745086550712585,0.33276939392089844,0.25303661823272705,1.0,0.30719634890556335,0.20476655662059784,0.24882912635803223,0.29463258385658264
student-teacher,0.18425625562667847,0.21279849112033844,0.1156095340847969,0.07827810198068619,0.20476655662059784,0.25583451986312866,0.9999999403953552,0.15523752570152283,0.20212146639823914
relationships,0.2712070345878601,0.18813872337341309,0.22888992726802826,0.2401425838470459,0.24882912635803223,0.25478485226631165,0.15523752570152283,1.0,0.14081478118896484
.,0.3567904531955719,0.4569662809371948,0.3010447323322296,0.23676274716854095,0.4645031690597534,0.29664117097854614,0.28012749552726746,0.20492441952228546,0.4130953550338745
