,what,theorem,remains,valid,in,unique,factorization,domains,?
the,0.42745697498321533,0.18430666625499725,0.3663966655731201,0.22185127437114716,0.6662389636039734,0.26165643334388733,0.2827453017234802,0.2467905879020691,0.22068053483963013
fundamental,0.35305243730545044,0.44537562131881714,0.2887965440750122,0.35222581028938293,0.23429831862449646,0.3130210041999817,0.3645409643650055,0.2994519770145416,0.2011919468641281
theorem,0.27076783776283264,1.0,0.18850845098495483,0.3352738916873932,0.12508544325828552,0.20745423436164856,0.4029991626739502,0.19728778302669525,0.18729111552238464
of,0.33290785551071167,0.18068012595176697,0.3198432922363281,0.2542297840118408,0.5696388483047485,0.29481077194213867,0.3057559132575989,0.2398800104856491,0.1826142966747284
arithmetic,0.27624577283859253,0.4907774031162262,0.12627582252025604,0.33129578828811646,0.18081817030906677,0.29257306456565857,0.42800989747047424,0.33504214882850647,0.24343055486679077
continues,0.27419164776802063,0.15140068531036377,0.3065629005432129,0.14966893196105957,0.27680703997612,0.2101636826992035,0.19547350704669952,0.14142575860023499,0.13186512887477875
to,0.455847829580307,0.14878395199775696,0.2588605582714081,0.2631414234638214,0.45010748505592346,0.2738887369632721,0.29614752531051636,0.2379910796880722,0.29463258385658264
hold,0.20790280401706696,0.10071343928575516,0.2811278998851776,0.2006807029247284,0.2667064666748047,0.18012619018554688,0.18306255340576172,0.18446731567382812,0.18586084246635437
in,0.30808621644973755,0.12508544325828552,0.31639063358306885,0.14782947301864624,1.0,0.2287175953388214,0.24751658737659454,0.17969150841236115,0.20430970191955566
unique,0.2536143958568573,0.20745423436164856,0.2832389175891876,0.2076932042837143,0.2287175953388214,1.0,0.2681269645690918,0.3319777846336365,0.17680858075618744
factorization,0.27966898679733276,0.4029991626739502,0.15406185388565063,0.25538116693496704,0.24751658737659454,0.2681269645690918,0.9999999403953552,0.2897462248802185,0.27631670236587524
domains,0.26541951298713684,0.19728778302669525,0.38558775186538696,0.35388264060020447,0.17969150841236115,0.3319777846336365,0.2897462248802185,1.0000001192092896,0.30141520500183105
.,0.3567904531955719,0.19165870547294617,0.2619389593601227,0.24261122941970825,0.5591574311256409,0.24499718844890594,0.27803143858909607,0.24384738504886627,0.4130953550338745
