,who,started,at,tight,end,for,the,panthers,?
newton,0.19243690371513367,0.09186255931854248,0.12256313115358353,0.1833958625793457,0.06915309280157089,0.18168501555919647,0.1876603662967682,0.2555108666419983,0.09645649790763855
's,0.05599616840481758,0.01797550357878208,-0.08481216430664062,-0.1231696829199791,0.030466308817267418,-0.07241261005401611,-0.01540423184633255,0.06940732896327972,-0.023395681753754616
leading,0.25606170296669006,0.20490415394306183,0.2263779640197754,0.20950452983379364,0.2565741539001465,0.3854183852672577,0.3809107840061188,0.2612805962562561,0.1360926628112793
receivers,0.21938163042068481,0.1166965588927269,0.23408861458301544,0.30260470509529114,0.17913047969341278,0.32043978571891785,0.268659770488739,0.3102712333202362,0.11676301807165146
were,0.3188014328479767,0.3347722291946411,0.2947486639022827,0.18301133811473846,0.199965700507164,0.33592689037323,0.3906462490558624,0.18933986127376556,0.17890112102031708
tight,0.11932153254747391,0.08688618242740631,0.19021116197109222,0.9999999403953552,0.27018052339553833,0.281777024269104,0.20536431670188904,0.26397907733917236,0.11662518978118896
end,0.15423893928527832,0.2746221721172333,0.3223728835582733,0.27018052339553833,1.0,0.22042374312877655,0.39658910036087036,0.14626342058181763,0.12543344497680664
greg,0.21012353897094727,0.20030532777309418,0.1278066188097,0.19703933596611023,0.1351879984140396,0.16305497288703918,0.1689821034669876,0.34150266647338867,0.1691211611032486
olsen,0.2795623242855072,0.18819060921669006,0.10434464365243912,0.17005981504917145,0.08883810043334961,0.21411064267158508,0.16389626264572144,0.2577337622642517,0.17089590430259705
",",0.3365725874900818,0.32632124423980713,0.38314947485923767,0.23308761417865753,0.25448864698410034,0.4464869201183319,0.4933079481124878,0.2494642585515976,0.31091248989105225
who,0.9999998807907104,0.2424432635307312,0.22096660733222961,0.11932153254747391,0.15423893928527832,0.37110671401023865,0.3733934462070465,0.2132880985736847,0.26220351457595825
caught,0.26796260476112366,0.15108835697174072,0.2008395791053772,0.22880762815475464,0.17099519073963165,0.19414915144443512,0.2087310254573822,0.20935580134391785,0.20266211032867432
a,0.36608949303627014,0.29961374402046204,0.3095070421695709,0.2307778149843216,0.28924596309661865,0.44038116931915283,0.5829201340675354,0.2255268394947052,0.23916715383529663
career-high,0.2597607672214508,0.32559338212013245,0.32815244793891907,0.2696935832500458,0.22400464117527008,0.3471291661262512,0.26239198446273804,0.3576117753982544,0.18277767300605774
77,-0.08161084353923798,-0.004986413288861513,-0.038130663335323334,-0.10193101316690445,-0.05002700909972191,-0.11824695020914078,-0.0748181939125061,-0.012200119905173779,-0.11628354340791702
passes,0.08672328293323517,0.12327159196138382,0.22510795295238495,0.19537347555160522,0.2534821629524231,0.2133815735578537,0.3752402365207672,0.1794930249452591,0.09716983139514923
for,0.37110671401023865,0.297429621219635,0.34237727522850037,0.281777024269104,0.22042374312877655,0.9999999403953552,0.4739971458911896,0.25358447432518005,0.264628142118454
"1,104",0.07641730457544327,0.04342840239405632,0.08482979983091354,0.03796599060297012,0.042479924857616425,0.09781957417726517,0.06824740767478943,0.09717369824647903,0.1270933896303177
yards,0.13584628701210022,0.133887380361557,0.1900969296693802,0.29764363169670105,0.24791282415390015,0.21746347844600677,0.16070343554019928,0.33815330266952515,0.12453813850879669
and,0.41279885172843933,0.2649672031402588,0.3571503460407257,0.27864760160446167,0.24708716571331024,0.5064792633056641,0.5171257257461548,0.2230100929737091,0.20544172823429108
seven,0.15699508786201477,0.19601970911026,0.2330896109342575,0.1676391363143921,0.20485073328018188,0.22466500103473663,0.28151169419288635,0.23665861785411835,0.1732930988073349
touchdowns,0.18127667903900146,0.12408019602298737,0.22556564211845398,0.31525468826293945,0.3135312497615814,0.2948407232761383,0.20508192479610443,0.4128744304180145,0.1509619653224945
",",0.3365725874900818,0.32632124423980713,0.38314947485923767,0.23308761417865753,0.25448864698410034,0.4464869201183319,0.4933079481124878,0.2494642585515976,0.31091248989105225
and,0.41279885172843933,0.2649672031402588,0.3571503460407257,0.27864760160446167,0.24708716571331024,0.5064792633056641,0.5171257257461548,0.2230100929737091,0.20544172823429108
