,how,did,luther,broaden,the,reformation,in,terms,of,prophecy,?
in,0.2601168751716614,0.2593238651752472,0.20523880422115326,0.303326278924942,0.6662389636039734,0.2716333270072937,1.0,0.2410934716463089,0.5696388483047485,0.1381155252456665,0.20430970191955566
1521,0.17260107398033142,0.09373841434717178,0.08881302922964096,0.057877857238054276,0.18627284467220306,0.09965403378009796,0.13218195736408234,-0.00843107234686613,0.10520750284194946,0.22703298926353455,0.0046399421989917755
luther,0.13354721665382385,0.23667675256729126,1.0,0.234151691198349,0.1759674996137619,0.43711021542549133,0.20523880422115326,0.08851511776447296,0.1719115972518921,0.2620737552642822,0.1732746809720993
dealt,0.39809268712997437,0.16408671438694,0.09305058419704437,0.22219616174697876,0.24436350166797638,0.19271105527877808,0.21263344585895538,0.23299290239810944,0.2109026461839676,0.22347839176654816,0.3251160979270935
largely,0.1737520396709442,0.16484405100345612,0.08875765651464462,0.312528133392334,0.34641584753990173,0.28649306297302246,0.2371911108493805,0.23875179886817932,0.3087159991264343,0.11809033155441284,0.08185246586799622
with,0.3525622487068176,0.25472134351730347,0.14705438911914825,0.27571573853492737,0.4223487675189972,0.19685934484004974,0.4080928862094879,0.2213757187128067,0.41827285289764404,0.1878492683172226,0.2433311939239502
prophecy,0.29629242420196533,0.2735152840614319,0.2620737552642822,0.0996229350566864,0.24064886569976807,0.28099384903907776,0.1381155252456665,0.10820646584033966,0.20562416315078735,1.0000001192092896,0.21778744459152222
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.2929009199142456,0.4933079481124878,0.2554768919944763,0.5201468467712402,0.26854002475738525,0.4946078956127167,0.1758950650691986,0.31091248989105225
in,0.2601168751716614,0.2593238651752472,0.20523880422115326,0.303326278924942,0.6662389636039734,0.2716333270072937,1.0,0.2410934716463089,0.5696388483047485,0.1381155252456665,0.20430970191955566
which,0.4852597713470459,0.2750149369239807,0.17501473426818848,0.3818873465061188,0.6521818041801453,0.35260897874832153,0.4840516746044159,0.29791849851608276,0.5011631846427917,0.2444184422492981,0.25814583897590637
he,0.2594625651836395,0.3292143940925598,0.2454872578382492,0.15856237709522247,0.4571082592010498,0.23759670555591583,0.41690486669540405,0.20974694192409515,0.38706058263778687,0.23897337913513184,0.2089974731206894
broadened,0.23487623035907745,0.22752805054187775,0.15801671147346497,0.8229275941848755,0.32249489426612854,0.3164460062980652,0.24655503034591675,0.33636826276779175,0.29780113697052,0.1417042762041092,0.18552923202514648
the,0.33890387415885925,0.34736719727516174,0.1759674996137619,0.3136174976825714,1.0,0.3290504217147827,0.6662389636039734,0.29706791043281555,0.733189046382904,0.24064886569976807,0.22068053483963013
foundations,0.23951639235019684,0.14266040921211243,0.11138167977333069,0.26402807235717773,0.24636128544807434,0.3143007755279541,0.23318783938884735,0.23927940428256989,0.2833683490753174,0.16996853053569794,0.1452419012784958
of,0.2480744868516922,0.2513895630836487,0.1719115972518921,0.28248369693756104,0.733189046382904,0.311197429895401,0.5696388483047485,0.2767748534679413,1.0,0.20562416315078735,0.1826142966747284
the,0.33890387415885925,0.34736719727516174,0.1759674996137619,0.3136174976825714,1.0,0.3290504217147827,0.6662389636039734,0.29706791043281555,0.733189046382904,0.24064886569976807,0.22068053483963013
reformation,0.18478074669837952,0.20929229259490967,0.43711021542549133,0.29956138134002686,0.3290504217147827,1.0,0.2716333270072937,0.18127073347568512,0.311197429895401,0.28099384903907776,0.14843040704727173
placing,0.24741333723068237,0.16818954050540924,0.0744176134467125,0.2322852462530136,0.4173245429992676,0.12590117752552032,0.25675341486930847,0.21818891167640686,0.31249165534973145,0.15380579233169556,0.1590770035982132
them,0.5142028331756592,0.44189682602882385,0.1940135955810547,0.2737672030925751,0.4788833558559418,0.2194836437702179,0.29119014739990234,0.2780153453350067,0.34503093361854553,0.3049420416355133,0.35435691475868225
on,0.32655060291290283,0.2670976221561432,0.19090485572814941,0.30160635709762573,0.5107308030128479,0.18694719672203064,0.46853652596473694,0.1906774938106537,0.3966929316520691,0.0799858346581459,0.2714994251728058
prophetic,0.24114932119846344,0.2588011622428894,0.2887623608112335,0.18416285514831543,0.1992841362953186,0.2813698351383209,0.10871473699808121,0.15032704174518585,0.19021384418010712,0.7221064567565918,0.20388533174991608
faith,0.22136688232421875,0.24413958191871643,0.2839079797267914,0.21275554597377777,0.20665863156318665,0.43013307452201843,0.16146141290664673,0.09051332622766495,0.20991961658000946,0.3823489248752594,0.2833177447319031
.,0.3287222981452942,0.35288307070732117,0.24907569587230682,0.2174873948097229,0.5934505462646484,0.29916802048683167,0.5591574311256409,0.24108539521694183,0.5352458953857422,0.18205685913562775,0.4130953550338745
