,when,was,the,charter,for,this,church,signed,?
the,0.5091903209686279,0.48711544275283813,1.0,0.26436546444892883,0.4739971458911896,0.6274310946464539,0.23846197128295898,0.20675969123840332,0.22068053483963013
french,0.18820616602897644,0.2523815333843231,0.2555147111415863,0.18694888055324554,0.17280760407447815,0.2380896955728531,0.1596711128950119,0.1409071534872055,0.1386883556842804
protestant,0.17039497196674347,0.25246119499206543,0.2679212689399719,0.21095559000968933,0.11954054981470108,0.24984940886497498,0.590944766998291,0.1878320276737213,0.14798137545585632
church,0.20053261518478394,0.24960921704769135,0.23846197128295898,0.237933948636055,0.15542230010032654,0.18826861679553986,0.9999999403953552,0.14375656843185425,0.18081501126289368
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2438247799873352,0.4185989499092102,0.45148900151252747,0.3079429268836975,0.19593118131160736,0.1826142966747284
london,0.17293383181095123,0.3026486933231354,0.27034124732017517,0.2545929551124573,0.19099627435207367,0.2333558052778244,0.1458871215581894,0.1639719307422638,0.11278104782104492
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.23359626531600952,0.3863949179649353,0.3638818562030792,0.24960921704769135,0.2625274360179901,0.18412111699581146
established,0.18169470131397247,0.26515325903892517,0.33092597126960754,0.3167438209056854,0.1717284768819809,0.2030201405286789,0.21564553678035736,0.2597043812274933,0.15917523205280304
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.1632666289806366,0.3248702883720398,0.38438332080841064,0.135782390832901,0.2200455516576767,0.17966607213020325
royal,0.19010110199451447,0.2874114215373993,0.2997032403945923,0.36593252420425415,0.20729990303516388,0.20395520329475403,0.17223063111305237,0.12779006361961365,0.11453001946210861
charter,0.23500612378120422,0.23359626531600952,0.26436546444892883,1.0000001192092896,0.2007191777229309,0.16603198647499084,0.237933948636055,0.3335528075695038,0.14220231771469116
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.20881880819797516,0.4322226941585541,0.45205554366111755,0.2493300437927246,0.21830837428569794,0.20430970191955566
1550,0.10166117548942566,-0.03437107056379318,0.010021181777119637,0.0701286643743515,0.0018303804099559784,0.12024976313114166,0.0679687038064003,0.02691797912120819,-0.029320459812879562
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.17250345647335052,0.4726039469242096,0.500583827495575,0.28898224234580994,0.2168726921081543,0.4130953550338745
