,what,do,the,devonshire,hunting,tapestries,depict,?
a,0.3320399522781372,0.26237669587135315,0.5829201340675354,0.12952390313148499,0.2730202376842499,0.27172237634658813,0.16572916507720947,0.23916715383529663
highlight,0.27256110310554504,0.23017184436321259,0.26126983761787415,0.09715456515550613,0.10730956494808197,0.17237745225429535,0.2191201150417328,0.19680358469486237
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.18575336039066315,0.23968064785003662,0.2834693491458893,0.2532079219818115,0.1826142966747284
the,0.42745697498321533,0.30239659547805786,1.0,0.16706396639347076,0.2975936233997345,0.2850809097290039,0.20201213657855988,0.22068053483963013
collection,0.215459942817688,0.1286226361989975,0.25281965732574463,0.11060739308595657,0.17496898770332336,0.3590417802333832,0.32480311393737793,0.20069393515586853
is,0.28837618231773376,0.30895981192588806,0.5823672413825989,0.1243281438946724,0.21004845201969147,0.1843765527009964,0.1903979629278183,0.22961433231830597
the,0.42745697498321533,0.30239659547805786,1.0,0.16706396639347076,0.2975936233997345,0.2850809097290039,0.20201213657855988,0.22068053483963013
four,0.18057085573673248,0.1615660935640335,0.40344667434692383,0.14176997542381287,0.19234883785247803,0.22991926968097687,0.15376245975494385,0.14532537758350372
devonshire,0.1631183624267578,0.03948375955224037,0.16706396639347076,1.0,0.20835080742835999,0.1812037080526352,0.12451951950788498,0.07247522473335266
hunting,0.21647632122039795,0.20304757356643677,0.2975936233997345,0.20835080742835999,0.9999998807907104,0.3281814754009247,0.2286323606967926,0.1138605922460556
tapestries,0.16565795242786407,0.20862354338169098,0.2850809097290039,0.1812037080526352,0.3281814754009247,0.9999999403953552,0.4338085651397705,0.1611575335264206
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.22726620733737946,0.2791766822338104,0.2338220626115799,0.13495954871177673,0.31091248989105225
very,0.37053924798965454,0.2859450876712799,0.34171217679977417,0.1391448974609375,0.2551844120025635,0.2674739956855774,0.15908308327198029,0.20864155888557434
rare,0.17727354168891907,0.19285643100738525,0.23127084970474243,0.08565322309732437,0.2677357494831085,0.26310813426971436,0.16254137456417084,0.14820347726345062
15th-century,0.2088523656129837,0.1269288957118988,0.31860220432281494,0.2554054856300354,0.262052983045578,0.3186954855918884,0.3386492133140564,0.09978894144296646
