,where,did,he,work,on,the,oscillators,?
while,0.41293615102767944,0.3330625295639038,0.3526706397533417,0.2524937391281128,0.44084006547927856,0.39804592728614807,0.21167828142642975,0.21076419949531555
experimenting,0.2188582420349121,0.2851540446281433,0.24826064705848694,0.4544619917869568,0.26782870292663574,0.22658103704452515,0.344131737947464,0.20757123827934265
with,0.4142743945121765,0.25472134351730347,0.2845253646373749,0.2649822533130646,0.40749499201774597,0.4223487675189972,0.19761674106121063,0.2433311939239502
mechanical,0.2553132176399231,0.13345296680927277,0.23722536861896515,0.3044905662536621,0.1700088083744049,0.2918589413166046,0.47945740818977356,0.10079140216112137
oscillators,0.27870917320251465,0.13032908737659454,0.0861208587884903,0.245180144906044,0.18343453109264374,0.22610870003700256,0.9999998807907104,0.18054592609405518
at,0.4402937591075897,0.28390252590179443,0.3280475437641144,0.24906395375728607,0.4806317389011383,0.457212895154953,0.14319781959056854,0.21978627145290375
his,0.29880598187446594,0.3546801507472992,0.7171558737754822,0.36648666858673096,0.32064297795295715,0.4394008219242096,0.07377840578556061,0.18075084686279297
houston,0.20381973683834076,0.2530612647533417,0.22199203073978424,0.16689768433570862,0.21088135242462158,0.24086737632751465,0.1554994285106659,0.14217448234558105
street,0.2266174852848053,0.13786788284778595,0.20771941542625427,0.11046870052814484,0.20150774717330933,0.20947860181331635,0.16205118596553802,0.07315441966056824
lab,0.18901365995407104,0.19881273806095123,0.2131323367357254,0.3191837966442108,0.21672630310058594,0.19908973574638367,0.2281578928232193,0.15959888696670532
",",0.3149496018886566,0.3015086054801941,0.40251094102859497,0.3283594250679016,0.49057599902153015,0.4933079481124878,0.1664411425590515,0.31091248989105225
tesla,0.12761090695858002,0.09757418930530548,0.12373391538858414,0.2545209228992462,0.16159376502037048,0.1324402391910553,0.3533138036727905,0.10250775516033173
allegedly,0.2568395137786865,0.23400627076625824,0.2955125570297241,0.11540205776691437,0.20619560778141022,0.23063746094703674,0.13599438965320587,0.07345700263977051
generated,0.22788546979427338,0.14731889963150024,0.031940821558237076,0.23394440114498138,0.1966782659292221,0.27684199810028076,0.376550555229187,0.28358349204063416
a,0.40997210144996643,0.2552328109741211,0.4393508732318878,0.266241192817688,0.3848365545272827,0.5829201340675354,0.2736395001411438,0.23916715383529663
resonance,0.17833392322063446,0.13059106469154358,0.16251227259635925,0.2536751329898834,0.18265266716480255,0.2410922795534134,0.542310357093811,0.17075729370117188
of,0.38066378235816956,0.2513895630836487,0.38706058263778687,0.23473061621189117,0.3966929316520691,0.733189046382904,0.16752834618091583,0.1826142966747284
several,0.32044100761413574,0.24080568552017212,0.3050447702407837,0.28781697154045105,0.33774417638778687,0.40559855103492737,0.18081527948379517,0.15595775842666626
buildings,0.2605574131011963,0.17572498321533203,0.207917258143425,0.2776724398136139,0.19714148342609406,0.25566717982292175,0.26073160767555237,0.11192528158426285
.,0.41390106081962585,0.35288307070732117,0.38061028718948364,0.33121398091316223,0.49257001280784607,0.5934505462646484,0.20369727909564972,0.4130953550338745
