,why,was,he,unable,to,enroll,at,the,university,?
unfortunately,0.4467814564704895,0.22921352088451385,0.23610642552375793,0.3535987138748169,0.36665233969688416,0.1222108006477356,0.24336305260658264,0.27579349279403687,0.081900954246521,0.24936126172542572
",",0.2827242314815521,0.45456063747406006,0.40251094102859497,0.20128878951072693,0.44245919585227966,0.2468680739402771,0.38314947485923767,0.4933079481124878,0.3017033040523529,0.31091248989105225
he,0.26086166501045227,0.5410010814666748,1.0000001192092896,0.29292115569114685,0.385390967130661,0.26385632157325745,0.3280475437641144,0.4571082592010498,0.31377843022346497,0.2089974731206894
arrived,0.21030695736408234,0.363562673330307,0.2795191705226898,0.20629459619522095,0.3039925694465637,0.18374772369861603,0.32217898964881897,0.279670387506485,0.2288328856229782,0.1681029200553894
too,0.44862106442451477,0.21435821056365967,0.22451673448085785,0.3663328289985657,0.37087053060531616,0.07235073298215866,0.24718444049358368,0.26985910534858704,0.10524134337902069,0.33757779002189636
late,0.13468781113624573,0.4393066465854645,0.28255006670951843,0.1519739180803299,0.25809016823768616,0.15523935854434967,0.2634412944316864,0.31481194496154785,0.09552349150180817,0.11339222639799118
to,0.4100138247013092,0.3636345863342285,0.385390967130661,0.47413626313209534,1.0,0.23693548142910004,0.36524343490600586,0.535392165184021,0.20192374289035797,0.29463258385658264
enroll,0.04768253490328789,0.21303975582122803,0.26385632157325745,0.10248066484928131,0.23693548142910004,1.0,0.32266765832901,0.16546301543712616,0.45971035957336426,0.1029084101319313
at,0.23853865265846252,0.36707764863967896,0.3280475437641144,0.23449711501598358,0.36524343490600586,0.32266765832901,1.0,0.457212895154953,0.30386853218078613,0.21978627145290375
charles-ferdinand,0.19696427881717682,0.34976741671562195,0.320921927690506,0.16519750654697418,0.24935610592365265,0.2415163367986679,0.20932626724243164,0.2748912572860718,0.2802151143550873,0.17771734297275543
university,0.18185217678546906,0.290752112865448,0.31377843022346497,0.12579552829265594,0.20192374289035797,0.45971035957336426,0.30386853218078613,0.263973206281662,1.0,0.11887256056070328
;,0.031007718294858932,0.0754367932677269,0.05541064962744713,0.12703314423561096,0.0979827418923378,0.020400719717144966,0.00622112350538373,0.09152708947658539,-0.012021088972687721,0.10349778085947037
he,0.26086166501045227,0.5410010814666748,1.0000001192092896,0.29292115569114685,0.385390967130661,0.26385632157325745,0.3280475437641144,0.4571082592010498,0.31377843022346497,0.2089974731206894
never,0.36140766739845276,0.3237079679965973,0.3896317780017853,0.3717074394226074,0.386821448802948,0.17619700729846954,0.25275537371635437,0.31617826223373413,0.19871006906032562,0.24137508869171143
studied,0.17505399882793427,0.32208186388015747,0.37231236696243286,0.09495899826288223,0.2105901688337326,0.4472891390323639,0.30054476857185364,0.1840781420469284,0.5151404142379761,0.12394175678491592
greek,0.111930713057518,0.191945880651474,0.17936815321445465,0.07952545583248138,0.1887008547782898,0.10422763228416443,0.10546267777681351,0.23564283549785614,0.1160019189119339,0.11180876195430756
",",0.2827242314815521,0.45456063747406006,0.40251094102859497,0.20128878951072693,0.44245919585227966,0.2468680739402771,0.38314947485923767,0.4933079481124878,0.3017033040523529,0.31091248989105225
a,0.2667238116264343,0.4508470594882965,0.4393508732318878,0.22923994064331055,0.45503583550453186,0.1912536919116974,0.3095070421695709,0.5829201340675354,0.20256656408309937,0.23916715383529663
required,0.28945571184158325,0.14378079771995544,0.15180060267448425,0.3294147551059723,0.3613971471786499,0.23560132086277008,0.21554028987884521,0.27848219871520996,0.10331649333238602,0.24962718784809113
subject,0.374086856842041,0.19509273767471313,0.26557421684265137,0.21250416338443756,0.3198980987071991,0.17272526025772095,0.20078150928020477,0.2387523651123047,0.22598880529403687,0.33952999114990234
;,0.031007718294858932,0.0754367932677269,0.05541064962744713,0.12703314423561096,0.0979827418923378,0.020400719717144966,0.00622112350538373,0.09152708947658539,-0.012021088972687721,0.10349778085947037
