,what,will,a,society,with,more,equality,have,?
from,0.2737620174884796,0.193743497133255,0.322764128446579,0.18421071767807007,0.26272761821746826,0.2529715299606323,0.09097614139318466,0.30702701210975647,0.19969791173934937
this,0.5489566326141357,0.42301562428474426,0.5422310829162598,0.21165113151073456,0.36358317732810974,0.5430014133453369,0.2420712560415268,0.4660032093524933,0.3155723512172699
standpoint,0.35498660802841187,0.368665486574173,0.3905831277370453,0.24436737596988678,0.24300585687160492,0.3005353808403015,0.34840112924575806,0.3388083875179291,0.25578823685646057
",",0.3087472915649414,0.29706671833992004,0.427140474319458,0.20629194378852844,0.4120737314224243,0.3696524500846863,0.2189975380897522,0.3541618287563324,0.31091248989105225
for,0.3017193675041199,0.3647450804710388,0.44038116931915283,0.21769006550312042,0.39140474796295166,0.3891189992427826,0.26320788264274597,0.41175219416618347,0.264628142118454
any,0.43670421838760376,0.45067107677459717,0.45031747221946716,0.20444177091121674,0.34412381052970886,0.48890697956085205,0.2847404479980469,0.5329707860946655,0.4113408327102661
given,0.21883496642112732,0.3105083107948303,0.3335871398448944,0.17589890956878662,0.29518163204193115,0.26218181848526,0.2025493085384369,0.34415629506111145,0.2570464313030243
amount,0.2602839767932892,0.34610289335250854,0.3439450263977051,0.1593676209449768,0.30051055550575256,0.3671000599861145,0.23918551206588745,0.3718394339084625,0.17984020709991455
of,0.33290785551071167,0.2473582625389099,0.5052502155303955,0.23646748065948486,0.41827285289764404,0.30478984117507935,0.26455768942832947,0.3802283704280853,0.1826142966747284
wealth,0.2415573000907898,0.24376334249973297,0.20101723074913025,0.28868359327316284,0.177688866853714,0.24429993331432343,0.4094497561454773,0.20081286132335663,0.1624586433172226
in,0.30808621644973755,0.2580665349960327,0.539380669593811,0.21229879558086395,0.4080928862094879,0.32563260197639465,0.1692870706319809,0.36843645572662354,0.20430970191955566
society,0.23231269419193268,0.15139447152614594,0.22652459144592285,0.9999998807907104,0.1061180979013443,0.21340928971767426,0.4096025824546814,0.18951740860939026,0.1373005360364914
",",0.3087472915649414,0.29706671833992004,0.427140474319458,0.20629194378852844,0.4120737314224243,0.3696524500846863,0.2189975380897522,0.3541618287563324,0.31091248989105225
a,0.3320399522781372,0.3401327431201935,1.0,0.22652459144592285,0.3783375024795532,0.3452818691730499,0.14709146320819855,0.338716596364975,0.23916715383529663
society,0.23231269419193268,0.15139447152614594,0.22652459144592285,0.9999998807907104,0.1061180979013443,0.21340928971767426,0.4096025824546814,0.18951740860939026,0.1373005360364914
with,0.2464839518070221,0.33888739347457886,0.3783375024795532,0.1061180979013443,0.9999999403953552,0.3535402715206146,0.19322898983955383,0.48046383261680603,0.2433311939239502
more,0.3484537899494171,0.3627133071422577,0.3452818691730499,0.21340928971767426,0.3535402715206146,1.0,0.19518715143203735,0.49033403396606445,0.27894994616508484
equality,0.2506782114505768,0.20087869465351105,0.14709146320819855,0.4096025824546814,0.19322898983955383,0.19518715143203735,1.0,0.19868417084217072,0.19821703433990479
will,0.3510494530200958,1.0,0.3401327431201935,0.15139447152614594,0.33888739347457886,0.3627133071422577,0.20087869465351105,0.4443284869194031,0.35046905279159546
have,0.39808809757232666,0.4443284869194031,0.338716596364975,0.18951740860939026,0.48046383261680603,0.49033403396606445,0.19868417084217072,0.9999999403953552,0.32991164922714233
higher,0.2538340389728546,0.3060893714427948,0.2608921229839325,0.2309739887714386,0.20294103026390076,0.41627442836761475,0.24173709750175476,0.3573189079761505,0.15679465234279633
aggregate,0.12772192060947418,0.2604306936264038,0.1707366406917572,0.1361866444349289,0.21766625344753265,0.2420569658279419,0.23659178614616394,0.21949414908885956,0.1372452974319458
utility,0.170489102602005,0.18241609632968903,0.25070878863334656,0.1852094531059265,0.21783854067325592,0.2796304225921631,0.3225511610507965,0.20923133194446564,0.18713216483592987
.,0.3567904531955719,0.33682769536972046,0.50484299659729,0.18022798001766205,0.4446153938770294,0.4070230722427368,0.22462227940559387,0.41614407300949097,0.4130953550338745
,what,will,a,society,with,more,equality,have,?
some,0.4491020441055298,0.3761063814163208,0.34539633989334106,0.26269596815109253,0.3924338221549988,0.5524908900260925,0.20906580984592438,0.6421269774436951,0.2562315762042999
studies,0.18772079050540924,0.15403982996940613,0.24775946140289307,0.314081072807312,0.17316602170467377,0.20077383518218994,0.2080007791519165,0.29284238815307617,0.1388726830482483
have,0.39808809757232666,0.4443284869194031,0.338716596364975,0.18951740860939026,0.48046383261680603,0.49033403396606445,0.19868417084217072,0.9999999403953552,0.32991164922714233
found,0.1796332150697708,0.16058588027954102,0.2869448959827423,0.12732945382595062,0.2364431470632553,0.23245514929294586,0.04026935249567032,0.32803434133529663,0.16790300607681274
evidence,0.33425694704055786,0.16000054776668549,0.25465038418769836,0.18689127266407013,0.1642714887857437,0.2814730703830719,0.18641039729118347,0.39647525548934937,0.24151235818862915
for,0.3017193675041199,0.3647450804710388,0.44038116931915283,0.21769006550312042,0.39140474796295166,0.3891189992427826,0.26320788264274597,0.41175219416618347,0.264628142118454
this,0.5489566326141357,0.42301562428474426,0.5422310829162598,0.21165113151073456,0.36358317732810974,0.5430014133453369,0.2420712560415268,0.4660032093524933,0.3155723512172699
theory,0.297923743724823,0.14339184761047363,0.2233850657939911,0.2706367075443268,0.21627245843410492,0.23122718930244446,0.2968962788581848,0.25909456610679626,0.1387292891740799
",",0.3087472915649414,0.29706671833992004,0.427140474319458,0.20629194378852844,0.4120737314224243,0.3696524500846863,0.2189975380897522,0.3541618287563324,0.31091248989105225
noting,0.3890191316604614,0.32544568181037903,0.32188788056373596,0.13145816326141357,0.29970914125442505,0.35202914476394653,0.20500428974628448,0.39195284247398376,0.3035415709018707
that,0.6297725439071655,0.4857470989227295,0.47537946701049805,0.23252169787883759,0.4154358208179474,0.4813884496688843,0.3037876486778259,0.6182622313499451,0.32716336846351624
in,0.30808621644973755,0.2580665349960327,0.539380669593811,0.21229879558086395,0.4080928862094879,0.32563260197639465,0.1692870706319809,0.36843645572662354,0.20430970191955566
societies,0.21333153545856476,0.2040928155183792,0.21570569276809692,0.6826943159103394,0.16941717267036438,0.2945261299610138,0.39512088894844055,0.32294073700904846,0.19051554799079895
where,0.4457937180995941,0.3374059498310089,0.40997210144996643,0.11491526663303375,0.4142743945121765,0.29405033588409424,0.15126806497573853,0.412650465965271,0.24793872237205505
inequality,0.30072227120399475,0.2407531589269638,0.1783585250377655,0.3808777630329132,0.2160445749759674,0.2623436152935028,0.8710829019546509,0.2617298364639282,0.23619021475315094
is,0.28837618231773376,0.3723262846469879,0.658733606338501,0.15995073318481445,0.3250955045223236,0.2946030795574188,0.18514825403690338,0.3613572418689728,0.22961433231830597
lower,0.20079238712787628,0.19500648975372314,0.2221667766571045,0.17072713375091553,0.1784515678882599,0.2488173395395279,0.1861489862203598,0.2959109842777252,0.08471795171499252
",",0.3087472915649414,0.29706671833992004,0.427140474319458,0.20629194378852844,0.4120737314224243,0.3696524500846863,0.2189975380897522,0.3541618287563324,0.31091248989105225
population-wide,0.22198906540870667,0.2043810784816742,0.24822178483009338,0.20855216681957245,0.1634511500597,0.23739397525787354,0.2082432508468628,0.2545061707496643,0.25117507576942444
