,compared,to,other,causes,",",the,effect,of,trade,on,inequality,in,america,is,what,?
however,0.44367536902427673,0.5474119186401367,0.4558732807636261,0.2402690201997757,0.4037865996360779,0.49814513325691223,0.3842862844467163,0.3800618350505829,0.28462308645248413,0.3940407931804657,0.3292284607887268,0.3982149362564087,0.25795164704322815,0.33769986033439636,0.4480680823326111,0.2152075469493866
",",0.25363782048225403,0.44245919585227966,0.4446498453617096,0.3057606518268585,1.0000001192092896,0.4933079481124878,0.2150653600692749,0.4946078956127167,0.1945054978132248,0.49057599902153015,0.21822890639305115,0.5201468467712402,0.253568559885025,0.4691906273365021,0.3087472915649414,0.31091248989105225
he,0.16141578555107117,0.385390967130661,0.24213658273220062,0.2237205058336258,0.40251094102859497,0.4571082592010498,0.18305131793022156,0.38706058263778687,0.2100159227848053,0.32403138279914856,0.1916923075914383,0.41690486669540405,0.20790302753448486,0.36230841279029846,0.3114890456199646,0.2089974731206894
concedes,0.23297208547592163,0.309725284576416,0.2019873708486557,0.17795100808143616,0.31889671087265015,0.25011909008026123,0.2323024719953537,0.21790392696857452,0.18496371805667877,0.2121061086654663,0.3749317526817322,0.24945655465126038,0.20755009353160858,0.22195786237716675,0.28640398383140564,0.27552735805511475
that,0.30344316363334656,0.5436353087425232,0.5570666193962097,0.2422942817211151,0.4137537479400635,0.5473989248275757,0.3663281202316284,0.41498205065727234,0.20906251668930054,0.42569106817245483,0.3467824459075928,0.435920387506485,0.28841280937194824,0.3995479643344879,0.6297725439071655,0.32716336846351624
the,0.28685078024864197,0.535392165184021,0.44152235984802246,0.2518732249736786,0.4933079481124878,1.0,0.2865084111690521,0.733189046382904,0.2681608200073242,0.5107308030128479,0.23508106172084808,0.6662389636039734,0.37090015411376953,0.5823672413825989,0.42745697498321533,0.22068053483963013
effect,0.25126656889915466,0.2521958649158478,0.24136263132095337,0.363545686006546,0.2150653600692749,0.2865084111690521,1.0,0.24129827320575714,0.20736835896968842,0.2661469280719757,0.3300517201423645,0.25150683522224426,0.18705596029758453,0.17614969611167908,0.2546532452106476,0.1783771812915802
of,0.3360389769077301,0.41548454761505127,0.38583824038505554,0.2544642984867096,0.4946078956127167,0.733189046382904,0.24129827320575714,1.0,0.2310105711221695,0.3966929316520691,0.27910974621772766,0.5696388483047485,0.28803038597106934,0.4854315221309662,0.33290785551071167,0.1826142966747284
trade,0.1385338306427002,0.2781698405742645,0.2614614963531494,0.13605940341949463,0.1945054978132248,0.2681608200073242,0.20736835896968842,0.2310105711221695,0.9999999403953552,0.20021353662014008,0.25770148634910583,0.23862801492214203,0.23988279700279236,0.17870411276817322,0.1555381417274475,0.09336511790752411
on,0.27818986773490906,0.41031414270401,0.3410046398639679,0.24110297858715057,0.49057599902153015,0.5107308030128479,0.2661469280719757,0.3966929316520691,0.20021353662014008,0.9999999403953552,0.16136983036994934,0.46853652596473694,0.24962958693504333,0.3635730445384979,0.34226128458976746,0.2714994251728058
