,the,long,tentacles,on,the,pleurbrachia,are,protected,by,what,?
from,0.40150508284568787,0.3109167516231537,0.10386601090431213,0.36926645040512085,0.40150508284568787,0.23225751519203186,0.2674213647842407,0.19089393317699432,0.3373257517814636,0.2737620174884796,0.19969791173934937
opposite,0.2730693221092224,0.19005927443504333,0.22099906206130981,0.2522927224636078,0.2730693221092224,0.2469426840543747,0.30710941553115845,0.15140056610107422,0.1759098321199417,0.2760887145996094,0.0778411254286766
sides,0.3694373369216919,0.2255226969718933,0.28692832589149475,0.37508270144462585,0.3694373369216919,0.2655247151851654,0.326183021068573,0.24067077040672302,0.20740115642547607,0.2306775599718094,0.09230148047208786
of,0.733189046382904,0.2567519545555115,0.21750880777835846,0.3966929316520691,0.733189046382904,0.3246101140975952,0.39081433415412903,0.1996251344680786,0.3646814823150635,0.33290785551071167,0.1826142966747284
the,1.0,0.3075225353240967,0.24109509587287903,0.5107308030128479,1.0,0.3362193703651428,0.40399202704429626,0.23777265846729279,0.4408751428127289,0.42745697498321533,0.22068053483963013
body,0.31682634353637695,0.25068914890289307,0.3929002583026886,0.20112086832523346,0.31682634353637695,0.3702913522720337,0.2451179027557373,0.17025399208068848,0.23696592450141907,0.2143840193748474,0.20136451721191406
extends,0.39314064383506775,0.29943475127220154,0.28992289304733276,0.2659096121788025,0.39314064383506775,0.36495915055274963,0.23563255369663239,0.243667334318161,0.12575553357601166,0.19643902778625488,0.1020013764500618
a,0.5829201340675354,0.3795371353626251,0.22963744401931763,0.3848365545272827,0.5829201340675354,0.2955421805381775,0.265255331993103,0.17590995132923126,0.32094135880470276,0.3320399522781372,0.23916715383529663
pair,0.2643369734287262,0.27562233805656433,0.3249877691268921,0.1934850513935089,0.2643369734287262,0.282624751329422,0.3115881681442261,0.12438517063856125,0.19983817636966705,0.1797199696302414,0.11695868521928787
of,0.733189046382904,0.2567519545555115,0.21750880777835846,0.3966929316520691,0.733189046382904,0.3246101140975952,0.39081433415412903,0.1996251344680786,0.3646814823150635,0.33290785551071167,0.1826142966747284
long,0.3075225353240967,1.0,0.32371777296066284,0.3373977243900299,0.3075225353240967,0.2735181152820587,0.23909839987754822,0.2418590784072876,0.17269869148731232,0.28276848793029785,0.19699987769126892
",",0.4933079481124878,0.3431144952774048,0.2031479775905609,0.49057599902153015,0.4933079481124878,0.34813013672828674,0.4062570035457611,0.23563995957374573,0.3680937886238098,0.3087472915649414,0.31091248989105225
slender,0.24946215748786926,0.46636152267456055,0.46817052364349365,0.21043553948402405,0.24946215748786926,0.3978312611579895,0.2764977216720581,0.21281102299690247,0.14238698780536652,0.14986588060855865,0.118740014731884
tentacles,0.24109509587287903,0.32371777296066284,0.9999999403953552,0.22140857577323914,0.24109509587287903,0.4078952372074127,0.3209848701953888,0.17728553712368011,0.24369199573993683,0.17259258031845093,0.15145425498485565
",",0.4933079481124878,0.3431144952774048,0.2031479775905609,0.49057599902153015,0.4933079481124878,0.34813013672828674,0.4062570035457611,0.23563995957374573,0.3680937886238098,0.3087472915649414,0.31091248989105225
each,0.470844566822052,0.2636587917804718,0.2622569799423218,0.30782750248908997,0.470844566822052,0.2291143238544464,0.39730963110923767,0.18135732412338257,0.29190269112586975,0.3353266417980194,0.21173812448978424
housed,0.320347398519516,0.15584641695022583,0.23761576414108276,0.2332901805639267,0.320347398519516,0.24353884160518646,0.2283962517976761,0.2136133760213852,0.1991807371377945,0.14229431748390198,0.08815091848373413
in,0.6662389636039734,0.2759332060813904,0.12050669640302658,0.46853652596473694,0.6662389636039734,0.2793337106704712,0.3841303884983063,0.1501450091600418,0.370934396982193,0.30808621644973755,0.20430970191955566
a,0.5829201340675354,0.3795371353626251,0.22963744401931763,0.3848365545272827,0.5829201340675354,0.2955421805381775,0.265255331993103,0.17590995132923126,0.32094135880470276,0.3320399522781372,0.23916715383529663
sheath,0.2418411374092102,0.2405937910079956,0.4140855073928833,0.22935138642787933,0.2418411374092102,0.41936618089675903,0.271695613861084,0.1635829210281372,0.16780708730220795,0.11468970775604248,0.06032225862145424
into,0.39493247866630554,0.228584423661232,0.24752256274223328,0.30585673451423645,0.39493247866630554,0.2717246115207672,0.2930682599544525,0.1468203067779541,0.30473223328590393,0.2180619090795517,0.15662476420402527
which,0.6521818041801453,0.34186381101608276,0.3532736003398895,0.4245251417160034,0.6521818041801453,0.367460697889328,0.42922598123550415,0.27334505319595337,0.40543368458747864,0.5261979103088379,0.25814583897590637
it,0.6251175999641418,0.34568047523498535,0.21266455948352814,0.4529881477355957,0.6251175999641418,0.30790331959724426,0.3617996573448181,0.2232646942138672,0.40926623344421387,0.45803478360176086,0.25732165575027466
can,0.312528520822525,0.3047220706939697,0.33191075921058655,0.2772369682788849,0.312528520822525,0.2822400629520416,0.5408529043197632,0.20116348564624786,0.29642900824546814,0.34502777457237244,0.3226337134838104
be,0.4248143136501312,0.2658098042011261,0.1998712569475174,0.37900757789611816,0.4248143136501312,0.2298717051744461,0.5556803941726685,0.24588684737682343,0.43158695101737976,0.3929833769798279,0.3324260413646698
withdrawn,0.24609965085983276,0.21697795391082764,0.11815057694911957,0.21659183502197266,0.24609965085983276,0.18995311856269836,0.1621854603290558,0.20942239463329315,0.1558094471693039,0.2311757653951645,0.2240304797887802
.,0.5934505462646484,0.3247973620891571,0.23579104244709015,0.49257001280784607,0.5934505462646484,0.32060638070106506,0.3452940285205841,0.25049394369125366,0.3936232924461365,0.3567904531955719,0.4130953550338745
