,what,was,austpac
austpac,0.18166624009609222,0.21115191280841827,1.0000001192092896
was,0.22111038863658905,1.0000001192092896,0.21115191280841827
an,0.2821882665157318,0.3694365322589874,0.1635947972536087
australian,0.13873113691806793,0.2591390311717987,0.3603244125843048
public,0.1729622185230255,0.2513592839241028,0.22009561955928802
x.25,0.16212259232997894,0.03781469911336899,0.04539281874895096
network,0.16917307674884796,0.1994880586862564,0.1701781004667282
operated,0.12572449445724487,0.28584223985671997,0.17159272730350494
by,0.2455483376979828,0.4752357602119446,0.1781097799539566
telstra,0.14548452198505402,0.2520950734615326,0.2820020616054535
.,0.3567904531955719,0.40146201848983765,0.2324066162109375
