,how,many,students,does,the,university,of,chicago,have,enlisted,?
the,0.33890387415885925,0.4335206151008606,0.25268980860710144,0.35928019881248474,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.40389683842658997,0.2757566273212433,0.22068053483963013
university,0.12992997467517853,0.19385361671447754,0.4958297908306122,0.09909145534038544,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.1617986559867859,0.17394447326660156,0.11887256056070328
currently,0.20420436561107635,0.25505611300468445,0.2038479894399643,0.2973312437534332,0.2945235073566437,0.24407124519348145,0.2655649185180664,0.22455915808677673,0.2911094129085541,0.22019661962985992,0.1861555278301239
enrolls,0.1565934717655182,0.23550745844841003,0.601728618144989,0.16074852645397186,0.18669463694095612,0.42030829191207886,0.2410375475883484,0.21395766735076904,0.1772196739912033,0.38431432843208313,0.09268207848072052
approximately,0.17167454957962036,0.2855706214904785,0.24933049082756042,0.16432708501815796,0.33137547969818115,0.2018422782421112,0.34526896476745605,0.11802741885185242,0.2647372782230377,0.24834159016609192,0.10237617790699005
"5,000",0.05325348302721977,0.053693607449531555,-0.021729080006480217,0.08856223523616791,0.13800157606601715,0.0440899059176445,0.1420990526676178,0.07037120312452316,0.06552731990814209,0.11341465264558792,0.031676504760980606
students,0.25370386242866516,0.2713872492313385,1.0,0.18956486880779266,0.25268980860710144,0.4958297908306122,0.25513339042663574,0.1723083257675171,0.2558421790599823,0.3365817368030548,0.18017297983169556
in,0.2601168751716614,0.41474202275276184,0.2676171064376831,0.214483380317688,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.36843645572662354,0.23304907977581024,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.25268980860710144,0.35928019881248474,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.40389683842658997,0.2757566273212433,0.22068053483963013
college,0.138996884226799,0.20574161410331726,0.4935513734817505,0.18735244870185852,0.19751401245594025,0.6649739742279053,0.2384195327758789,0.24562261998653412,0.16308674216270447,0.24509449303150177,0.11076676845550537
and,0.33647966384887695,0.5296266674995422,0.28111961483955383,0.3461615741252899,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.23260825872421265,0.4711785912513733,0.2607012391090393,0.20544172823429108
around,0.3297552764415741,0.4112928509712219,0.2288268655538559,0.19845978915691376,0.40085816383361816,0.1387399286031723,0.3296394646167755,0.1770637333393097,0.4113404154777527,0.16250842809677124,0.14729668200016022
"15,000",0.040211185812950134,0.08825073391199112,-0.029465559870004654,0.06684117764234543,0.16680675745010376,0.04924408346414566,0.14615969359874725,0.0671670138835907,0.08728598058223724,0.10566065460443497,0.049876853823661804
students,0.25370386242866516,0.2713872492313385,1.0,0.18956486880779266,0.25268980860710144,0.4958297908306122,0.25513339042663574,0.1723083257675171,0.2558421790599823,0.3365817368030548,0.18017297983169556
overall,0.25038012862205505,0.22261527180671692,0.1951427310705185,0.19045297801494598,0.31739529967308044,0.13069172203540802,0.2889781594276428,0.23260578513145447,0.26381897926330566,0.22398729622364044,0.18573027849197388
.,0.3287222981452942,0.3974229395389557,0.2607303857803345,0.3022993505001068,0.5934505462646484,0.290679007768631,0.5352458953857422,0.2771213948726654,0.41614407300949097,0.26523885130882263,0.4130953550338745
