,what,do,you,use,to,let,idea,strings,switch,direction,?
they,0.4431931674480438,0.4667694866657257,0.43738529086112976,0.39895978569984436,0.5452046394348145,0.3947148323059082,0.3243429660797119,0.268174409866333,0.19575951993465424,0.19713100790977478,0.2753053903579712
can,0.34502777457237244,0.45775556564331055,0.5051328539848328,0.5362023711204529,0.4979398250579834,0.42171743512153625,0.28415602445602417,0.23353976011276245,0.2689865231513977,0.21558216214179993,0.3226337134838104
be,0.3929833769798279,0.36575672030448914,0.4713827073574066,0.4528608024120331,0.4972836375236511,0.3343085050582886,0.3303828835487366,0.23409953713417053,0.28227680921554565,0.2358003556728363,0.3324260413646698
combined,0.21267308294773102,0.11344467103481293,0.20120325684547424,0.28956401348114014,0.24629315733909607,0.1300985962152481,0.218912273645401,0.14419955015182495,0.12212159484624863,0.14138278365135193,0.17985320091247559
with,0.2464839518070221,0.23744353652000427,0.307061105966568,0.3356984257698059,0.4239959120750427,0.28394919633865356,0.24332615733146667,0.1861914098262787,0.18323154747486115,0.15570828318595886,0.2433311939239502
ideal,0.31059911847114563,0.17037837207317352,0.24389098584651947,0.31376388669013977,0.29955336451530457,0.23398758471012115,0.4919416904449463,0.20553980767726898,0.1385023146867752,0.2579004466533661,0.13358637690544128
pulleys,0.20650330185890198,0.22041699290275574,0.25738275051116943,0.3240984082221985,0.3091385066509247,0.26565173268318176,0.26595354080200195,0.3921918272972107,0.28617241978645325,0.3485183119773865,0.1717994213104248
",",0.3087472915649414,0.3283645510673523,0.3199685513973236,0.3276674151420593,0.44245919585227966,0.3187675476074219,0.22699743509292603,0.25902312994003296,0.2054736316204071,0.23287029564380646,0.31091248989105225
which,0.5261979103088379,0.31153854727745056,0.3689880967140198,0.39254313707351685,0.5345056653022766,0.27364832162857056,0.3808409571647644,0.2920103669166565,0.28281477093696594,0.2687985599040985,0.25814583897590637
allow,0.2883041203022003,0.4335261583328247,0.32376667857170105,0.5636900067329407,0.4900954067707062,0.5034435987472534,0.30922234058380127,0.21064509451389313,0.33079203963279724,0.22096605598926544,0.2042745053768158
ideal,0.31059911847114563,0.17037837207317352,0.24389098584651947,0.31376388669013977,0.29955336451530457,0.23398758471012115,0.4919416904449463,0.20553980767726898,0.1385023146867752,0.2579004466533661,0.13358637690544128
strings,0.19280186295509338,0.19612976908683777,0.2555253803730011,0.24104757606983185,0.20373444259166718,0.19930776953697205,0.23337708413600922,0.9999999403953552,0.22829461097717285,0.20296739041805267,0.16539564728736877
to,0.455847829580307,0.38876664638519287,0.4194425344467163,0.47261837124824524,1.0,0.4338173568248749,0.3542773127555847,0.20373444259166718,0.25462213158607483,0.32930055260658264,0.29463258385658264
switch,0.23045547306537628,0.2068932056427002,0.26519155502319336,0.387906014919281,0.25462213158607483,0.25297853350639343,0.20829647779464722,0.22829461097717285,0.9999999403953552,0.3232629895210266,0.21329930424690247
physical,0.27895045280456543,0.23259274661540985,0.2122127115726471,0.2233716994524002,0.24461913108825684,0.1456839144229889,0.21447846293449402,0.1118478924036026,0.13170090317726135,0.1922556608915329,0.11781801283359528
direction,0.25776705145835876,0.18628260493278503,0.21757102012634277,0.16403497755527496,0.32930055260658264,0.20229576528072357,0.2432095855474472,0.20296739041805267,0.3232629895210266,1.0000001192092896,0.10739318281412125
.,0.3567904531955719,0.3613996207714081,0.31283900141716003,0.3711656630039215,0.4645031690597534,0.371050089597702,0.26084083318710327,0.22129419445991516,0.2557997405529022,0.23911777138710022,0.4130953550338745
