,manning,was,the,number,one,pick,in,which,draft,?
manning,0.9999998807907104,0.2607507109642029,0.27058160305023193,0.15534205734729767,0.1945406049489975,0.30303123593330383,0.22345924377441406,0.20940884947776794,0.29614222049713135,0.15856626629829407
was,0.2607507109642029,1.0000001192092896,0.48711544275283813,0.1855042725801468,0.3752199709415436,0.10723824054002762,0.45514053106307983,0.2830964922904968,0.22196774184703827,0.18412111699581146
the,0.27058160305023193,0.48711544275283813,1.0,0.35145696997642517,0.5514441132545471,0.23948721587657928,0.6662389636039734,0.6521818041801453,0.2136591076850891,0.22068053483963013
#,0.13881531357765198,0.15975844860076904,0.24127686023712158,0.2110917717218399,0.20914268493652344,0.1606774777173996,0.15086837112903595,0.1307707577943802,0.1326262205839157,0.23921507596969604
1,-0.2721913456916809,-0.2275921255350113,-0.1554475575685501,-0.20963284373283386,-0.22723202407360077,-0.26520079374313354,-0.10660158097743988,-0.1852463036775589,-0.2553935647010803,-0.249979168176651
selection,0.20637711882591248,0.18640951812267303,0.26173123717308044,0.272491455078125,0.28614699840545654,0.30304810404777527,0.20567981898784637,0.3100370466709137,0.28765392303466797,0.24161170423030853
of,0.20024974644184113,0.4069072902202606,0.733189046382904,0.2778518795967102,0.4999135136604309,0.18354400992393494,0.5696388483047485,0.5011631846427917,0.1597527265548706,0.1826142966747284
the,0.27058160305023193,0.48711544275283813,1.0,0.35145696997642517,0.5514441132545471,0.23948721587657928,0.6662389636039734,0.6521818041801453,0.2136591076850891,0.22068053483963013
1998,-0.04177447780966759,0.04920116811990738,-0.047468025237321854,-0.09305073320865631,-0.10044535249471664,-0.04250657558441162,-0.07160314172506332,-0.1581934243440628,0.03720373287796974,0.11714459210634232
nfl,0.41851508617401123,0.20145657658576965,0.15305201709270477,0.16465535759925842,0.19273783266544342,0.3688662052154541,0.12599408626556396,0.1353975087404251,0.4675278961658478,0.10610254108905792
draft,0.29614222049713135,0.22196774184703827,0.2136591076850891,0.17173275351524353,0.12244105339050293,0.6203356981277466,0.19735127687454224,0.1764436960220337,0.9999999403953552,0.1941390335559845
",",0.30921146273612976,0.45456063747406006,0.4933079481124878,0.2535701394081116,0.3696635365486145,0.22632014751434326,0.5201468467712402,0.3658004403114319,0.2209516018629074,0.31091248989105225
while,0.27035990357398987,0.3253832161426544,0.39804592728614807,0.23913393914699554,0.3461143672466278,0.2363775372505188,0.3399278521537781,0.38669952750205994,0.19970649480819702,0.21076419949531555
newton,0.31537702679634094,0.25264593958854675,0.1876603662967682,0.1838543862104416,0.20534484088420868,0.08410073071718216,0.23639483749866486,0.1681050956249237,0.19785626232624054,0.09645649790763855
was,0.2607507109642029,1.0000001192092896,0.48711544275283813,0.1855042725801468,0.3752199709415436,0.10723824054002762,0.45514053106307983,0.2830964922904968,0.22196774184703827,0.18412111699581146
picked,0.2566511332988739,0.26922017335891724,0.32128480076789856,0.21771319210529327,0.2670748233795166,0.6348441243171692,0.17203427851200104,0.2764294445514679,0.43280717730522156,0.11181110143661499
first,0.28783273696899414,0.5022147297859192,0.49448907375335693,0.28294017910957336,0.4552372097969055,0.18808603286743164,0.4127444326877594,0.3828166127204895,0.23240342736244202,0.18701928853988647
in,0.22345924377441406,0.45514053106307983,0.6662389636039734,0.3024539053440094,0.4129433035850525,0.17113345861434937,1.0,0.4840516746044159,0.19735127687454224,0.20430970191955566
2011,-0.02558758296072483,-0.022202642634510994,0.07811610400676727,0.13312749564647675,0.10516269505023956,-0.0029847442638128996,0.08290185779333115,0.13200733065605164,-0.0938880667090416,0.005212190095335245
.,0.2937074899673462,0.40146201848983765,0.5934505462646484,0.3256329298019409,0.4123194217681885,0.23959746956825256,0.5591574311256409,0.45942068099975586,0.22211715579032898,0.4130953550338745
