,who,discovered,that,magnetic,and,electric,could,self-generate,?
this,0.3345087468624115,0.26568084955215454,0.6909449696540833,0.2705516219139099,0.42353692650794983,0.23794974386692047,0.4042564332485199,0.41590285301208496,0.3155723512172699
led,0.2450801581144333,0.2786276340484619,0.20931211113929749,0.19433027505874634,0.2780643701553345,0.13273963332176208,0.2344128042459488,0.15776212513446808,0.09273858368396759
maxwell,0.18373645842075348,0.18902213871479034,0.2083471566438675,0.3904406428337097,0.21700043976306915,0.31220003962516785,0.14128358662128448,0.2647370994091034,0.14406277239322662
to,0.42656609416007996,0.17764629423618317,0.5436353087425232,0.23495057225227356,0.48971283435821533,0.2115597426891327,0.5461788773536682,0.3682668209075928,0.29463258385658264
discover,0.2750168740749359,0.8177363872528076,0.3221879005432129,0.24303065240383148,0.21819821000099182,0.06992737948894501,0.2501949071884155,0.2271624505519867,0.1777067482471466
that,0.45444270968437195,0.3047933280467987,1.0,0.27342489361763,0.4731321930885315,0.19867946207523346,0.5584503412246704,0.3821077346801758,0.32716336846351624
electric,0.19416284561157227,0.09000664204359055,0.19867946207523346,0.4703453481197357,0.212884783744812,1.0000001192092896,0.17374145984649658,0.2982829809188843,0.15674720704555511
and,0.41279885172843933,0.21031536161899567,0.4731321930885315,0.1990627944469452,1.0,0.212884783744812,0.3385082483291626,0.282051146030426,0.20544172823429108
magnetic,0.0936945229768753,0.26216939091682434,0.27342489361763,1.0,0.1990627944469452,0.4703453481197357,0.2069147229194641,0.4059189558029175,0.10858146101236343
fields,0.16465042531490326,0.1302061527967453,0.20579737424850464,0.3865538239479065,0.3074205219745636,0.2666083574295044,0.19049072265625,0.3106822967529297,0.1411406248807907
could,0.33540013432502747,0.21665462851524353,0.5584503412246704,0.2069147229194641,0.3385082483291626,0.17374145984649658,0.9999998807907104,0.28850218653678894,0.3411986827850342
be,0.3371641933917999,0.17532077431678772,0.6036020517349243,0.2283020317554474,0.41766801476478577,0.2143908590078354,0.4791525900363922,0.41983482241630554,0.3324260413646698
``,0.02397952415049076,-0.020482761785387993,0.05285148695111275,-0.047996535897254944,0.036644238978624344,-0.05276835337281227,0.07445607334375381,0.017630629241466522,0.0685480609536171
self-generating,0.19170522689819336,0.2193116396665573,0.332381933927536,0.3039966821670532,0.27619796991348267,0.30752840638160706,0.22558213770389557,0.7621662020683289,0.21802930533885956
'',0.024401003494858742,0.04094013199210167,0.007880004122853279,0.0755697563290596,0.021612688899040222,0.07890798151493073,-0.0027024701703339815,0.09209232777357101,0.018684765323996544
through,0.17793183028697968,0.17432932555675507,0.3152649402618408,0.2008192241191864,0.3666759729385376,0.2337203472852707,0.25505194067955017,0.26441940665245056,0.16913433372974396
a,0.36608949303627014,0.20319467782974243,0.47537946701049805,0.19198331236839294,0.3739250600337982,0.24061402678489685,0.3736826181411743,0.2968752384185791,0.23916715383529663
wave,0.1285056322813034,0.13755051791667938,0.24001488089561462,0.3319629728794098,0.21877773106098175,0.3007845878601074,0.17255695164203644,0.3022425174713135,0.19408074021339417
that,0.45444270968437195,0.3047933280467987,1.0,0.27342489361763,0.4731321930885315,0.19867946207523346,0.5584503412246704,0.3821077346801758,0.32716336846351624
traveled,0.27029916644096375,0.2384377270936966,0.17316673696041107,0.15769566595554352,0.26132526993751526,0.18475282192230225,0.2264709770679474,0.17440980672836304,0.08119475841522217
at,0.22096660733222961,0.18777406215667725,0.3183255195617676,0.16380411386489868,0.3571503460407257,0.17301374673843384,0.25692954659461975,0.23534928262233734,0.21978627145290375
a,0.36608949303627014,0.20319467782974243,0.47537946701049805,0.19198331236839294,0.3739250600337982,0.24061402678489685,0.3736826181411743,0.2968752384185791,0.23916715383529663
speed,0.14901922643184662,0.09252078086137772,0.28472527861595154,0.32214751839637756,0.23429381847381592,0.22938251495361328,0.25083285570144653,0.2773875594139099,0.17392314970493317
that,0.45444270968437195,0.3047933280467987,1.0,0.27342489361763,0.4731321930885315,0.19867946207523346,0.5584503412246704,0.3821077346801758,0.32716336846351624
he,0.5500732064247131,0.15488411486148834,0.36068853735923767,0.12169994413852692,0.45427167415618896,0.19912536442279816,0.2828438878059387,0.13800539076328278,0.2089974731206894
calculated,0.15563911199569702,0.2951143980026245,0.352838397026062,0.34167638421058655,0.22203664481639862,0.15154360234737396,0.24604839086532593,0.36594346165657043,0.2048630565404892
to,0.42656609416007996,0.17764629423618317,0.5436353087425232,0.23495057225227356,0.48971283435821533,0.2115597426891327,0.5461788773536682,0.3682668209075928,0.29463258385658264
be,0.3371641933917999,0.17532077431678772,0.6036020517349243,0.2283020317554474,0.41766801476478577,0.2143908590078354,0.4791525900363922,0.41983482241630554,0.3324260413646698
the,0.3733934462070465,0.27493247389793396,0.5473989248275757,0.18611927330493927,0.5171257257461548,0.21345196664333344,0.35393214225769043,0.29944878816604614,0.22068053483963013
speed,0.14901922643184662,0.09252078086137772,0.28472527861595154,0.32214751839637756,0.23429381847381592,0.22938251495361328,0.25083285570144653,0.2773875594139099,0.17392314970493317
of,0.2827862501144409,0.22074753046035767,0.41498205065727234,0.16237565875053406,0.5116966962814331,0.17329032719135284,0.29043012857437134,0.3042002022266388,0.1826142966747284
light,0.16200783848762512,0.14684414863586426,0.28159382939338684,0.3345552980899811,0.20458035171031952,0.35745757818222046,0.22770962119102478,0.3095283508300781,0.17429810762405396
.,0.3541337847709656,0.23523737490177155,0.4460422694683075,0.1884709596633911,0.588965117931366,0.23612159490585327,0.3200591504573822,0.3358660340309143,0.4130953550338745
,who,discovered,that,magnetic,and,electric,could,self-generate,?
the,0.3733934462070465,0.27493247389793396,0.5473989248275757,0.18611927330493927,0.5171257257461548,0.21345196664333344,0.35393214225769043,0.29944878816604614,0.22068053483963013
origin,0.12741360068321228,0.1823340803384781,0.20789451897144318,0.14061827957630157,0.18243800103664398,0.1153140664100647,0.0943186804652214,0.15757423639297485,0.12716172635555267
