,how,many,combinatory,and,graph,theoretical,problems,",",formerly,believed,to,be,plagued,by,intractability,",",did,karp,'s,paper,address,?
in,0.2601168751716614,0.41474202275276184,0.25214889645576477,0.4954058527946472,0.19268742203712463,0.20558910071849823,0.21061907708644867,0.5201468467712402,0.25645580887794495,0.2605416774749756,0.45010748505592346,0.3481820821762085,0.22948788106441498,0.370934396982193,0.25368472933769226,0.5201468467712402,0.2593238651752472,0.20719370245933533,-0.037580832839012146,0.18605142831802368,0.14338107407093048,0.20430970191955566
1972,-0.2524491846561432,-0.17429056763648987,-0.16112273931503296,-0.06165798008441925,-0.1553536206483841,-0.013636603951454163,-0.17045211791992188,0.08021809905767441,0.21056054532527924,-0.13316993415355682,-0.14972050487995148,-0.2441578507423401,-0.12416995316743851,0.017894208431243896,-0.19660192728042603,0.08021809905767441,-0.09581880271434784,0.21520763635635376,0.02745038829743862,-0.15037359297275543,-0.04179307073354721,-0.13323214650154114
",",0.22659391164779663,0.40610817074775696,0.3177691698074341,0.6633074283599854,0.21839329600334167,0.2542550563812256,0.2596952021121979,1.0000001192092896,0.2646653354167938,0.2386300414800644,0.44245919585227966,0.39254459738731384,0.2421235293149948,0.3680937886238098,0.22138279676437378,1.0000001192092896,0.3015086054801941,0.29179710149765015,-0.0016132977325469255,0.2304661124944687,0.20406076312065125,0.31091248989105225
richard,0.18155698478221893,0.1515733003616333,0.09380342811346054,0.22443673014640808,0.12857353687286377,0.18552404642105103,0.09825029969215393,0.27245110273361206,0.09621965140104294,0.1961302012205124,0.213526651263237,0.18182969093322754,0.16417035460472107,0.24423328042030334,0.1411009430885315,0.27245110273361206,0.17407897114753723,0.3194103240966797,-0.04731119051575661,0.08476490527391434,0.08720596134662628,0.15003317594528198
karp,0.13030864298343658,0.17003440856933594,0.10328038036823273,0.1801057755947113,0.20105551183223724,0.2802187502384186,0.17343546450138092,0.29179710149765015,0.15381567180156708,0.16304463148117065,0.16044999659061432,0.07166580110788345,0.043009284883737564,0.13249127566814423,0.20429852604866028,0.29179710149765015,0.08668145537376404,0.9999999403953552,0.06902683526277542,0.14044715464115143,0.1600838303565979,0.1731996238231659
took,0.1585291624069214,0.21439076960086823,0.0880766212940216,0.25750628113746643,0.0670277401804924,0.09748364239931107,0.18087635934352875,0.27655306458473206,0.1846788078546524,0.24615028500556946,0.24576251208782196,0.1791294366121292,0.23830753564834595,0.21169665455818176,0.09478617459535599,0.27655306458473206,0.42470768094062805,0.13818812370300293,0.06150028854608536,0.12125950306653976,0.10245237499475479,0.14109265804290771
this,0.45272302627563477,0.43532639741897583,0.2746337354183197,0.42353692650794983,0.25881490111351013,0.2301482856273651,0.33706656098365784,0.4316047728061676,0.15074919164180756,0.37208282947540283,0.5759071707725525,0.566177248954773,0.2378961145877838,0.38438332080841064,0.38391420245170593,0.4316047728061676,0.3609912693500519,0.1445239633321762,0.02106832154095173,0.24589014053344727,0.2721966505050659,0.3155723512172699
idea,0.4059104919433594,0.33048930764198303,0.2645598351955414,0.24201342463493347,0.318655401468277,0.3724832534790039,0.2970621585845947,0.22699743509292603,0.05575624108314514,0.44193151593208313,0.3542773127555847,0.3303828835487366,0.18655115365982056,0.2571745216846466,0.2969866394996643,0.22699743509292603,0.3689729869365692,0.1592569798231125,0.051183316856622696,0.23938614130020142,0.2357483059167862,0.2952161729335785
a,0.29312583804130554,0.2872205972671509,0.30969229340553284,0.3739250600337982,0.2952152192592621,0.252067893743515,0.21523453295230865,0.427140474319458,0.24537251889705658,0.2603382170200348,0.45503583550453186,0.39883795380592346,0.19989712536334991,0.32094135880470276,0.34386247396469116,0.427140474319458,0.2552328109741211,0.20327863097190857,0.04866964742541313,0.25947141647338867,0.18317347764968872,0.23916715383529663
leap,0.12756429612636566,0.16180475056171417,0.1859615594148636,0.12733018398284912,0.2181207239627838,0.2551819086074829,0.16035428643226624,0.1732567995786667,0.03900362551212311,0.144887775182724,0.15032772719860077,0.23039454221725464,0.1850508451461792,0.13891687989234924,0.25239449739456177,0.1732567995786667,0.13696521520614624,0.13991819322109222,0.044807128608226776,0.22389112412929535,0.08135051280260086,0.1516948640346527
