,where,was,dyrrachium,located,?
some,0.39480453729629517,0.21528802812099457,0.28320401906967163,0.1509244740009308,0.2562315762042999
time,0.3538551926612854,0.3641340136528015,0.20707513391971588,0.15642552077770233,0.27391523122787476
later,0.2942849397659302,0.5684447288513184,0.2834411561489105,0.15970122814178467,0.1417175978422165
",",0.3149496018886566,0.45456063747406006,0.3094370365142822,0.2678719460964203,0.31091248989105225
dyrrachium—one,0.27057433128356934,0.3380282521247864,0.9158774614334106,0.25110629200935364,0.2295476198196411
of,0.38066378235816956,0.4069072902202606,0.2948158383369446,0.32520920038223267,0.1826142966747284
the,0.5003893971443176,0.48711544275283813,0.2955700159072876,0.407527357339859,0.22068053483963013
most,0.3678402900695801,0.29933857917785645,0.27701547741889954,0.2271362692117691,0.2107497900724411
important,0.348819375038147,0.24924467504024506,0.24372000992298126,0.22419527173042297,0.17812499403953552
naval,0.1411137878894806,0.2173636257648468,0.2422933429479599,0.28231874108314514,0.12642952799797058
bases,0.2050655633211136,0.1596432775259018,0.2858406603336334,0.22144903242588043,0.06755278259515762
of,0.38066378235816956,0.4069072902202606,0.2948158383369446,0.32520920038223267,0.1826142966747284
the,0.5003893971443176,0.48711544275283813,0.2955700159072876,0.407527357339859,0.22068053483963013
adriatic—fell,0.25776147842407227,0.29821813106536865,0.43449825048446655,0.2900104522705078,0.16453640162944794
again,0.31516900658607483,0.35373377799987793,0.22663667798042297,0.10435155779123306,0.2679590880870819
to,0.47735077142715454,0.3636345863342285,0.2512475550174713,0.20850814878940582,0.29463258385658264
byzantine,0.13484741747379303,0.1656121164560318,0.3398158848285675,0.0508808009326458,0.21581105887889862
hands,0.2355087846517563,0.19852744042873383,0.21365690231323242,0.10843969881534576,0.18784376978874207
.,0.41390106081962585,0.40146201848983765,0.3321150243282318,0.28226932883262634,0.4130953550338745
