,what,area,of,brookhaven,is,still,known,for,its,high,levels,of,crime,?
another,0.4190070629119873,0.18496209383010864,0.38147079944610596,0.14287035167217255,0.41278526186943054,0.37523141503334045,0.21254785358905792,0.36770403385162354,0.3607913851737976,0.18663102388381958,0.19565601646900177,0.38147079944610596,0.20305036008358002,0.295511931180954
section,0.28602200746536255,0.2290077656507492,0.21215301752090454,0.16347508132457733,0.22237545251846313,0.2201879769563675,0.10096953809261322,0.24106808006763458,0.2583751082420349,0.15898896753787994,0.2300644963979721,0.21215301752090454,0.20624905824661255,0.2733710706233978
",",0.3087472915649414,0.2664283812046051,0.4946078956127167,0.3114986717700958,0.4691906273365021,0.35217106342315674,0.3604377806186676,0.4464869201183319,0.33157986402511597,0.27938312292099,0.2284579873085022,0.4946078956127167,0.21491537988185883,0.31091248989105225
brookhaven,0.15789231657981873,0.3143693506717682,0.2983463704586029,1.0000001192092896,0.2827872037887573,0.17885465919971466,0.18335938453674316,0.1941106915473938,0.23237410187721252,0.27625134587287903,0.1511814445257187,0.2983463704586029,0.15536774694919586,0.09852086007595062
",",0.3087472915649414,0.2664283812046051,0.4946078956127167,0.3114986717700958,0.4691906273365021,0.35217106342315674,0.3604377806186676,0.4464869201183319,0.33157986402511597,0.27938312292099,0.2284579873085022,0.4946078956127167,0.21491537988185883,0.31091248989105225
on,0.34226128458976746,0.20868615806102753,0.3966929316520691,0.23716631531715393,0.3635730445384979,0.317820280790329,0.19541868567466736,0.36199691891670227,0.34331920742988586,0.20843200385570526,0.1644611656665802,0.3966929316520691,0.19021403789520264,0.2714994251728058
the,0.42745697498321533,0.37834644317626953,0.733189046382904,0.3249432444572449,0.5823672413825989,0.40142056345939636,0.3624623417854309,0.4739971458911896,0.559237003326416,0.28034812211990356,0.286034494638443,0.733189046382904,0.2052120864391327,0.22068053483963013
southern,0.18679563701152802,0.3466261029243469,0.31933003664016724,0.2637902796268463,0.2419366091489792,0.19875141978263855,0.20228487253189087,0.14496514201164246,0.27002355456352234,0.15573836863040924,0.07378057390451431,0.31933003664016724,0.1743347942829132,0.11225555837154388
edge,0.2064312994480133,0.2466616928577423,0.2350095808506012,0.2935073673725128,0.27232471108436584,0.1479712426662445,0.11889874935150146,0.16210441291332245,0.2900329530239105,0.18540789186954498,0.1347445398569107,0.2350095808506012,0.10068616271018982,0.06842754781246185
of,0.33290785551071167,0.3409860134124756,1.0,0.2983463704586029,0.4854315221309662,0.3288819193840027,0.35814476013183594,0.4185989499092102,0.48690423369407654,0.2803038954734802,0.23668165504932404,1.0,0.21116793155670166,0.1826142966747284
the,0.42745697498321533,0.37834644317626953,0.733189046382904,0.3249432444572449,0.5823672413825989,0.40142056345939636,0.3624623417854309,0.4739971458911896,0.559237003326416,0.28034812211990356,0.286034494638443,0.733189046382904,0.2052120864391327,0.22068053483963013
