,what,did,the,finding,of,gold,in,victoria,cause,?
this,0.5489566326141357,0.3609912693500519,0.6274310946464539,0.31563496589660645,0.45148900151252747,0.18747787177562714,0.45205554366111755,0.15965570509433746,0.32622772455215454,0.3155723512172699
triggered,0.24654962122440338,0.1755320131778717,0.33065542578697205,0.26482999324798584,0.26025402545928955,0.10833235830068588,0.25171807408332825,0.08379136770963669,0.47272738814353943,0.19886964559555054
one,0.376489520072937,0.27659472823143005,0.5514441132545471,0.290819376707077,0.4999135136604309,0.16427479684352875,0.4129433035850525,0.1790081411600113,0.27383357286453247,0.2673267424106598
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.2712748050689697,1.0,0.2101457566022873,0.5696388483047485,0.2505437433719635,0.25979894399642944,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,1.0,0.2933822274208069,0.733189046382904,0.27136439085006714,0.6662389636039734,0.2204313427209854,0.2551237642765045,0.22068053483963013
largest,0.13463157415390015,0.12612280249595642,0.3757036626338959,0.10341240465641022,0.36650770902633667,0.14191289246082306,0.3017216920852661,0.1591697335243225,0.1276879906654358,0.12401245534420013
gold,0.15779642760753632,0.1811094880104065,0.27136439085006714,0.22982892394065857,0.2101457566022873,0.9999999403953552,0.21206732094287872,0.34557661414146423,0.051789790391922,0.11542754620313644
rushes,0.18120288848876953,0.1339694708585739,0.2114780694246292,0.2179097682237625,0.19191640615463257,0.3465365767478943,0.14608606696128845,0.2688341438770294,0.1990954875946045,0.12171503901481628
the,0.42745697498321533,0.34736719727516174,1.0,0.2933822274208069,0.733189046382904,0.27136439085006714,0.6662389636039734,0.2204313427209854,0.2551237642765045,0.22068053483963013
world,0.21669597923755646,0.1944720596075058,0.33604270219802856,0.12519757449626923,0.2828933000564575,0.23308293521404266,0.3038199245929718,0.17221683263778687,0.18670904636383057,0.17579582333564758
has,0.20338068902492523,0.2124989777803421,0.4177538752555847,0.20140112936496735,0.3909035325050354,0.180973082780838,0.4173259735107422,0.12203460186719894,0.20474109053611755,0.15994466841220856
ever,0.3486426770687103,0.3356092572212219,0.3474041819572449,0.21725869178771973,0.22901833057403564,0.2006746232509613,0.31014615297317505,0.1942465901374817,0.16524647176265717,0.3358461856842041
seen,0.3087027072906494,0.23731118440628052,0.3442007005214691,0.2432062178850174,0.28639769554138184,0.12366560101509094,0.28402701020240784,0.19816917181015015,0.2625821828842163,0.2567344307899475
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.2890409827232361,0.5352458953857422,0.22364865243434906,0.5591574311256409,0.23069117963314056,0.267557293176651,0.4130953550338745
