,gosforth,and,byker,are,the,largest,shopping,areas,of,what,type,?
outside,0.2395455539226532,0.31803378462791443,0.24952539801597595,0.30540841817855835,0.3879719078540802,0.2960847020149231,0.2765920162200928,0.37739065289497375,0.2973117530345917,0.3224688768386841,0.1506529003381729,0.14839068055152893
the,0.3921199142932892,0.5171257257461548,0.3554142713546753,0.40399202704429626,1.0,0.3757036626338959,0.2492470145225525,0.3311663568019867,0.733189046382904,0.42745697498321533,0.21819381415843964,0.22068053483963013
city,0.33258751034736633,0.2827445864677429,0.21234562993049622,0.19493703544139862,0.35769423842430115,0.3647192716598511,0.3393941819667816,0.294951468706131,0.32503411173820496,0.17493832111358643,0.1293686032295227,0.13423943519592285
centre,0.309845894575119,0.2848764955997467,0.16441994905471802,0.19250939786434174,0.32783594727516174,0.3420230448246002,0.39968249201774597,0.3123488128185272,0.2769378423690796,0.12324132025241852,0.14357152581214905,0.019365152344107628
",",0.3622725009918213,0.6633074283599854,0.37165433168411255,0.4062570035457611,0.4933079481124878,0.26626327633857727,0.22641058266162872,0.2789289653301239,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.31091248989105225
the,0.3921199142932892,0.5171257257461548,0.3554142713546753,0.40399202704429626,1.0,0.3757036626338959,0.2492470145225525,0.3311663568019867,0.733189046382904,0.42745697498321533,0.21819381415843964,0.22068053483963013
largest,0.2398155927658081,0.24602696299552917,0.19682757556438446,0.23992078006267548,0.3757036626338959,0.9999999403953552,0.2583876848220825,0.2572784125804901,0.36650770902633667,0.13463157415390015,0.21023376286029816,0.12401245534420013
suburban,0.3677366375923157,0.27674803137779236,0.19490784406661987,0.19766874611377716,0.18317672610282898,0.20595289766788483,0.40848901867866516,0.29475539922714233,0.21280841529369354,0.14185433089733124,0.1748240739107132,0.06536495685577393
shopping,0.3179396092891693,0.2656572759151459,0.1823248565196991,0.24068552255630493,0.2492470145225525,0.2583876848220825,1.0,0.33711370825767517,0.22668150067329407,0.128513902425766,0.08088680356740952,0.1303974688053131
areas,0.24542154371738434,0.40107932686805725,0.09567252546548843,0.4082777500152588,0.3311663568019867,0.2572784125804901,0.33711370825767517,0.9999999403953552,0.2803763747215271,0.23739881813526154,0.17178712785243988,0.1273590475320816
are,0.22861707210540771,0.48576638102531433,0.18468701839447021,1.0,0.40399202704429626,0.23992078006267548,0.24068552255630493,0.4082777500152588,0.39081433415412903,0.29724663496017456,0.24155041575431824,0.24591213464736938
gosforth,1.0,0.35468554496765137,0.3517538607120514,0.22861707210540771,0.3921199142932892,0.2398155927658081,0.3179396092891693,0.24542154371738434,0.38545116782188416,0.20700876414775848,0.1217886209487915,0.14388786256313324
and,0.35468554496765137,1.0,0.3950140178203583,0.48576638102531433,0.5171257257461548,0.24602696299552917,0.2656572759151459,0.40107932686805725,0.5116966962814331,0.31309178471565247,0.16898801922798157,0.20544172823429108
byker,0.3517538607120514,0.3950140178203583,1.0,0.18468701839447021,0.3554142713546753,0.19682757556438446,0.1823248565196991,0.09567252546548843,0.25766029953956604,0.2662010192871094,0.18351712822914124,0.2685128450393677
.,0.31453922390937805,0.588965117931366,0.37283483147621155,0.3452940285205841,0.5934505462646484,0.18871670961380005,0.20080310106277466,0.23760369420051575,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.4130953550338745
