,the,freedom,to,provide,services,under,tfeu,article,56,applies,to,who,?
the,1.0,0.24307598173618317,0.535392165184021,0.26373472809791565,0.2381475418806076,0.3348022699356079,0.23805710673332214,0.3329811692237854,-0.052201516926288605,0.2765985429286957,0.535392165184021,0.3733934462070465,0.22068053483963013
``,0.029072100296616554,0.06812628358602524,0.06720756739377975,0.00022361247101798654,-0.019812092185020447,-0.001388426753692329,0.18464727699756622,0.025853512808680534,0.00667616818100214,0.11053863912820816,0.06720756739377975,0.02397952415049076,0.0685480609536171
freedom,0.24307598173618317,1.0,0.24531033635139465,0.20942966639995575,0.23425203561782837,0.17074823379516602,0.22278697788715363,0.25260937213897705,-0.07670066505670547,0.14614437520503998,0.24531033635139465,0.23220430314540863,0.1626027375459671
to,0.535392165184021,0.24531033635139465,1.0,0.3479624092578888,0.27867045998573303,0.27177539467811584,0.144119530916214,0.361922025680542,0.0010534265311434865,0.3004893660545349,1.0,0.42656609416007996,0.29463258385658264
provide,0.26373472809791565,0.20942966639995575,0.3479624092578888,1.0,0.41313081979751587,0.22447693347930908,0.10368617624044418,0.291176438331604,-0.18226979672908783,0.40326210856437683,0.3479624092578888,0.2286112904548645,0.22704634070396423
services,0.2381475418806076,0.23425203561782837,0.27867045998573303,0.41313081979751587,1.0,0.16186471283435822,0.15979686379432678,0.191398486495018,-0.09118020534515381,0.26195839047431946,0.27867045998573303,0.24612601101398468,0.1328447163105011
'',0.041273195296525955,-0.051051508635282516,-0.009905828163027763,0.024159517139196396,-0.08203540742397308,0.07581566274166107,0.0001324573822785169,0.08483149111270905,-0.02310291863977909,0.049931351095438004,-0.009905828163027763,0.024401003494858742,0.018684765323996544
under,0.3348022699356079,0.17074823379516602,0.27177539467811584,0.22447693347930908,0.16186471283435822,0.9999999403953552,0.24365469813346863,0.18900622427463531,-0.06001536548137665,0.2631138265132904,0.27177539467811584,0.2962189018726349,0.18233340978622437
tfeu,0.23805710673332214,0.22278697788715363,0.144119530916214,0.10368617624044418,0.15979686379432678,0.24365469813346863,1.0,0.15887261927127838,0.10996931046247482,0.12824620306491852,0.144119530916214,0.15052913129329681,0.2193283885717392
article,0.3329811692237854,0.25260937213897705,0.361922025680542,0.291176438331604,0.191398486495018,0.18900622427463531,0.15887261927127838,0.9999999403953552,-0.07911805808544159,0.3349744379520416,0.361922025680542,0.2547345757484436,0.4948462247848511
56,-0.052201516926288605,-0.07670066505670547,0.0010534265311434865,-0.18226979672908783,-0.09118020534515381,-0.06001536548137665,0.10996931046247482,-0.07911805808544159,1.0,-0.10880190879106522,0.0010534265311434865,0.06909765303134918,0.054522641003131866
applies,0.2765985429286957,0.14614437520503998,0.3004893660545349,0.40326210856437683,0.26195839047431946,0.2631138265132904,0.12824620306491852,0.3349744379520416,-0.10880190879106522,1.0,0.3004893660545349,0.18239200115203857,0.3131009638309479
