,john,mayow,died,in,what,year,?
english,0.2619529068470001,0.20549607276916504,0.20556305348873138,0.19623121619224548,0.25060737133026123,0.19212706387043,0.23251567780971527
chemist,0.20747010409832,0.2756519019603729,0.26442891359329224,0.22143128514289856,0.1775139421224594,0.1459781974554062,0.14970816671848297
john,1.0000001192092896,0.23184731602668762,0.3071426451206207,0.22177861630916595,0.18237407505512238,0.13745838403701782,0.13162356615066528
mayow,0.23184731602668762,1.0,0.24865283071994781,0.29630300402641296,0.1763436645269394,0.21415258944034576,0.1919955462217331
(,0.21336311101913452,0.23541131615638733,0.18834897875785828,0.3087427020072937,0.2411840260028839,0.2556702494621277,0.40561532974243164
1641–1679,-0.021675512194633484,0.07227088510990143,0.04877571389079094,0.04550538212060928,0.00726746954023838,-0.055149711668491364,0.010923127643764019
),0.22096103429794312,0.2183610051870346,0.2021750956773758,0.3326910734176636,0.26259949803352356,0.24282371997833252,0.42300865054130554
refined,0.14146414399147034,0.1535143256187439,0.1598249077796936,0.2324686050415039,0.17683129012584686,0.10619474202394485,0.15091994404792786
this,0.1772448569536209,0.18337415158748627,0.133186936378479,0.45205554366111755,0.5489566326141357,0.24877788126468658,0.3155723512172699
work,0.1933109015226364,0.1086547002196312,0.19999957084655762,0.2753349542617798,0.3762225806713104,0.18683093786239624,0.2621155381202698
by,0.2502059042453766,0.2035512924194336,0.14783190190792084,0.370934396982193,0.2455483376979828,0.28805047273635864,0.17966607213020325
showing,0.13000836968421936,0.2067384123802185,0.11654970794916153,0.2822064757347107,0.2931436598300934,0.13011778891086578,0.23185425996780396
that,0.17830057442188263,0.17556115984916687,0.12470279633998871,0.435920387506485,0.6297725439071655,0.2826407253742218,0.32716336846351624
fire,0.09817898273468018,0.2511146366596222,0.1806696355342865,0.2514701783657074,0.19359004497528076,0.08601561188697815,0.14396874606609344
requires,0.09533398598432541,0.0844724252820015,0.06638775765895844,0.16126661002635956,0.24784088134765625,0.13965903222560883,0.26020103693008423
only,0.19376562535762787,0.2521412670612335,0.16236017644405365,0.42992329597473145,0.41415658593177795,0.2698895335197449,0.2767370045185089
a,0.20638683438301086,0.2520800232887268,0.19795529544353485,0.539380669593811,0.3320399522781372,0.29350247979164124,0.23916715383529663
part,0.10001262277364731,0.21830670535564423,0.12184571474790573,0.4499994218349457,0.3476244807243347,0.20301291346549988,0.08557961881160736
of,0.2407056987285614,0.29014331102371216,0.25637882947921753,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.1826142966747284
air,0.0848143994808197,0.17096176743507385,0.10647229105234146,0.22172939777374268,0.10361403971910477,0.15147104859352112,0.1491677612066269
that,0.17830057442188263,0.17556115984916687,0.12470279633998871,0.435920387506485,0.6297725439071655,0.2826407253742218,0.32716336846351624
he,0.24136601388454437,0.17773355543613434,0.39118778705596924,0.41690486669540405,0.3114890456199646,0.2827935814857483,0.2089974731206894
called,0.1628292202949524,0.15934953093528748,0.14291401207447052,0.40847352147102356,0.3235960602760315,0.15425430238246918,0.18963319063186646
spiritus,0.2583465576171875,0.2054755985736847,0.1999366730451584,0.207034170627594,0.2161986231803894,0.07320666313171387,0.18231043219566345
nitroaereus,0.24629861116409302,0.26818013191223145,0.19999462366104126,0.25901925563812256,0.2122950553894043,0.20012186467647552,0.17964670062065125
or,0.12893807888031006,0.17686307430267334,0.1073705404996872,0.3586423695087433,0.33867141604423523,0.21137036383152008,0.32389625906944275
just,0.2145569771528244,0.22525347769260406,0.19185510277748108,0.3910168707370758,0.5854880809783936,0.2434857338666916,0.4144178032875061
nitroaereus,0.24629861116409302,0.26818013191223145,0.19999462366104126,0.25901925563812256,0.2122950553894043,0.20012186467647552,0.17964670062065125
.,0.26428887248039246,0.3014738857746124,0.24093139171600342,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.4130953550338745
