,luther,went,to,bed,quoting,what,scripture,?
when,0.14516782760620117,0.262430876493454,0.5423505902290344,0.2097865641117096,0.29877710342407227,0.4700249433517456,0.14476755261421204,0.22841128706932068
he,0.2454872578382492,0.45040708780288696,0.385390967130661,0.16373376548290253,0.16537006199359894,0.3114890456199646,0.2521466314792633,0.2089974731206894
went,0.16118715703487396,1.0,0.33234721422195435,0.2605266869068146,0.10297436267137527,0.20164033770561218,0.1121940091252327,0.12109432369470596
to,0.18029534816741943,0.33234721422195435,1.0,0.2060098946094513,0.2308702915906906,0.455847829580307,0.26603201031684875,0.29463258385658264
his,0.27093374729156494,0.43009182810783386,0.3715193271636963,0.20073957741260529,0.2838018238544464,0.26976513862609863,0.27238911390304565,0.18075084686279297
bed,0.13618306815624237,0.2605266869068146,0.2060098946094513,1.0000001192092896,0.06850752234458923,0.2236354798078537,0.1302342712879181,0.21065229177474976
",",0.23255878686904907,0.29013195633888245,0.44245919585227966,0.23451334238052368,0.25883570313453674,0.3087472915649414,0.23545809090137482,0.31091248989105225
he,0.2454872578382492,0.45040708780288696,0.385390967130661,0.16373376548290253,0.16537006199359894,0.3114890456199646,0.2521466314792633,0.2089974731206894
prayed,0.2334999442100525,0.3077659606933594,0.23481838405132294,0.3473990857601166,0.2080894410610199,0.24004165828227997,0.4632008671760559,0.2041434496641159
",",0.23255878686904907,0.29013195633888245,0.44245919585227966,0.23451334238052368,0.25883570313453674,0.3087472915649414,0.23545809090137482,0.31091248989105225
``,-0.013964727520942688,-0.038044992834329605,0.06720756739377975,-0.007032835856080055,0.10011547803878784,0.008517155423760414,0.05851370096206665,0.0685480609536171
into,0.12939998507499695,0.24078738689422607,0.38810545206069946,0.30798786878585815,0.11624827235937119,0.2180619090795517,0.17396269738674164,0.15662476420402527
your,0.18342097103595734,0.17803102731704712,0.37835195660591125,0.19694286584854126,0.3490835428237915,0.4207797646522522,0.2263633906841278,0.41889458894729614
hand,0.11325366795063019,0.1221979558467865,0.29793334007263184,0.19190381467342377,0.27767351269721985,0.26703396439552307,0.24803967773914337,0.20656698942184448
i,0.232476145029068,0.20183412730693817,0.3140375316143036,0.185547336935997,0.3760301172733307,0.4411132335662842,0.27570435404777527,0.4695145785808563
commit,0.18480119109153748,0.19026990234851837,0.2989535629749298,0.15774232149124146,0.32613345980644226,0.31416571140289307,0.2248540073633194,0.25227099657058716
my,0.2192668318748474,0.21462716162204742,0.27499768137931824,0.25740960240364075,0.34602048993110657,0.3588488698005676,0.26440849900245667,0.4195883572101593
spirit,0.2489360272884369,0.13986851274967194,0.24216829240322113,0.11000770330429077,0.19623860716819763,0.21102753281593323,0.41720688343048096,0.18818747997283936
;,0.022799020633101463,0.015374010428786278,0.0979827418923378,-0.0407182015478611,-0.013710074126720428,0.10986888408660889,0.017600098624825478,0.10349778085947037
you,0.19897010922431946,0.2183675616979599,0.4194425344467163,0.2046724408864975,0.39638036489486694,0.5529524087905884,0.2699398994445801,0.5839095711708069
have,0.12011514604091644,0.21205243468284607,0.4544740617275238,0.18335023522377014,0.228309765458107,0.39808809757232666,0.22171877324581146,0.32991164922714233
redeemed,0.23865574598312378,0.18312425911426544,0.3275340497493744,0.16006459295749664,0.2707744538784027,0.2853025197982788,0.32824358344078064,0.19630032777786255
me,0.22058320045471191,0.22852210700511932,0.31108999252319336,0.24992090463638306,0.2802541255950928,0.3969229757785797,0.2638712525367737,0.4646095037460327
",",0.23255878686904907,0.29013195633888245,0.44245919585227966,0.23451334238052368,0.25883570313453674,0.3087472915649414,0.23545809090137482,0.31091248989105225
o,0.08386515825986862,0.16251668334007263,0.1644444614648819,0.1589123159646988,0.1737273633480072,0.1489914506673813,0.1577184945344925,0.23868927359580994
lord,0.16014143824577332,0.15714557468891144,0.23884858191013336,0.11418594419956207,0.23528175055980682,0.15077504515647888,0.29621878266334534,0.09544310718774796
",",0.23255878686904907,0.29013195633888245,0.44245919585227966,0.23451334238052368,0.25883570313453674,0.3087472915649414,0.23545809090137482,0.31091248989105225
faithful,0.18234683573246002,0.10191124677658081,0.21513666212558746,0.17564061284065247,0.18425172567367554,0.17146815359592438,0.3845685124397278,0.1775338351726532
god,0.2238161414861679,0.1946125626564026,0.2408517301082611,0.15840111672878265,0.32457542419433594,0.3127830922603607,0.5421637892723083,0.23396754264831543
'',-0.04572787508368492,-0.02893640846014023,-0.009905828163027763,-0.03983185440301895,0.018487505614757538,0.08143015950918198,0.06229078024625778,0.018684765323996544
(,0.1677781045436859,0.18902330100536346,0.30882009863853455,0.15588128566741943,0.15759509801864624,0.2411840260028839,0.16235774755477905,0.40561532974243164
ps,0.09332650154829025,0.08805962651968002,0.15377409756183624,-0.0033845817670226097,0.19124649465084076,0.22756460309028625,0.13692571222782135,0.21484322845935822
.,0.24907569587230682,0.27773603796958923,0.4645031690597534,0.2169707864522934,0.29147180914878845,0.3567904531955719,0.22833825647830963,0.4130953550338745
