,when,did,france,and,the,dutch,fight,in,the,17th,century,?
stadtholder,0.288896769285202,0.20147615671157837,0.4038897752761841,0.3648768961429596,0.34750092029571533,0.4006250500679016,0.19645676016807556,0.32683080434799194,0.34750092029571533,0.22026002407073975,0.25582000613212585,0.19014941155910492
william,0.22232958674430847,0.24349860846996307,0.23012599349021912,0.2535148561000824,0.21537061035633087,0.2614935338497162,0.17416267096996307,0.21605195105075836,0.21537061035633087,0.12733244895935059,0.22814761102199554,0.14462219178676605
iii,0.20814812183380127,0.13783781230449677,0.2149362415075302,0.21456755697727203,0.18552400171756744,0.080861896276474,0.15990373492240906,0.17050711810588837,0.18552400171756744,0.0563184879720211,0.1508300006389618,0.13642357289791107
of,0.3757161796092987,0.2513895630836487,0.3265724182128906,0.5116966962814331,0.733189046382904,0.14408773183822632,0.20101141929626465,0.5696388483047485,0.733189046382904,0.19377021491527557,0.2826060354709625,0.1826142966747284
orange,0.23840633034706116,0.10191533714532852,0.22011199593544006,0.2314995527267456,0.20814983546733856,0.25046515464782715,0.10863903909921646,0.20098833739757538,0.20814983546733856,0.14619453251361847,0.11310932785272598,0.1066059097647667
",",0.36674630641937256,0.3015086054801941,0.28250643610954285,0.6633074283599854,0.4933079481124878,0.23674406111240387,0.23247352242469788,0.5201468467712402,0.4933079481124878,0.20329853892326355,0.24487493932247162,0.31091248989105225
who,0.48282691836357117,0.34038686752319336,0.18489117920398712,0.41279885172843933,0.3733934462070465,0.25214898586273193,0.3589325249195099,0.2792111933231354,0.3733934462070465,0.0544084869325161,0.2990973889827728,0.26220351457595825
later,0.4627884030342102,0.38386887311935425,0.2381858229637146,0.4216292202472687,0.4060266613960266,0.13917775452136993,0.26993122696876526,0.40857815742492676,0.4060266613960266,0.11907929182052612,0.3003331124782562,0.1417175978422165
became,0.32363733649253845,0.3632316589355469,0.25010883808135986,0.31226563453674316,0.36325156688690186,0.16251371800899506,0.2001582235097885,0.31047213077545166,0.36325156688690186,0.16971589624881744,0.3329561948776245,0.11374033987522125
king,0.18628188967704773,0.24472618103027344,0.30626484751701355,0.24642229080200195,0.25887003540992737,0.11170704662799835,0.25867244601249695,0.2044914960861206,0.25887003540992737,0.10495393723249435,0.2142265886068344,0.19130074977874756
