,what,can,significantly,contribute,to,the,continuing,inequality,in,a,society,over,time,?
over,0.28007611632347107,0.3160167336463928,0.34609657526016235,0.25798726081848145,0.38635820150375366,0.39856547117233276,0.307489275932312,0.1680821031332016,0.3605569899082184,0.32199642062187195,0.15023238956928253,1.0,0.35431456565856934,0.25742942094802856
time,0.36319252848625183,0.2720869183540344,0.26165956258773804,0.23020470142364502,0.3679993152618408,0.43061500787734985,0.31268948316574097,0.20081466436386108,0.3431483507156372,0.3292340338230133,0.14587067067623138,0.35431456565856934,0.9999998807907104,0.27391523122787476
",",0.3087472915649414,0.3139454126358032,0.2567187249660492,0.24528558552265167,0.44245919585227966,0.4933079481124878,0.2649478614330292,0.21822890639305115,0.5201468467712402,0.427140474319458,0.20629194378852844,0.3301127254962921,0.3029961884021759,0.31091248989105225
wealth,0.2415573000907898,0.13289016485214233,0.3598358929157257,0.256571501493454,0.30562296509742737,0.24999672174453735,0.1952744722366333,0.41812294721603394,0.1835664063692093,0.20101723074913025,0.28868359327316284,0.18534822762012482,0.19325654208660126,0.1624586433172226
condensation,0.35199809074401855,0.3388819396495819,0.30545711517333984,0.29720765352249146,0.22154654562473297,0.2406906932592392,0.2593192160129547,0.34379860758781433,0.2134447544813156,0.24894307553768158,0.1683277189731598,0.1519802361726761,0.19500835239887238,0.23542380332946777
can,0.34502777457237244,1.0,0.2857820391654968,0.31452885270118713,0.4979398250579834,0.312528520822525,0.2130296677350998,0.2628359794616699,0.26527702808380127,0.3915780484676361,0.1367422491312027,0.3160167336463928,0.2720869183540344,0.3226337134838104
significantly,0.2746123671531677,0.2857820391654968,1.0,0.40781354904174805,0.33877497911453247,0.3313288986682892,0.327188104391098,0.3286304771900177,0.26986899971961975,0.2518039345741272,0.193131223320961,0.34609657526016235,0.26165956258773804,0.1823679804801941
contribute,0.3643682897090912,0.31452885270118713,0.40781354904174805,1.0,0.36610767245292664,0.21503010392189026,0.3702656626701355,0.2715924382209778,0.2068682163953781,0.25255072116851807,0.2435699999332428,0.25798726081848145,0.23020470142364502,0.34182009100914
to,0.455847829580307,0.4979398250579834,0.33877497911453247,0.36610767245292664,1.0,0.535392165184021,0.35663074254989624,0.24361056089401245,0.45010748505592346,0.45503583550453186,0.20199917256832123,0.38635820150375366,0.3679993152618408,0.29463258385658264
the,0.42745697498321533,0.312528520822525,0.3313288986682892,0.21503010392189026,0.535392165184021,1.0,0.32997485995292664,0.23508106172084808,0.6662389636039734,0.5829201340675354,0.2789285480976105,0.39856547117233276,0.43061500787734985,0.22068053483963013
persistence,0.2871797978878021,0.26759129762649536,0.3614891469478607,0.3323882222175598,0.32613539695739746,0.2707046866416931,0.3388054370880127,0.3282982110977173,0.2869342267513275,0.24452553689479828,0.23895715177059174,0.2811751365661621,0.2871142625808716,0.17472824454307556
of,0.33290785551071167,0.2603091299533844,0.2703875005245209,0.22662346065044403,0.41548454761505127,0.733189046382904,0.267429918050766,0.27910974621772766,0.5696388483047485,0.5052502155303955,0.23646748065948486,0.36136594414711,0.35127586126327515,0.1826142966747284
inequality,0.30072227120399475,0.2628359794616699,0.3286304771900177,0.2715924382209778,0.24361056089401245,0.23508106172084808,0.2302648425102234,1.0000001192092896,0.19402410089969635,0.1783585250377655,0.3808777630329132,0.1680821031332016,0.20081466436386108,0.23619021475315094
within,0.2498195916414261,0.27913734316825867,0.3246789574623108,0.22229795157909393,0.34980177879333496,0.39827480912208557,0.21619650721549988,0.1734551042318344,0.40576374530792236,0.3858051896095276,0.16676686704158783,0.4296438694000244,0.2541442811489105,0.1870293766260147
society,0.23231269419193268,0.1367422491312027,0.193131223320961,0.2435699999332428,0.20199917256832123,0.2789285480976105,0.2262944132089615,0.3808777630329132,0.21229879558086395,0.22652459144592285,0.9999998807907104,0.15023238956928253,0.14587067067623138,0.1373005360364914
.,0.3567904531955719,0.35783761739730835,0.2705872356891632,0.26095086336135864,0.4645031690597534,0.5934505462646484,0.2534523010253906,0.22563500702381134,0.5591574311256409,0.50484299659729,0.18022798001766205,0.37877383828163147,0.371569961309433,0.4130953550338745
