,where,is,the,sculpture,gallery,now,located,?
the,0.5003893971443176,0.5823672413825989,1.0,0.23690329492092133,0.19251246750354767,0.38266420364379883,0.407527357339859,0.22068053483963013
final,0.24793905019760132,0.1859603077173233,0.3543182611465454,0.1307205855846405,0.12286700308322906,0.14394517242908478,0.15166112780570984,0.17315025627613068
part,0.3328706920146942,0.4582172930240631,0.527681291103363,0.17495131492614746,0.1516404151916504,0.3561477065086365,0.3639143705368042,0.08557961881160736
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2746802270412445,0.1971534639596939,0.29182544350624084,0.32520920038223267,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,1.0,0.23690329492092133,0.19251246750354767,0.38266420364379883,0.407527357339859,0.22068053483963013
museum,0.17054861783981323,0.18299639225006104,0.24861779808998108,0.405792236328125,0.5823723077774048,0.2699044942855835,0.35259270668029785,0.14128351211547852
designed,0.1850132942199707,0.18406619131565094,0.2559613883495331,0.30310794711112976,0.2330966591835022,0.15242038667201996,0.29085591435432434,0.11213942617177963
by,0.2641284465789795,0.3899846076965332,0.4408751428127289,0.17374664545059204,0.17317011952400208,0.20949482917785645,0.18208515644073486,0.17966607213020325
scott,0.13621605932712555,0.16574665904045105,0.20135091245174408,0.06181676313281059,0.11257454752922058,0.11281798779964447,0.10902334749698639,0.0875725969672203
was,0.20731619000434875,0.5810302495956421,0.48711544275283813,0.23845447599887848,0.1648058146238327,0.35876134037971497,0.20133289694786072,0.18412111699581146
the,0.5003893971443176,0.5823672413825989,1.0,0.23690329492092133,0.19251246750354767,0.38266420364379883,0.407527357339859,0.22068053483963013
art,0.22415512800216675,0.17386884987354279,0.20297785103321075,0.4837363064289093,0.5883238911628723,0.2104385942220688,0.2105845957994461,0.138971745967865
library,0.18627896904945374,0.16916222870349884,0.19920319318771362,0.22072550654411316,0.409045934677124,0.18886792659759521,0.24494381248950958,0.18938742578029633
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.2538686692714691,0.20957361161708832,0.35309651494026184,0.24183952808380127,0.20544172823429108
what,0.4457937180995941,0.28837618231773376,0.42745697498321533,0.16644549369812012,0.1566055566072464,0.4903225302696228,0.2034616470336914,0.5051238536834717
is,0.3586711287498474,1.0,0.5823672413825989,0.20341666042804718,0.15374112129211426,0.39589470624923706,0.35717159509658813,0.22961433231830597
now,0.3524799346923828,0.39589470624923706,0.38266420364379883,0.24611879885196686,0.28330492973327637,1.0,0.2931715250015259,0.29641881585121155
the,0.5003893971443176,0.5823672413825989,1.0,0.23690329492092133,0.19251246750354767,0.38266420364379883,0.407527357339859,0.22068053483963013
sculpture,0.16896508634090424,0.20341666042804718,0.23690329492092133,1.0,0.47963690757751465,0.24611879885196686,0.18934406340122223,0.1571214497089386
gallery,0.26203465461730957,0.15374112129211426,0.19251246750354767,0.47963690757751465,1.0,0.28330492973327637,0.2896844148635864,0.18202216923236847
on,0.37630224227905273,0.3635730445384979,0.5107308030128479,0.1800938993692398,0.1865847259759903,0.2978019714355469,0.22447186708450317,0.2714994251728058
the,0.5003893971443176,0.5823672413825989,1.0,0.23690329492092133,0.19251246750354767,0.38266420364379883,0.407527357339859,0.22068053483963013
south,0.2539864182472229,0.27680471539497375,0.3129390776157379,0.15146030485630035,0.23533469438552856,0.2433614879846573,0.3639508783817291,0.12336621433496475
side,0.28958743810653687,0.27624061703681946,0.37146830558776855,0.24150347709655762,0.16541898250579834,0.23929554224014282,0.27094948291778564,0.07831130921840668
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2746802270412445,0.1971534639596939,0.29182544350624084,0.32520920038223267,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,1.0,0.23690329492092133,0.19251246750354767,0.38266420364379883,0.407527357339859,0.22068053483963013
garden,0.26349467039108276,0.21094022691249847,0.23359008133411407,0.361750990152359,0.2862474322319031,0.2744538486003876,0.21828338503837585,0.16720405220985413
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.2533513307571411,0.21593497693538666,0.43216821551322937,0.2678719460964203,0.31091248989105225
built,0.23154333233833313,0.17778918147087097,0.2950156033039093,0.2784413993358612,0.2242659628391266,0.27062228322029114,0.4264238178730011,0.09449632465839386
1877–83,-0.01809639483690262,0.12648484110832214,0.15344758331775665,0.006624577101320028,-0.06992702186107635,0.1170414462685585,-0.045256949961185455,-0.009284998290240765
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.2533513307571411,0.21593497693538666,0.43216821551322937,0.2678719460964203,0.31091248989105225
the,0.5003893971443176,0.5823672413825989,1.0,0.23690329492092133,0.19251246750354767,0.38266420364379883,0.407527357339859,0.22068053483963013
