,which,region,began,to,grow,and,assert,itself,in,the,2000s,?
despite,0.2826302945613861,0.17504464089870453,0.22879506647586823,0.3584847152233124,0.15511462092399597,0.3150249719619751,0.286880761384964,0.2674754858016968,0.27473363280296326,0.3172689974308014,-0.05834350734949112,0.14350546896457672
a,0.56894451379776,0.23209655284881592,0.21651826798915863,0.45503583550453186,0.20655770599842072,0.3739250600337982,0.2325790673494339,0.4065200984477997,0.539380669593811,0.5829201340675354,-0.136931911110878,0.23916715383529663
reputation,0.22934506833553314,0.12769608199596405,0.19290262460708618,0.20996540784835815,0.24957941472530365,0.31531646847724915,0.32341378927230835,0.21542446315288544,0.22389911115169525,0.21946515142917633,-0.027581097558140755,0.14395901560783386
for,0.44095608592033386,0.17531010508537292,0.29047009348869324,0.4451248347759247,0.16215160489082336,0.5064792633056641,0.21552710235118866,0.25750136375427246,0.4322226941585541,0.4739971458911896,-0.05370233207941055,0.264628142118454
high,0.25426656007766724,0.1441345512866974,0.16219505667686462,0.28947713971138,0.1961868703365326,0.2911888659000397,0.08453281968832016,0.10990240424871445,0.2652597725391388,0.28034812211990356,-0.21220660209655762,0.11137914657592773
growth,0.32359230518341064,0.24799306690692902,0.1783747375011444,0.2701800763607025,0.5955879092216492,0.2731747627258301,0.14097894728183746,0.2941119074821472,0.2819603681564331,0.2912366986274719,-0.22589996457099915,0.07547862827777863
rates,0.2883399426937103,0.14390669763088226,0.1869974285364151,0.25232431292533875,0.28823181986808777,0.2589600086212158,0.07508044689893723,0.20556892454624176,0.26258307695388794,0.25867342948913574,-0.2511006295681,0.13808594644069672
",",0.3658004403114319,0.2119160145521164,0.2705576717853546,0.44245919585227966,0.2585790455341339,0.6633074283599854,0.26157647371292114,0.2783147692680359,0.5201468467712402,0.4933079481124878,-0.06334228068590164,0.31091248989105225
southern,0.2648681700229645,0.35965695977211,0.17424459755420685,0.18284058570861816,0.1910911202430725,0.24232792854309082,0.14201557636260986,0.21648231148719788,0.3190481662750244,0.3282862603664398,-0.2680957317352295,0.11225555837154388
california,0.17128102481365204,0.1643783003091812,0.21062003076076508,0.20697450637817383,0.16782519221305847,0.2441616654396057,0.09805753082036972,0.04597806558012962,0.2772824168205261,0.2750805914402008,-0.24802160263061523,0.1409905105829239
's,0.03856118768453598,-0.058744437992572784,-0.026281554251909256,0.03782717138528824,0.00018041566363535821,0.06895173341035843,-0.032651059329509735,-0.024358876049518585,-0.037580832839012146,-0.01540423184633255,-0.03648130223155022,-0.023395681753754616
rate,0.26058194041252136,0.17679987847805023,0.14761126041412354,0.28584644198417664,0.28342097997665405,0.17405889928340912,0.07162727415561676,0.20732742547988892,0.24951417744159698,0.24881242215633392,-0.12854142487049103,0.1308269053697586
grew,0.13216321170330048,0.18740615248680115,0.45069846510887146,0.20424646139144897,0.4499439299106598,0.315117746591568,0.11148951202630997,0.09589803963899612,0.2749199867248535,0.226883202791214,-0.2608296871185303,0.05505307391285896
less,0.41259074211120605,0.18700850009918213,0.17331668734550476,0.38397523760795593,0.31915611028671265,0.35327455401420593,0.19099284708499908,0.32351744174957275,0.2661931812763214,0.29185041785240173,-0.10955990850925446,0.22418740391731262
than,0.3974681496620178,0.1909969598054886,0.15519283711910248,0.3192550539970398,0.3003598749637604,0.39361441135406494,0.18170982599258423,0.2803569436073303,0.3270052373409271,0.3227543234825134,-0.08803437650203705,0.24917294085025787
the,0.6521818041801453,0.35020557045936584,0.3059147596359253,0.535392165184021,0.2652076482772827,0.5171257257461548,0.19907058775424957,0.45971640944480896,0.6662389636039734,1.0,-0.21699295938014984,0.22068053483963013
state,0.27248382568359375,0.29261645674705505,0.04875394329428673,0.25557461380958557,0.16483108699321747,0.2653750479221344,0.22267819941043854,0.2505201995372772,0.33316072821617126,0.3097178041934967,-0.20244050025939941,0.1160883978009224
