,can,bskyb,veto,the,presence,of,channels,on,their,epg,?
bskyb,0.1512226015329361,1.0000001192092896,0.13764001429080963,0.20915858447551727,0.054540544748306274,0.16413870453834534,0.1449941098690033,0.13935911655426025,0.12142784148454666,0.40907707810401917,0.2979319989681244
has,0.4103628396987915,0.16187067329883575,0.1586616188287735,0.4177538752555847,0.24195559322834015,0.3909035325050354,0.2256690114736557,0.34604379534721375,0.2814009487628937,0.17050117254257202,0.15994466841220856
no,0.2225070297718048,0.22499801218509674,0.21423223614692688,0.3461136817932129,0.19093577563762665,0.24809792637825012,0.10853109508752823,0.3244728446006775,0.25597304105758667,0.1921217143535614,0.32165053486824036
veto,0.21468333899974823,0.13764001429080963,1.0000001192092896,0.25482627749443054,0.1557690054178238,0.21431931853294373,0.1325603872537613,0.1918436735868454,0.1481872946023941,0.16119660437107086,0.2314452826976776
over,0.3160167336463928,0.1823693960905075,0.2624781131744385,0.39856547117233276,0.21474242210388184,0.36136594414711,0.26147398352622986,0.39810362458229065,0.3300269544124603,0.19078794121742249,0.25742942094802856
the,0.312528520822525,0.20915858447551727,0.25482627749443054,1.0,0.34114351868629456,0.733189046382904,0.27277594804763794,0.5107308030128479,0.516537070274353,0.29304635524749756,0.22068053483963013
presence,0.22971411049365997,0.054540544748306274,0.1557690054178238,0.34114351868629456,0.9999999403953552,0.2917717397212982,0.29843175411224365,0.1940135806798935,0.29482147097587585,0.06729632616043091,0.08592845499515533
of,0.2603091299533844,0.16413870453834534,0.21431931853294373,0.733189046382904,0.2917717397212982,1.0,0.17560617625713348,0.3966929316520691,0.4329940676689148,0.29333218932151794,0.1826142966747284
channels,0.2696319818496704,0.1449941098690033,0.1325603872537613,0.27277594804763794,0.29843175411224365,0.17560617625713348,1.0,0.3108726739883423,0.26712271571159363,0.2036742866039276,0.19657258689403534
on,0.2772369682788849,0.13935911655426025,0.1918436735868454,0.5107308030128479,0.1940135806798935,0.3966929316520691,0.3108726739883423,0.9999999403953552,0.3598666191101074,0.22145158052444458,0.2714994251728058
their,0.3564860224723816,0.12142784148454666,0.1481872946023941,0.516537070274353,0.29482147097587585,0.4329940676689148,0.26712271571159363,0.3598666191101074,1.0,0.207724928855896,0.1898253709077835
epg,0.18690373003482819,0.40907707810401917,0.16119660437107086,0.29304635524749756,0.06729632616043091,0.29333218932151794,0.2036742866039276,0.22145158052444458,0.207724928855896,0.9999998807907104,0.23839257657527924
