,what,article,was,published,in,1937,?
for,0.3017193675041199,0.31357312202453613,0.3863949179649353,0.21304498612880707,0.4322226941585541,-0.015632741153240204,0.264628142118454
example,0.3456268310546875,0.32476943731307983,0.16563157737255096,0.14378780126571655,0.30483278632164,-0.0268170814961195,0.30374911427497864
",",0.3087472915649414,0.28605279326438904,0.45456063747406006,0.2937801778316498,0.5201468467712402,-0.03417341411113739,0.31091248989105225
in,0.30808621644973755,0.26153311133384705,0.45514053106307983,0.26697060465812683,1.0,0.023682521656155586,0.20430970191955566
his,0.26976513862609863,0.21151746809482574,0.4405253231525421,0.2540745139122009,0.3598145842552185,-0.1270657628774643,0.18075084686279297
article,0.40514686703681946,0.9999999403953552,0.26395970582962036,0.2783300280570984,0.26153311133384705,-0.05696861818432808,0.4948462247848511
",",0.3087472915649414,0.28605279326438904,0.45456063747406006,0.2937801778316498,0.5201468467712402,-0.03417341411113739,0.31091248989105225
``,0.008517155423760414,0.025853512808680534,-0.012679691426455975,-0.08193813264369965,0.04765888676047325,-0.0321669727563858,0.0685480609536171
a,0.3320399522781372,0.30913418531417847,0.4508470594882965,0.1993555724620819,0.539380669593811,0.037467315793037415,0.23916715383529663
machine,0.23075932264328003,0.18544286489486694,0.1741330921649933,0.1646963655948639,0.16716814041137695,-0.1330629140138626,0.17587624490261078
to,0.455847829580307,0.361922025680542,0.3636345863342285,0.12403073906898499,0.45010748505592346,0.03751426562666893,0.29463258385658264
end,0.29234179854393005,0.19389115273952484,0.19220198690891266,0.10736575722694397,0.28539085388183594,0.014299172908067703,0.12543344497680664
war,0.22516006231307983,0.1842338740825653,0.3560331463813782,0.19933663308620453,0.29904094338417053,-0.1127263605594635,0.15510529279708862
'',0.08143015950918198,0.08483149111270905,0.04456103965640068,0.013779557310044765,0.07432962208986282,0.012425635941326618,0.018684765323996544
",",0.3087472915649414,0.28605279326438904,0.45456063747406006,0.2937801778316498,0.5201468467712402,-0.03417341411113739,0.31091248989105225
published,0.20457668602466583,0.2783300280570984,0.2896443009376526,1.0,0.26697060465812683,-0.13876032829284668,0.16280238330364227
in,0.30808621644973755,0.26153311133384705,0.45514053106307983,0.26697060465812683,1.0,0.023682521656155586,0.20430970191955566
1937,0.005233327392488718,-0.05696861818432808,-0.011258510872721672,-0.13876032829284668,0.023682521656155586,1.0,-0.06511971354484558
",",0.3087472915649414,0.28605279326438904,0.45456063747406006,0.2937801778316498,0.5201468467712402,-0.03417341411113739,0.31091248989105225
tesla,0.23221199214458466,0.14590303599834442,0.16455206274986267,0.16719935834407806,0.17097744345664978,0.009204071946442127,0.10250775516033173
stated,0.3668954074382782,0.3551636338233948,0.33307945728302,0.3242749869823456,0.24313503503799438,-0.004591324366629124,0.24280361831188202
:,-0.12022944539785385,-0.03723052144050598,0.002802103292196989,-0.09712497889995575,0.020521078258752823,-0.13044823706150055,-0.07156077772378922
