,what,are,the,independant,components,of,a,vector,sum,that,has,been,determined,by,scalar,addition,of,individual,vectors,?
this,0.5489566326141357,0.35762670636177063,0.6274310946464539,0.3123442232608795,0.2803274393081665,0.45148900151252747,0.5422310829162598,0.2724974751472473,0.31428536772727966,0.6909449696540833,0.4198763072490692,0.3736515939235687,0.3173256814479828,0.38438332080841064,0.2848441004753113,0.3263668715953827,0.45148900151252747,0.38206401467323303,0.2686469554901123,0.3155723512172699
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.2756432294845581,0.2754068970680237,0.4854315221309662,0.658733606338501,0.19711346924304962,0.22143769264221191,0.3995479643344879,0.5668748617172241,0.39566612243652344,0.2253464162349701,0.3899846076965332,0.24429894983768463,0.2727152407169342,0.4854315221309662,0.21069909632205963,0.16611944139003754,0.22961433231830597
because,0.46729007363319397,0.43093472719192505,0.44596394896507263,0.18499135971069336,0.26232215762138367,0.4075504541397095,0.42230045795440674,0.19049105048179626,0.22002071142196655,0.6503599286079407,0.42872220277786255,0.41672849655151367,0.35330453515052795,0.3562704622745514,0.21398060023784637,0.31840771436691284,0.4075504541397095,0.28853318095207214,0.2018282413482666,0.2528740465641022
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.29672470688819885,0.20591874420642853,0.4946078956127167,0.427140474319458,0.2533281445503235,0.2446640431880951,0.4137537479400635,0.3734780251979828,0.34873589873313904,0.20723886787891388,0.3680937886238098,0.22868604958057404,0.3040202856063843,0.4946078956127167,0.20963770151138306,0.2269035130739212,0.31091248989105225
for,0.3017193675041199,0.3895993232727051,0.4739971458911896,0.2657637894153595,0.2518349289894104,0.4185989499092102,0.44038116931915283,0.2359936386346817,0.2368583381175995,0.4137635827064514,0.450642853975296,0.39068686962127686,0.26595234870910645,0.3248702883720398,0.24665257334709167,0.39286839962005615,0.4185989499092102,0.33574938774108887,0.20348060131072998,0.264628142118454
orthogonal,0.247252956032753,0.3226485252380371,0.3036268651485443,0.28560224175453186,0.37270644307136536,0.32633453607559204,0.34540653228759766,0.4569174349308014,0.34150251746177673,0.2746049165725708,0.2103842943906784,0.1360744833946228,0.30903640389442444,0.1430578976869583,0.5158498883247375,0.2754955589771271,0.32633453607559204,0.2768877446651459,0.4757031798362732,0.16566871106624603
components,0.20314843952655792,0.3832094073295593,0.30344057083129883,0.2822103500366211,0.9999998807907104,0.28973057866096497,0.2595725357532501,0.29788246750831604,0.29798486828804016,0.2997816801071167,0.1849556714296341,0.2144749015569687,0.2965458333492279,0.19633713364601135,0.45893433690071106,0.3139439821243286,0.28973057866096497,0.37411701679229736,0.39581382274627686,0.12744711339473724
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.29672470688819885,0.20591874420642853,0.4946078956127167,0.427140474319458,0.2533281445503235,0.2446640431880951,0.4137537479400635,0.3734780251979828,0.34873589873313904,0.20723886787891388,0.3680937886238098,0.22868604958057404,0.3040202856063843,0.4946078956127167,0.20963770151138306,0.2269035130739212,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,1.0,0.33178985118865967,0.30344057083129883,0.733189046382904,0.5829201340675354,0.18854442238807678,0.1759771853685379,0.5473989248275757,0.4177538752555847,0.3563927710056305,0.3632190227508545,0.4408751428127289,0.20701980590820312,0.32955414056777954,0.733189046382904,0.3706541955471039,0.22462749481201172,0.22068053483963013
components,0.20314843952655792,0.3832094073295593,0.30344057083129883,0.2822103500366211,0.9999998807907104,0.28973057866096497,0.2595725357532501,0.29788246750831604,0.29798486828804016,0.2997816801071167,0.1849556714296341,0.2144749015569687,0.2965458333492279,0.19633713364601135,0.45893433690071106,0.3139439821243286,0.28973057866096497,0.37411701679229736,0.39581382274627686,0.12744711339473724
