,what,was,the,technical,name,of,the,first,unmanned,saturn,v,flight,",",apollo,4,?
the,0.42745697498321533,0.48711544275283813,1.0,0.21600495278835297,0.3171212375164032,0.733189046382904,1.0,0.49448907375335693,0.19982010126113892,0.24189656972885132,0.18580520153045654,0.2498224973678589,0.4933079481124878,0.2169172167778015,0.15499350428581238,0.22068053483963013
delay,0.22784891724586487,0.22715745866298676,0.2607918381690979,0.20347075164318085,0.06815504282712936,0.19660267233848572,0.2607918381690979,0.22215960919857025,0.2720698416233063,0.19677309691905975,0.13923373818397522,0.19196078181266785,0.20420506596565247,0.2337881177663803,0.10334616899490356,0.15084078907966614
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2375176101922989,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.4127444326877594,0.1464199274778366,0.16002382338047028,0.15216681361198425,0.24918575584888458,0.5201468467712402,0.1461767554283142,0.08310048282146454,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.21600495278835297,0.3171212375164032,0.733189046382904,1.0,0.49448907375335693,0.19982010126113892,0.24189656972885132,0.18580520153045654,0.2498224973678589,0.4933079481124878,0.2169172167778015,0.15499350428581238,0.22068053483963013
csm,0.16508343815803528,0.15221786499023438,0.15609420835971832,0.23597462475299835,0.1429854780435562,0.15882812440395355,0.15609420835971832,0.2035643607378006,0.5223036408424377,0.33487534523010254,0.26196232438087463,0.3374354839324951,0.20636554062366486,0.44091352820396423,0.0761922150850296,0.19925744831562042
caused,0.22264783084392548,0.25113144516944885,0.24990202486515045,0.1440824270248413,0.10922858119010925,0.29665443301200867,0.24990202486515045,0.13120879232883453,0.15367268025875092,0.09117051959037781,0.0922892838716507,0.12123952805995941,0.2600580155849457,0.08013413846492767,0.048420898616313934,0.20679491758346558
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.1823938935995102,0.25480157136917114,0.3646814823150635,0.4408751428127289,0.3877052962779999,0.2175731360912323,0.21302473545074463,0.11988817155361176,0.0877089574933052,0.3680937886238098,0.1803566962480545,0.14685025811195374,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,1.0,0.21600495278835297,0.3171212375164032,0.733189046382904,1.0,0.49448907375335693,0.19982010126113892,0.24189656972885132,0.18580520153045654,0.2498224973678589,0.4933079481124878,0.2169172167778015,0.15499350428581238,0.22068053483963013
fire,0.19359004497528076,0.24801933765411377,0.2911929488182068,0.08597228676080704,0.12737028300762177,0.20259131491184235,0.2911929488182068,0.23134909570217133,0.2658107578754425,0.1523493528366089,0.12567225098609924,0.2368956059217453,0.24915234744548798,0.24718856811523438,0.07005703449249268,0.14396874606609344
enabled,0.22509589791297913,0.21011066436767578,0.2653752565383911,0.2362981140613556,0.12596933543682098,0.18788689374923706,0.2653752565383911,0.2856752276420593,0.34614115953445435,0.2258715182542801,0.12237615138292313,0.1846151053905487,0.22565652430057526,0.22351890802383423,0.15543685853481293,0.25340956449508667
