,which,areas,of,northern,europe,practiced,those,religions,?
around,0.3772764205932617,0.3661944270133972,0.3296394646167755,0.2741384506225586,0.3116699159145355,0.2553319036960602,0.30345618724823,0.22970537841320038,0.14729668200016022
1685,0.13739891350269318,0.14378595352172852,0.23313449323177338,0.16322174668312073,0.05546363815665245,0.04315955191850662,0.03272072598338127,0.05072483420372009,-0.07933684438467026
",",0.3658004403114319,0.2789289653301239,0.4946078956127167,0.29473260045051575,0.2542513906955719,0.24787157773971558,0.39574649930000305,0.309471070766449,0.31091248989105225
huguenot,0.22239398956298828,0.13178133964538574,0.29061198234558105,0.19645878672599792,0.2710268497467041,0.2378009706735611,0.2590872347354889,0.3339284062385559,0.1359742432832718
refugees,0.19907644391059875,0.33613404631614685,0.1848231703042984,0.20323333144187927,0.2333587408065796,0.21963807940483093,0.2488069385290146,0.26409173011779785,0.10817430168390274
found,0.25134438276290894,0.20614445209503174,0.2982911467552185,0.22855046391487122,0.2209596484899521,0.24703602492809296,0.27531328797340393,0.16940006613731384,0.16790300607681274
a,0.56894451379776,0.24730755388736725,0.5052502155303955,0.22329643368721008,0.18710176646709442,0.20925304293632507,0.24251152575016022,0.2105460911989212,0.23916715383529663
safe,0.2834271192550659,0.23244324326515198,0.19918018579483032,0.15386928617954254,0.13743196427822113,0.18747925758361816,0.2337200790643692,0.15365901589393616,0.1838974803686142
haven,0.1894616335630417,0.2123153656721115,0.15651023387908936,0.09788928925991058,0.12572482228279114,0.15654420852661133,0.2680768072605133,0.19012999534606934,0.3103583753108978
in,0.4840516746044159,0.33029478788375854,0.5696388483047485,0.3545122444629669,0.33061710000038147,0.290182888507843,0.3419301211833954,0.24216291308403015,0.20430970191955566
the,0.6521818041801453,0.3311663568019867,0.733189046382904,0.3422943353652954,0.34463706612586975,0.20430389046669006,0.42861196398735046,0.2735731303691864,0.22068053483963013
lutheran,0.14278937876224518,0.1256653219461441,0.2628459632396698,0.1909065991640091,0.20645739138126373,0.2552734315395355,0.25335243344306946,0.4861156940460205,0.1752520203590393
and,0.506277859210968,0.40107932686805725,0.5116966962814331,0.2852024435997009,0.3463572859764099,0.27935341000556946,0.43169310688972473,0.3005678355693817,0.20544172823429108
reformed,0.25668177008628845,0.20564769208431244,0.2473689615726471,0.15180367231369019,0.192795068025589,0.3036133944988251,0.21514061093330383,0.35147935152053833,0.11769431829452515
states,0.27476921677589417,0.24812640249729156,0.30884552001953125,0.29666510224342346,0.3514854907989502,0.2274288386106491,0.2584104835987091,0.21915872395038605,0.16272737085819244
in,0.4840516746044159,0.33029478788375854,0.5696388483047485,0.3545122444629669,0.33061710000038147,0.290182888507843,0.3419301211833954,0.24216291308403015,0.20430970191955566
germany,0.2479574829339981,0.19194573163986206,0.2942050099372864,0.18349014222621918,0.44431573152542114,0.15344174206256866,0.2715761959552765,0.19904379546642303,0.1388660967350006
and,0.506277859210968,0.40107932686805725,0.5116966962814331,0.2852024435997009,0.3463572859764099,0.27935341000556946,0.43169310688972473,0.3005678355693817,0.20544172823429108
scandinavia,0.20273447036743164,0.2944251298904419,0.21738162636756897,0.344196617603302,0.5262895822525024,0.3002571761608124,0.24854670464992523,0.31025224924087524,0.13888707756996155
.,0.45942068099975586,0.23760369420051575,0.5352458953857422,0.2815330922603607,0.31984585523605347,0.18644404411315918,0.33163318037986755,0.2949666976928711,0.4130953550338745
