,what,channel,did,abc,launch,in,1981,that,focused,on,cultural,and,arts,programming,?
in,0.30808621644973755,0.210372194647789,0.2593238651752472,0.1697147786617279,0.19686491787433624,1.0,0.005973399616777897,0.435920387506485,0.29637840390205383,0.46853652596473694,0.2409708946943283,0.4954058527946472,0.2445804625749588,0.17145347595214844,0.20430970191955566
1981,-0.08909204602241516,0.08138851076364517,-0.034994546324014664,0.225356325507164,0.05408495292067528,0.005973399616777897,1.0,-0.1386721283197403,-0.08109571784734726,0.041381582617759705,0.0022127500269562006,0.012531566433608532,-0.0017226248746737838,-0.012063516303896904,0.07968433201313019
",",0.3087472915649414,0.18730267882347107,0.3015086054801941,0.2097204476594925,0.19433410465717316,0.5201468467712402,0.1628991663455963,0.4137537479400635,0.25963902473449707,0.49057599902153015,0.24125681817531586,0.6633074283599854,0.2528577744960785,0.255766898393631,0.31091248989105225
abc,0.1317344456911087,0.4020179808139801,0.13353709876537323,1.0000001192092896,0.21600057184696198,0.1697147786617279,0.225356325507164,0.17440107464790344,0.17876729369163513,0.2862928807735443,0.07522406429052353,0.16453155875205994,0.1073722392320633,0.3165910840034485,0.19065172970294952
(,0.2411840260028839,0.1557239294052124,0.18979617953300476,0.183883935213089,0.1447298526763916,0.3087427020072937,0.2557847797870636,0.2264307141304016,0.13550160825252533,0.28656116127967834,0.16989770531654358,0.4862271547317505,0.178902268409729,0.19239555299282074,0.40561532974243164
through,0.23167094588279724,0.235785111784935,0.14190755784511566,0.1861964464187622,0.24063444137573242,0.38533157110214233,-0.0717664286494255,0.3152649402618408,0.2189885824918747,0.32785001397132874,0.22777752578258514,0.3666759729385376,0.17223545908927917,0.14839479327201843,0.16913433372974396
its,0.30393704771995544,0.2986595630645752,0.19922670722007751,0.19045390188694,0.2549111843109131,0.3793783485889435,0.02275439351797104,0.416561484336853,0.23769493401050568,0.34331920742988586,0.2607589364051819,0.3841775357723236,0.2242184430360794,0.22158177196979523,0.15103481709957123
abc,0.1317344456911087,0.4020179808139801,0.13353709876537323,1.0000001192092896,0.21600057184696198,0.1697147786617279,0.225356325507164,0.17440107464790344,0.17876729369163513,0.2862928807735443,0.07522406429052353,0.16453155875205994,0.1073722392320633,0.3165910840034485,0.19065172970294952
video,0.1880173683166504,0.24225042760372162,0.16985929012298584,0.23562908172607422,0.25706663727760315,0.20259293913841248,-0.01737784966826439,0.2561377286911011,0.2344951331615448,0.2563185691833496,0.09515836089849472,0.22093096375465393,0.2513982057571411,0.2513340711593628,0.22771678864955902
services,0.16048473119735718,0.27894699573516846,0.14472568035125732,0.20619745552539825,0.25271880626678467,0.22287973761558533,-0.029314151033759117,0.2574901282787323,0.18177461624145508,0.22515536844730377,0.2149425894021988,0.30811867117881775,0.2345200926065445,0.27755051851272583,0.1328447163105011
division,0.19144181907176971,0.13335469365119934,0.14262770116329193,0.24142871797084808,0.1415824443101883,0.2658538520336151,0.10712878406047821,0.17438095808029175,0.13386495411396027,0.16298949718475342,0.20520028471946716,0.23460866510868073,0.10714464634656906,0.17910721898078918,0.08900629729032516
),0.26259949803352356,0.19096998870372772,0.18584993481636047,0.18381085991859436,0.16144290566444397,0.3326910734176636,0.2145501673221588,0.23478686809539795,0.11375930905342102,0.29937487840652466,0.19997859001159668,0.4961937665939331,0.2011658251285553,0.18464556336402893,0.42300865054130554
launched,0.1668553501367569,0.33770740032196045,0.1794346421957016,0.2561926543712616,0.8017768263816833,0.18876992166042328,0.09514737129211426,0.20961794257164001,0.32513660192489624,0.3055371642112732,0.1399068385362625,0.15431661903858185,0.09621991962194443,0.2434350997209549,0.1803835779428482
the,0.42745697498321533,0.2860044836997986,0.34736719727516174,0.2068762183189392,0.2628649175167084,0.6662389636039734,-0.010583994910120964,0.5473989248275757,0.2969476580619812,0.5107308030128479,0.23337452113628387,0.5171257257461548,0.23374557495117188,0.17869283258914948,0.22068053483963013
alpha,0.1339365392923355,0.1677256077528,0.18432918190956116,0.22010160982608795,0.1021285280585289,0.18468719720840454,0.021228881552815437,0.17806464433670044,0.17941032350063324,0.1640382558107376,0.021151531487703323,0.1721675544977188,0.10764054954051971,0.16841861605644226,0.15648643672466278
repertory,0.21891294419765472,0.15949277579784393,0.2237919121980667,0.19756156206130981,0.156124085187912,0.3285383880138397,0.02752419002354145,0.2655201554298401,0.28162404894828796,0.22988587617874146,0.24001635611057281,0.25499311089515686,0.30779463052749634,0.2399568259716034,0.09106716513633728
television,0.19838058948516846,0.46323826909065247,0.17055591940879822,0.46871840953826904,0.21629789471626282,0.2689782977104187,0.09607779234647751,0.21588699519634247,0.2267027050256729,0.2825660705566406,0.1770736277103424,0.29514092206954956,0.2663433253765106,0.34514227509498596,0.16825827956199646
