,what,type,of,vote,must,the,council,pass,in,order,to,approve,of,any,changes,recommended,by,parliament,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22779929637908936,0.2713140547275543,1.0,0.2829204201698303,0.25961899757385254,0.6662389636039734,0.3284194767475128,0.535392165184021,0.31595274806022644,0.733189046382904,0.4525727927684784,0.3427845537662506,0.2700778841972351,0.4408751428127289,0.26521381735801697,0.22068053483963013
essence,0.33384495973587036,0.1521334946155548,0.2728561758995056,0.11901252716779709,0.24533534049987793,0.299844890832901,0.11047106981277466,0.1421254575252533,0.2165662944316864,0.26584139466285706,0.2630870044231415,0.2053634375333786,0.2728561758995056,0.3523856997489929,0.2672390937805176,0.2110346108675003,0.20897163450717926,0.15992042422294617,0.18491655588150024
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2031867355108261,0.3093329071998596,0.5823672413825989,0.2196589708328247,0.20208431780338287,0.5394441485404968,0.19403748214244843,0.42745086550712585,0.22218306362628937,0.4854315221309662,0.35691767930984497,0.23356598615646362,0.22583825886249542,0.3899846076965332,0.19676777720451355,0.22961433231830597
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.2549680471420288,0.2637070417404175,0.47025805711746216,0.20820169150829315,0.17625145614147186,0.5361666083335876,0.1899784803390503,0.40669289231300354,0.2404792308807373,0.44397735595703125,0.4219859838485718,0.29899370670318604,0.2111612856388092,0.20383623242378235,0.17849694192409515,0.29405656456947327
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.20448122918605804,0.3923934996128082,0.40399202704429626,0.1583584100008011,0.20990294218063354,0.3841303884983063,0.22330260276794434,0.3504326641559601,0.2213422656059265,0.39081433415412903,0.40178635716438293,0.22349703311920166,0.2617572546005249,0.37842893600463867,0.09480422735214233,0.24591213464736938
three,0.24888746440410614,0.14463180303573608,0.3844621181488037,0.10056564956903458,0.2430988997220993,0.43452659249305725,0.13547994196414948,0.1853439211845398,0.34828072786331177,0.18112123012542725,0.3043823838233948,0.2328534573316574,0.3844621181488037,0.33841368556022644,0.156560018658638,0.13736438751220703,0.28754812479019165,0.20437894761562347,0.20928427577018738
readings,0.2730479836463928,0.05010024085640907,0.21949197351932526,0.13419313728809357,0.23464001715183258,0.2426811158657074,0.16041040420532227,0.15023888647556305,0.20909526944160461,0.19902023673057556,0.27120736241340637,0.2328117936849594,0.21949197351932526,0.3296447992324829,0.3179066479206085,0.2778780460357666,0.1957603543996811,0.20902755856513977,0.21498538553714752
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.27201512455940247,0.2231246829032898,0.4933079481124878,0.23820561170578003,0.22301842272281647,0.5201468467712402,0.22478096187114716,0.44245919585227966,0.30302485823631287,0.4946078956127167,0.3237466514110565,0.23045918345451355,0.2299158126115799,0.3680937886238098,0.25442883372306824,0.31091248989105225
starting,0.25271084904670715,0.18237248063087463,0.23960795998573303,0.16746526956558228,0.20384472608566284,0.37272053956985474,0.09026332944631577,0.1668429672718048,0.3013272285461426,0.17379304766654968,0.2819414734840393,0.24372917413711548,0.23960795998573303,0.2549131512641907,0.2153564989566803,0.20108866691589355,0.18018147349357605,0.11006837338209152,0.19133803248405457
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.12805518507957458,0.28391414880752563,0.4223487675189972,0.10649243742227554,0.16526761651039124,0.4080928862094879,0.16471563279628754,0.4239959120750427,0.20732367038726807,0.41827285289764404,0.34412381052970886,0.23350933194160461,0.259790301322937,0.39731505513191223,0.14422082901000977,0.2433311939239502
