,when,are,subject,committees,established,?
subject,0.23772791028022766,0.22845745086669922,1.0,0.264823853969574,0.21765804290771484,0.33952999114990234
committees,0.20411022007465363,0.280746728181839,0.264823853969574,1.0,0.27687346935272217,0.1382787674665451
are,0.29873907566070557,1.0,0.22845745086669922,0.280746728181839,0.13481727242469788,0.24591213464736938
established,0.18169470131397247,0.13481727242469788,0.21765804290771484,0.27687346935272217,0.9999998807907104,0.15917523205280304
at,0.38876327872276306,0.2074895054101944,0.20078150928020477,0.22772769629955292,0.211637482047081,0.21978627145290375
the,0.5091903209686279,0.40399202704429626,0.2387523651123047,0.2924276292324066,0.33092597126960754,0.22068053483963013
beginning,0.41447868943214417,0.23547792434692383,0.2091720700263977,0.1941826045513153,0.28652918338775635,0.19413669407367706
of,0.3757161796092987,0.39081433415412903,0.21533280611038208,0.34709328413009644,0.2735237777233124,0.1826142966747284
each,0.3531915247440338,0.39730963110923767,0.2273717224597931,0.30485352873802185,0.135561004281044,0.21173812448978424
parliamentary,0.19091741740703583,0.1733841449022293,0.2545502781867981,0.44163259863853455,0.23006285727024078,0.1612216979265213
session,0.21577391028404236,0.14006167650222778,0.16047285497188568,0.35288670659065247,0.15045566856861115,0.1393868774175644
",",0.36674630641937256,0.4062570035457611,0.25792038440704346,0.2178204506635666,0.22739723324775696,0.31091248989105225
and,0.4716290831565857,0.48576638102531433,0.2574312388896942,0.289193332195282,0.2369968742132187,0.20544172823429108
again,0.5500401854515076,0.21404975652694702,0.18844802677631378,0.1609686315059662,0.17403042316436768,0.2679590880870819
the,0.5091903209686279,0.40399202704429626,0.2387523651123047,0.2924276292324066,0.33092597126960754,0.22068053483963013
members,0.2236606478691101,0.31528955698013306,0.1897694617509842,0.39517727494239807,0.17410403490066528,0.10212311148643494
on,0.37706470489501953,0.268924742937088,0.2795393466949463,0.23132799565792084,0.18237954378128052,0.2714994251728058
each,0.3531915247440338,0.39730963110923767,0.2273717224597931,0.30485352873802185,0.135561004281044,0.21173812448978424
committee,0.1912611424922943,0.14231987297534943,0.18470700085163116,0.8771678805351257,0.2293817102909088,0.12144632637500763
reflect,0.19664636254310608,0.25789955258369446,0.3297578990459442,0.17661809921264648,0.20193709433078766,0.1725967973470688
the,0.5091903209686279,0.40399202704429626,0.2387523651123047,0.2924276292324066,0.33092597126960754,0.22068053483963013
balance,0.2931882441043854,0.26936018466949463,0.2884831130504608,0.21250289678573608,0.11552775651216507,0.2381676584482193
of,0.3757161796092987,0.39081433415412903,0.21533280611038208,0.34709328413009644,0.2735237777233124,0.1826142966747284
parties,0.252829372882843,0.24644415080547333,0.22367864847183228,0.32811567187309265,0.16184483468532562,0.16949701309204102
across,0.32499930262565613,0.24150612950325012,0.1953287124633789,0.1821759045124054,0.23692432045936584,0.17034576833248138
parliament,0.18992289900779724,0.09480422735214233,0.2438318133354187,0.4124729335308075,0.16207104921340942,0.1586504578590393
.,0.475719153881073,0.3452940285205841,0.2536076307296753,0.22547543048858643,0.23771190643310547,0.4130953550338745
