,what,was,the,name,for,the,imaging,campaign,abc,began,in,2007,?
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.17627742886543274,0.36199691891670227,0.5107308030128479,0.18028491735458374,0.24734924733638763,0.2862928807735443,0.29460400342941284,0.46853652596473694,-0.16471703350543976,0.2714994251728058
june,0.2171148657798767,0.42821118235588074,0.24568822979927063,0.14398173987865448,0.27836936712265015,0.24568822979927063,0.07008560001850128,0.18829290568828583,0.22739821672439575,0.20949360728263855,0.29047903418540955,-0.2237386554479599,0.31416764855384827
16,-0.009719534777104855,-0.008355183526873589,0.0058518932200968266,-0.03913988545536995,-0.00719092832878232,0.0058518932200968266,-0.003613792359828949,0.0484977588057518,0.043185193091630936,0.020143374800682068,0.03388594090938568,0.0622003935277462,0.08446579426527023
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.1535363644361496,0.18021923303604126,0.2097204476594925,0.2705576717853546,0.5201468467712402,-0.24049624800682068,0.31091248989105225
2007,-0.15549811720848083,-0.29168957471847534,-0.23657195270061493,-0.12505227327346802,-0.15897968411445618,-0.23657195270061493,0.07752158492803574,-0.1544003188610077,-0.09789758175611496,-0.2296990156173706,-0.2201838344335556,1.0,-0.1664225310087204
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.1535363644361496,0.18021923303604126,0.2097204476594925,0.2705576717853546,0.5201468467712402,-0.24049624800682068,0.31091248989105225
abc,0.1317344456911087,0.21565799415111542,0.2068762183189392,0.1380753219127655,0.22510288655757904,0.2068762183189392,0.09563563019037247,0.17480497062206268,1.0000001192092896,0.2686883211135864,0.1697147786617279,-0.09789758175611496,0.19065172970294952
began,0.1665823757648468,0.4683617055416107,0.3059147596359253,0.1549629122018814,0.29047009348869324,0.3059147596359253,0.14732319116592407,0.23302191495895386,0.2686883211135864,1.0,0.34154343605041504,-0.2296990156173706,0.1370266228914261
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.4451248347759247,0.535392165184021,0.17666667699813843,0.24738837778568268,0.1762417107820511,0.2731419503688812,0.45010748505592346,-0.1738293468952179,0.29463258385658264
phase,0.19029277563095093,0.159205824136734,0.29143109917640686,0.046114590018987656,0.17487218976020813,0.29143109917640686,0.22827577590942383,0.16790811717510223,0.07194527238607407,0.23247697949409485,0.21901577711105347,-0.02778789773583412,0.16345681250095367
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.4322226941585541,0.6662389636039734,0.20635999739170074,0.2438942790031433,0.1697147786617279,0.34154343605041504,1.0,-0.2201838344335556,0.20430970191955566
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.44038116931915283,0.5829201340675354,0.2354508936405182,0.20502153038978577,0.21331243216991425,0.21651826798915863,0.539380669593811,-0.06548836827278137,0.23916715383529663
new,0.2130378633737564,0.2748313844203949,0.3845241069793701,0.19623230397701263,0.2700757384300232,0.3845241069793701,0.18671815097332,0.15013942122459412,0.20663127303123474,0.22779060900211334,0.3758552670478821,-0.1927516609430313,0.14782847464084625
